site,date,time_on,air_temp,Temperature,Dissolved_Oxygen,Secchi,cond_mScm,pH,Conductivity
ODNR_4,6/8/2017,9:48:00 AM,,22.18,2.18,38,0.43,10.82,430
ODNR_6,6/8/2017,11:07:00 AM,,21.86,2.24,46.5,0.4,11.02,400
ODNR_2,6/8/2017,12:58:00 PM,,21.72,2.2,37,0.39,11.08,390
ODNR_1,6/8/2017,1:46:00 AM,,21.08,2.15,46,0.37,11.02,370
EC_1163,6/8/2017,2:30:00 AM,,20.93,2.08,,0.39,10.86,390
Bells,6/8/2017,3:00:00 AM,,,,,,,0
Bridge,6/8/2017,,,,,,,,0
Buoy_2,6/8/2017,12:30:00 PM,,,,,,,0
ODNR_4,6/19/2017,9:27:00 AM,,25.04,,,0.43,10.38,430
ODNR_6,6/19/2017,10:28:00 AM,,24.91,,,0.41,10.52,410
ODNR_2,6/19/2017,11:32:00 AM,,24.94,,,0.37,10.67,370
ODNR_1,6/19/2017,12:23:00 PM,,25.18,,,0.37,10.69,370
EC_1163,6/19/2017,1:13:00 AM,,23.65,,,0.34,10.48,340
Bells,6/19/2017,2:04:00 AM,,22.01,,,0.31,10.03,310
Bridge,6/19/2017,11:15:00 AM,,25.04,,,0.39,10.51,390
Buoy_2,6/19/2017,12:07:00 PM,,24.12,,,0.34,10.5,340
ODNR_4,6/26/2017,9:30:00 AM,22,21.5,,32,0.44,10.91,440
ODNR_6,6/26/2017,10:41:00 AM,21.7,21.26,,40,0.44,10.82,440
ODNR_2,6/26/2017,12:22:00 PM,21.8,21.5,,32,0.36,10.98,360
ODNR_1,6/26/2017,11:44:00 AM,21.8,21.51,,,0.34,11.04,340
EC_1163,6/26/2017,1:18:00 AM,21.2,20.79,,60,0.31,10.63,310
Bells,6/26/2017,2:04:00 AM,20.7,20.38,,106,0.29,10.25,290
Bridge,6/26/2017,11:22:00 AM,,,,,,,0
Buoy_2,6/26/2017,12:54:00 PM,22.7,21.48,,,0.33,10.99,330
ODNR_4,7/17/2017,9:17:00 AM,,23.44,9.12,,0.23,8.88,230
ODNR_6,7/17/2017,10:07:00 AM,,24.3,7.89,,0.22,8.94,220
Bridge,7/17/2017,10:46:00 AM,,24.66,10.52,,0.38,9.67,380
ODNR_2,7/17/2017,11:13:00 AM,,25.35,11.24,,0.34,9.58,340
Buoy_2,7/21/2017,12:15:00 PM,,25.62,14.8,,0.39,10.11,390
ODNR_1,7/17/2017,12:44:00 PM,,25.63,16.3,,0.41,10.26,410
EC_1163,7/17/2017,1:37:00 AM,,26.16,13.58,,0.39,10.13,390
Bells,7/17/2017,2:21:00 AM,,25.3,11.64,,0.28,9.58,280
ODNR_4,7/31/2017,9:11:00 AM,,23.48,10.84,,0.39,9.75,390
ODNR_6,7/31/2017,9:49:00 AM,,23.55,16.72,,0.28,10.32,280
Bridge,7/31/2017,10:21:00 AM,,24.3,15.14,,0.28,10.42,280
ODNR_2,7/31/2017,10:46:00 AM,,24.19,15.74,,0.28,10.41,280
Buoy_2,7/31/2017,11:09:00 AM,,24.51,17.7,,0.33,10.38,330
ODNR_1,7/31/2017,11:24:00 AM,,25.08,20.93,,0.29,10.69,290
EC_1163,7/31/2017,12:07:00 PM,,24.68,16.82,,0.3,10.4,300
Bells,7/31/2017,12:41:00 PM,,26.21,11.73,,0.28,9.72,280
ODNR_4,8/14/2017,9:27:00 AM,22,23.63,10.13,33,0.3,10.37,300
ODNR_6,8/14/2017,10:07:00 AM,24,23.47,13.3,43,0.27,10.8,270
Bridge,8/14/2017,10:43:00 AM,25,23.88,13.5,38,0.29,10.58,290
ODNR_2,8/14/2017,10:57:00 AM,26,23.66,13.69,54,0.28,10.74,280
Buoy_2,8/14/2017,11:33:00 AM,26,24.48,16.22,60,0.27,10.68,270
ODNR_1,8/14/2017,11:40:00 AM,27,24.2,16.46,57,0.27,10.69,270
EC_1163,8/14/2017,12:10:00 PM,27,24.44,14.57,60,0.27,10.42,270
Bells,8/14/2017,12:48:00 PM,27,24.42,11.42,81,0.28,10,280
ODNR_4,8/28/2017,9:32:00 AM,20,22.26,10.74,29,0.34,10.67,340
ODNR_6,8/28/2017,10:15:00 AM,22.2,22.19,11.98,33,0.3,10.96,300
Bridge,8/28/2017,10:50:00 AM,22.8,22.42,10.76,32,0.31,10.72,310
ODNR_2,8/28/2017,11:16:00 AM,22.8,22.65,12.7,37,0.29,10.99,290
Buoy_2,8/28/2017,11:49:00 AM,22.2,22.44,11.34,36,0.28,10.57,280
ODNR_1,8/28/2017,12:06:00 PM,22.2,22.39,11.44,66,0.29,10.46,290
EC_1163,8/28/2017,12:38:00 PM,22.2,22.56,10.66,67,0.28,10.25,280
Bells,8/28/2017,1:05:00 PM,21.1,23.06,11.47,133,0.27,10.26,270
