ODNR Sandusky Sampling Log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Dissolved Nutrients,,,,,,,Particulate,Particulate,Biovolume (mean),Biovolume (mean),Biovolume (mean),Biovolume (mean),Biovolume (mean),Cell Counts,Cell Counts
Station,Deployment,Date,Time,Date.time,Lat,long,Max Depth,Sample Depth,Air Temp,Water Temp,DO,Cond,pH,Chl a,Microcystins,NH3,CL,S04,NO2,NO3,SIO2,SRP,Total Phosphorus,Total Nitrogen,Planktothrix agardhii,Cuspidothrix spp.,Planktolyngbya spp.,Planktolyngbya spp. narrow,Cylindrospermopsis spp.,Aphanizomenon flos-aquae,Dolichospermum spp.
,,,UTC,yyyy-mm-ddThh:mm,dec degrees N,dec degrees E,m,m,°C,°C,mg/L,uS/cm,,µg L-1,µg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,mg L-1,um3 L-1,um3 L-1,um3 L-1,um3 L-1,um3 L-1,cells L-1,cells L-1
Muddy Creek,SB-2018-01,6/5/18,13:50:00,2018-06-05T13:50,41.4561,-83.007133,1.55,0.5,20,21.8,7.98,519,8.34,nd,nd,0.188,29,55.6,0.16,4.88,6.26,0.04,0.3445,1.94,nd,nd,nd,nd,nd,nd,nd
ODNR4,SB-2018-01,6/5/18,14:30:00,2018-06-05T14:30,41.453333,82.960767,1.1,0.5,19.4,21.93,12.53,448,9.31,nd,nd,0.007,29.1,62.3,0,1.76,1.85,0,0.169,2.02,3.02E+10,0.00E+00,6.39E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ODNR6,SB-2018-01,6/5/18,15:05:00,2018-06-05T15:05,41.4573,-82.898655,2.04,0.5,18.9,21.5,10.7,431,9.32,nd,nd,0.013,29.3,82.3,0,0.01,1.13,0.003,0.1472,2.277,3.03E+10,0.00E+00,6.35E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Edison Bridge,SB-2018-01,6/5/18,15:40:00,2018-06-05T15:40,41.480156,-82.834328,3.66,0.5,18.9,21.71,10.54,414,9.37,nd,nd,0,28.5,84.6,0,0.02,1.21,0.003,0.1717,1.901,nd,nd,nd,nd,nd,nd,nd
ODNR2,SB-2018-01,6/5/18,15:55:00,2018-06-05T15:55,41.479817,-82.782867,2.29,0.5,18.3,21.48,11.33,413,9.4,nd,nd,0.004,27.8,79.7,0,0,1.09,0.001,0.1724,1.895,nd,nd,nd,nd,nd,nd,nd
Buoy2,SB-2018-01,6/5/18,16:15:00,2018-06-05T16:15,41.463222,82.769028,3.05,0.5,17.8,20.68,10.69,360,9.18,nd,nd,0.008,24.8,57.3,0,0.04,1.2,0.002,0.1148,1.424,1.73E+10,9.33E+07,7.23E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ODNR1,SB-2018-01,6/5/18,16:30:00,2018-06-05T16:30,41.477367,-82.739783,3.05,0.5,17.8,20.42,10.8,342,9.24,nd,nd,0.005,23.6,51.8,0,0.02,1.29,0.004,0.0894,1.291,nd,nd,nd,nd,nd,nd,nd
EC1163,SB-2018-01,6/5/18,16:55:00,2018-06-05T16:55,41.469,-82.715,4.57,0.5,17.8,19.18,10.12,274,8.65,nd,nd,0.017,18.2,22.3,0,0.54,1.32,0,0.0409,0.429,3.57E+10,0.00E+00,5.29E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Muddy Creek,SB-2018-02,6/19/18,13:55:00,2018-06-19T13:55,41.4561,-83.007133,1.55,0.5,21.1,26.33,7.68,385,8.42,34.9,<0.3,0.083,18.5,26.5,0.22,9.25,5.36,0.037,0.2134,1.848,nd,nd,nd,nd,nd,nd,nd
ODNR4,SB-2018-02,6/19/18,14:30:00,2018-06-19T14:30,41.453333,82.960767,1.1,0.5,21.7,25.76,7.53,388,8.23,38.8,<0.3,0.188,19.3,29.8,0.21,8.46,3.31,0.022,0.1523,1.527,1.33E+08,4.73E+06,8.01E+06,0.00E+00,0.00E+00,0.00E+00,0.00E+00
ODNR6,SB-2018-02,6/19/18,14:55:00,2018-06-19T14:55,41.4573,-82.898655,2.04,0.5,21.7,26.8,9.69,419,9.03,1650,8.13,0.011,24.6,57.2,0.13,4.45,2.87,0.005,0.1482,2.146,1.66E+10,5.76E+07,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
