date,site,rep,chl
6/26/2018,ODNR_4,1,21.12
6/26/2018,ODNR_4,2,99.82
6/26/2018,ODNR_4,3,56.41
6/26/2018,Muddy_Creek,1,121.69
6/26/2018,Muddy_Creek,2,118.71
6/26/2018,Muddy_Creek,3,65.66
6/26/2018,ODNR_6,1,264.71
6/26/2018,ODNR_6,2,253.52
6/26/2018,ODNR_6,3,98.88
6/26/2018,Bridge,1,214.83
6/26/2018,Bridge,2,200.97
6/26/2018,Bridge,3,179.02
6/26/2018,ODNR_2,1,112.98
6/26/2018,ODNR_2,2,133.69
6/26/2018,ODNR_2,3,122.73
6/26/2018,SB_2,1,130.56
6/26/2018,SB_2,2,174.76
6/26/2018,SB_2,3,134.69
6/26/2018,ODNR_1,1,241.51
6/26/2018,ODNR_1,2,237.93
6/26/2018,ODNR_1,3,242.29
6/26/2018,EC_1163,1,140.69
6/26/2018,EC_1163,2,140.45
6/26/2018,EC_1163,3,141.18
6/26/2018,Bells,1,30.48
6/26/2018,Bells,2,19.78
6/26/2018,Bells,3,30.48
6/28/2018,Bridge,1,294.6
6/28/2018,Bridge,2,296.1
6/28/2018,Bridge,3,285.5
6/28/2018,ODNR_6,1,261.4
6/28/2018,ODNR_6,2,319.9
6/28/2018,ODNR_6,3,288.1
7/9/2018,ODNR_4,1,328.8
7/9/2018,ODNR_4,2,319.8
7/9/2018,ODNR_4,3,324.7
7/9/2018,ODNR_4,4,344.1
7/9/2018,ODNR_4,5,317
7/9/2018,ODNR_4,6,304.9
7/9/2018,ODNR_6,1,280
7/9/2018,ODNR_6,2,294
7/9/2018,ODNR_6,3,258.3
7/9/2018,Muddy_Creek,1,181.4
7/9/2018,Muddy_Creek,2,69.6
7/9/2018,Muddy_Creek,3,272
7/9/2018,SB_6,1,206.8
7/9/2018,SB_6,2,312.5
7/9/2018,SB_6,3,317.2
7/10/2018,ODNR_1,1,74.25
7/10/2018,ODNR_1,2,59.5
7/10/2018,ODNR_1,3,124.55
7/10/2018,Bridge,1,66.21
7/10/2018,Bridge,2,204.14
7/10/2018,Bridge,3,122.13
7/10/2018,Muddy_Creek,1,3.15
7/10/2018,Muddy_Creek,2,130.26
7/10/2018,Muddy_Creek,3,116.59
7/10/2018,EC_1163,1,27.64
7/10/2018,EC_1163,2,96.31
7/10/2018,EC_1163,3,103.09
7/10/2018,ODNR_2,1,38.69
7/10/2018,ODNR_2,2,104.38
7/10/2018,ODNR_2,3,131.62
7/10/2018,ODNR_4,1,240.5
7/10/2018,ODNR_4,2,250.46
7/10/2018,ODNR_4,3,255.46
7/10/2018,Bells,1,42.68
7/10/2018,Bells,2,37.39
7/10/2018,Bells,3,36.16
7/10/2018,SB_2,1,100.16
7/10/2018,SB_2,2,79.7
7/10/2018,SB_2,3,112.58
7/10/2018,ODNR_6,1,198.83
7/10/2018,ODNR_6,2,152.04
7/10/2018,ODNR_6,3,189.74
7/11/2018,SB_8,1,116.13
7/11/2018,SB_8,2,69.75
7/11/2018,SB_8,3,48.08
7/11/2018,ODNR_1,1,25.09
7/11/2018,ODNR_1,2,153.92
7/11/2018,ODNR_1,3,99.52
7/11/2018,ODNR_2,1,46.29
7/11/2018,ODNR_2,2,83.2
7/11/2018,ODNR_2,3,1.39
7/24/2018,ODNR_2,4,110.19
7/24/2018,ODNR_2,5,101.44
7/24/2018,ODNR_2,6,102.72
7/24/2018,Bells,1,45
7/24/2018,Bells,2,51.74
7/24/2018,Bells,3,58.7
7/24/2018,ODNR_1,1,83.13
7/24/2018,ODNR_1,2,74.09
7/24/2018,ODNR_1,3,29.75
7/24/2018,EC_1163,1,93.98
7/24/2018,EC_1163,2,85.07
