site,deployment_id,date,time_on,date_time,lat,long,site_depth,sample_depth,air_temp,Temperature,Dissolved_Oxygen,Conductivity,pH
Muddy_Creek,SB-2018-01,6/5/2018,13:50:00,6/5/2018 13:50,41.4561,-83.007133,1.55,0.5,20,21.8,7.98,519,8.34
ODNR_4,SB-2018-01,6/5/2018,14:30:00,6/5/2018 14:30,41.453333,82.960767,1.1,0.5,19.4,21.93,12.53,448,9.31
ODNR_6,SB-2018-01,6/5/2018,15:05:00,6/5/2018 15:05,41.4573,-82.898655,2.04,0.5,18.9,21.5,10.7,431,9.32
Bridge,SB-2018-01,6/5/2018,15:40:00,6/5/2018 15:40,41.480156,-82.834328,3.66,0.5,18.9,21.71,10.54,414,9.37
ODNR_2,SB-2018-01,6/5/2018,15:55:00,6/5/2018 15:55,41.479817,-82.782867,2.29,0.5,18.3,21.48,11.33,413,9.4
Buoy_2,SB-2018-01,6/5/2018,16:15:00,6/5/2018 16:15,41.463222,82.769028,3.05,0.5,17.8,20.68,10.69,360,9.18
ODNR_1,SB-2018-01,6/5/2018,16:30:00,6/5/2018 16:30,41.477367,-82.739783,3.05,0.5,17.8,20.42,10.8,342,9.24
EC_1163,SB-2018-01,6/5/2018,16:55:00,6/5/2018 16:55,41.469,-82.715,4.57,0.5,17.8,19.18,10.12,274,8.65
Muddy_Creek,SB-2018-02,6/19/2018,13:55:00,6/19/2018 13:55,41.4561,-83.007133,1.55,0.5,21.1,26.33,7.68,385,8.42
ODNR_4,SB-2018-02,6/19/2018,14:30:00,6/19/2018 14:30,41.453333,82.960767,1.1,0.5,21.7,25.76,7.53,388,8.23
ODNR_6,SB-2018-02,6/19/2018,14:55:00,6/19/2018 14:55,41.4573,-82.898655,2.04,0.5,21.7,26.8,9.69,419,9.03
Bridge,SB-2018-02,6/19/2018,15:20:00,6/19/2018 15:20,41.480156,-82.834328,3.66,0.5,21.7,26.64,8.91,415,8.94
ODNR_2,SB-2018-02,6/19/2018,15:35:00,6/19/2018 15:35,41.479817,-82.782867,2.29,0.5,22.2,25.29,8.98,413,9.09
Buoy_2,SB-2018-02,6/19/2018,15:55:00,6/19/2018 15:55,41.463222,82.769028,3.05,0.5,21.7,24.69,8.78,384,8.95
ODNR_1,SB-2018-02,6/19/2018,16:10:00,6/19/2018 16:10,41.477367,-82.739783,3.05,0.5,21.7,24.44,7.93,380,8.73
EC_1163,SB-2018-02,6/19/2018,16:30:00,6/19/2018 16:30,41.469,-82.715,4.57,0.5,21.7,24.29,8.14,361,8.8
Bells,SB-2018-02,6/19/2018,17:00:00,6/19/2018 17:00,41.511667,-82.657967,4.5,0.5,21.1,22.24,9.17,271,8.38
Muddy_Creek,SB-2018-03,6/26/2018,13:40:00,6/26/2018 13:40,41.4561,-83.007133,1.55,0.5,22.8,21.94,9.56,486,8.62
ODNR_4,SB-2018-03,6/26/2018,14:10:00,6/26/2018 14:10,41.453333,82.960767,1.1,0.5,22.8,22.14,10.61,412,9
ODNR_6,SB-2018-03,6/26/2018,14:45:00,6/26/2018 14:45,41.4573,-82.898655,2.04,0.5,22.8,22.32,13.24,415,9.57
Bridge,SB-2018-03,6/26/2018,15:10:00,6/26/2018 15:10,41.480156,-82.834328,3.66,0.5,22.8,22.5,11.45,409,9.36
ODNR_2,SB-2018-03,6/26/2018,15:55:00,6/26/2018 15:55,41.479817,-82.782867,2.29,0.5,22.8,22.94,11.55,365,9.47
Buoy_2,SB-2018-03,6/26/2018,16:15:00,6/26/2018 16:15,41.463222,82.769028,3.05,0.5,22.8,22.95,12.61,386,9.53
ODNR_1,SB-2018-03,6/26/2018,16:35:00,6/26/2018 16:35,41.477367,-82.739783,3.05,0.5,22.8,22.36,12.93,399,9.44
EC_1163,SB-2018-03,6/26/2018,17:00:00,6/26/2018 17:00,41.469,-82.715,4.57,0.5,22.8,23.33,13.05,341,9.34
Bells,SB-2018-03,6/26/2018,17:30:00,6/26/2018 17:30,41.511667,-82.657967,4.5,0.5,22.8,22.93,10.38,279,8.76
Muddy_Creek,SB-2018-04,7/10/2018,13:35:00,7/10/2018 13:35,41.4561,-83.007133,1.55,0.5,27.2,26.7,12.74,505,8.87
