Date,Site,Ammonium,Chloride,Sulfate,Nitrite,Nitrate,Silicate,DRP,TP,TN,TN_TP_molar
9/11/2018,ODNR 1,2.5,547.2,1282.14,0,15.71,122.86,0.94,3.13,5.16,1.65
9/11/2018,ODNR 2,1.86,730.54,2917.86,0,14.28,410.36,2.42,5.93,92.81,15.64
9/11/2018,ODNR 4,2.43,854.65,3407.14,0,14.99,348.93,2.45,6.53,99.02,15.16
9/11/2018,ODNR 6,3.86,660.03,2000,0,14.99,254.29,1.29,4.92,76.53,15.55
9/11/2018,Bridge,2.36,739.01,2957.14,0,14.99,363.93,1.94,6.08,101.24,16.66
9/11/2018,Buoy 2,1.64,640.28,1975,0,14.99,214.29,1.19,4.35,69.9,16.07
9/11/2018,EC 1163,3.14,592.33,1478.57,0,15.71,139.29,0.81,3.2,57.04,17.83
9/11/2018,Muddy Creek,7.21,1193.13,4364.29,0,16.42,235.36,2.74,6.43,79.96,12.43
9/11/2018,Bells,4.78,459.76,675,0,14.99,38.57,0.36,1.3,28.41,21.89
7/24/2018,ODNR 1,0.14,609.26,1403.57,0,0,93.93,0.13,3.26,102.09,31.28
7/24/2018,ODNR 2,-0.29,561.31,1828.57,0.71,2.86,177.86,0.68,5.12,76.75,14.99
7/24/2018,ODNR 4,0.36,747.47,2371.43,0,0,233.21,3.91,12.31,166.49,13.52
7/24/2018,ODNR 6,-0.64,564.13,1742.86,0,0,233.93,3.58,12.43,188.84,15.2
7/24/2018,Bridge,-0.07,631.82,1989.29,0,0,211.79,1.55,7.88,138.86,17.63
7/24/2018,Buoy 2,-0.36,629,1671.43,0,0,122.5,0.19,3.79,75.46,19.89
7/24/2018,EC 1163,-0.36,566.95,1321.43,0,0,103.57,0.19,3.48,70.32,20.21
7/24/2018,Muddy Creek,4.43,806.7,3325,0,0.71,153.93,2.87,10.65,141.86,13.32
7/24/2018,Bells,-0.64,465.4,839.29,0,4.28,37.86,0.16,1.36,37.05,27.26
7/10/2018,ODNR 1,1.07,645.93,2057.14,0,0,144.29,0.1,4.89,116.59,23.85
7/10/2018,ODNR 2,1.43,660.03,2150,0,0,157.5,0.1,4.74,120.51,25.43
7/10/2018,ODNR 4,2,668.49,2471.43,0,0,178.93,0.16,8.29,193.41,23.33
7/10/2018,ODNR 6,2.28,612.08,2235.71,0,0,166.43,0.06,6.19,182.84,29.56
7/10/2018,Bridge,3.14,668.49,2178.57,0,2.14,151.79,0.13,6.57,197.76,30.12
7/10/2018,Buoy 2,2.86,657.21,2139.29,0,0,152.86,0.16,4.83,118.66,24.55
7/10/2018,EC 1163,1.78,640.28,1982.14,0,0,137.5,0.16,4.49,117.73,26.23
