site,date,TSS
ODNR_1,9/11/2018,25.3
ODNR_2,9/11/2018,21.2
ODNR_4,9/11/2018,48.9
ODNR_6,9/11/2018,39.5
Bridge,9/11/2018,29.7
Buoy_2,9/11/2018,23.9
EC_1163,9/11/2018,23.3
Muddy_Creek,9/11/2018,52.1
Bells,9/11/2018,9.8
Muddy_Creek,7/24/2018,80
ODNR_4,7/24/2018,42
ODNR_6,7/24/2018,39
Bridge,7/24/2018,48
ODNR_2,7/24/2018,21
Buoy_2,7/24/2018,13
ODNR_1,7/24/2018,16
EC_1163,7/24/2018,15
Bells,7/24/2018,6
Muddy_Creek,7/10/2018,66.543
ODNR_4,7/10/2018,44.982
ODNR_6,7/10/2018,30.699
Bridge,7/10/2018,36.985
ODNR_2,7/10/2018,25.335
Buoy_2,7/10/2018,21.2
ODNR_1,7/10/2018,25.9
EC_1163,7/10/2018,27.1
Bells,7/10/2018,6.2
Muddy_Creek,8/7/2018,86.482
ODNR_4,8/7/2018,53.711
ODNR_6,8/7/2018,42.288
Bridge,8/7/2018,49.799
Muddy_Creek,6/19/2018,91.5
ODNR_4,6/19/2018,44
ODNR_6,6/19/2018,27.3
Bridge,6/19/2018,36.3
ODNR_2,6/19/2018,30.5
Buoy_2,6/19/2018,23.7
ODNR_1,6/19/2018,20.6
EC_1163,6/19/2018,19.5
Bells,6/19/2018,1.5
Muddy_Creek,6/26/2018,97.8
ODNR_4,6/26/2018,60.7
ODNR_6,6/26/2018,32.4
Bridge,6/26/2018,43.2
ODNR_2,6/26/2018,31.1
Buoy_2,6/26/2018,27.5
ODNR_1,6/26/2018,26.7
EC_1163,6/26/2018,21.6
Bells,6/26/2018,11
