site,Date,mc_elisa_final,notes
Muddy_Creek,6/5/2018,,no sample
ODNR_4,6/5/2018,,no sample
ODNR_6,6/5/2018,,no sample
Bridge,6/5/2018,,no sample
ODNR_2,6/5/2018,,no sample
Buoy_2,6/5/2018,,no sample
ODNR_1,6/5/2018,,no sample
EC_1163,6/5/2018,,no sample
Muddy_Creek,6/19/2018,,belowdetection
ODNR_4,6/19/2018,,belowdetection
ODNR_6,6/19/2018,8.13,
Bridge,6/19/2018,10.1,
ODNR_2,6/19/2018,9.38,
Buoy_2,6/19/2018,12.9,
ODNR_1,6/19/2018,8.46,
EC_1163,6/19/2018,6.83,
Bells,6/19/2018,,belowdetection
Muddy_Creek,6/26/2018,,belowdetection
ODNR_4,6/26/2018,7.44,
ODNR_6,6/26/2018,13.8,
Bridge,6/26/2018,15.8,
ODNR_2,6/26/2018,18,
Buoy_2,6/26/2018,14.1,
ODNR_1,6/26/2018,24.6,
EC_1163,6/26/2018,10.2,
Bells,6/26/2018,0.89,
Muddy_Creek,7/10/2018,4.17,
ODNR_4,7/10/2018,14.9,
ODNR_6,7/10/2018,20.4,
Bridge,7/10/2018,14.9,
ODNR_2,7/10/2018,11.7,
Buoy_2,7/10/2018,9.76,
ODNR_1,7/10/2018,10.7,
EC_1163,7/10/2018,6.68,
Bells,7/10/2018,3.56,
Muddy_Creek,7/24/2018,5.76,
ODNR_4,7/24/2018,5.65,
ODNR_6,7/24/2018,21.5,
Bridge,7/24/2018,12.5,
ODNR_2,7/24/2018,5.64,
Buoy_2,7/24/2018,2.66,
ODNR_1,7/24/2018,2.69,
EC_1163,7/24/2018,2.4,
Bells,7/24/2018,0.72,
Muddy_Creek,8/7/2018,4.4,
ODNR_4,8/7/2018,7.77,
ODNR_6,8/7/2018,8.34,
Bridge,8/7/2018,8.41,
Muddy_Creek,9/11/2018,2.34,
ODNR_4,9/11/2018,7.8,
ODNR_6,9/11/2018,7.76,
Bridge,9/11/2018,10.2,
ODNR_2,9/11/2018,10.9,
Buoy_2,9/11/2018,6.12,
ODNR_1,9/11/2018,6.25,
EC_1163,9/11/2018,7.7,
Bells,9/11/2018,,belowdetection
