site,date,avg_chl, microcystinDissolved,microcystintotal
Muddy Creek,6/10/2019,5.15,0,0
ODNR 4,6/10/2019,23.13,0.04,0.87
ODNR 6,6/10/2019,11.31,0.02,0.26
Bridge,6/10/2019,10.68,0.35,
ODNR 2,6/10/2019,14.91,0.43,
Buoy 2,6/10/2019,12.36,0.33,9.29
ODNR 1,6/10/2019,15.01,0.29,7.35
EC 1163,6/10/2019,9.79,0.24,13.09
Bells,6/10/2019,,,
Muddy Creek,6/17/2019,3.78,0,0
ODNR 4,6/17/2019,8.86,0,0
ODNR 6,6/17/2019,55.5,0.16,0.42
Bridge,6/17/2019,15.45,0.12,1.6
ODNR 2,6/17/2019,85.01,0.18,
Buoy 2,6/17/2019,149.72,0.38,8.06
ODNR 1,6/17/2019,166.77,0.51,7.58
EC 1163,6/17/2019,134.48,0.35,5.42
Bells,6/17/2019,6.6,0.13,0.2
Muddy Creek,7/8/2019,47.25,Below Detection,2.04
ODNR 4,7/8/2019,38.76,Below Detection,Below Detection
ODNR 6,7/8/2019,78.72,Below Detection,
Bridge,7/8/2019,126.26,Below Detection,0.2
ODNR 2,7/8/2019,120.04,0.21,0.25
Buoy 2,7/8/2019,112.04,0.19,Below Detection
ODNR 1,7/8/2019,107.47,0.19,0.77
EC 1163,7/8/2019,96.84,0.85,1.28
Bells,7/8/2019,,,
Muddy Creek,8/5/2019,90.88,Below Detection,0.18
ODNR 4,8/5/2019,97.97,0.18,1.42
ODNR 6,8/5/2019,80.77,0.18,2.09
Bridge,8/5/2019,112.63,Below Detection,2.48
ODNR 2,8/5/2019,80.11,Below Detection,2.94
Buoy 2,8/5/2019,48.97,Below Detection,2.73
ODNR 1,8/5/2019,71.01,Below Detection,1.74
EC 1163,8/5/2019,51.03,Below Detection,1.98
Bells,8/5/2019,22.34,Below Detection,0.16
Muddy Creek,8/19/2019,,,
ODNR 4,8/19/2019,,,
ODNR 6,8/19/2019,,,
Bridge,8/19/2019,,,
ODNR 2,8/19/2019,59.24,0.3,1.09
Buoy 2,8/19/2019,68.46,0.23,0.85
ODNR 1,8/19/2019,60.08,0.2,0.87
EC 1163,8/19/2019,60.18,Below Detection,1.04
Bells,8/19/2019,,Below Detection,1.04
