site,date,avg_chl
Muddy Creek,6/10/2019,5.15
ODNR 4,6/10/2019,23.13
ODNR 6,6/10/2019,11.31
Bridge,6/10/2019,10.68
ODNR 2,6/10/2019,14.91
Buoy 2,6/10/2019,12.36
ODNR 1,6/10/2019,15.01
EC 1163,6/10/2019,9.79
Bells,6/10/2019,
Muddy Creek,6/17/2019,3.78
ODNR 4,6/17/2019,8.86
ODNR 6,6/17/2019,55.5
Bridge,6/17/2019,15.45
ODNR 2,6/17/2019,85.01
Buoy 2,6/17/2019,149.72
ODNR 1,6/17/2019,166.77
EC 1163,6/17/2019,134.48
Bells,6/17/2019,6.6
Muddy Creek,7/8/2019,47.25
ODNR 4,7/8/2019,38.76
ODNR 6,7/8/2019,78.72
Bridge,7/8/2019,126.26
ODNR 2,7/8/2019,120.04
Buoy 2,7/8/2019,112.04
ODNR 1,7/8/2019,107.47
EC 1163,7/8/2019,96.84
Bells,7/8/2019,
Muddy Creek,8/5/2019,90.88
ODNR 4,8/5/2019,97.97
ODNR 6,8/5/2019,80.77
Bridge,8/5/2019,112.63
ODNR 2,8/5/2019,80.11
Buoy 2,8/5/2019,48.97
ODNR 1,8/5/2019,71.01
EC 1163,8/5/2019,51.03
Bells,8/5/2019,22.34
Muddy Creek,8/19/2019,
ODNR 4,8/19/2019,
ODNR 6,8/19/2019,
Bridge,8/19/2019,
ODNR 2,8/19/2019,59.24
Buoy 2,8/19/2019,68.46
ODNR 1,8/19/2019,60.08
EC 1163,8/19/2019,60.18
Bells,8/19/2019,
