date,site,time_on,air_temp,Temperature,Dissolved_Oxygen,Secchi,Conductivity,pH,sample_depth,time_off,weather,waves,Notes
6/10/2019,Muddy Creek,9:40:00 AM,21.7,20.58,4.99,0.25,,8.63,1m,10:15:00 AM,Rain,none,"5 filters at 1 m, 2 filters at 3.25 m"
6/10/2019,ODNR 4,10:25:00 AM,21.7,21.08,6.42,0.25,,8.92,1m,10:55:00 AM,Cloudy,none,"8 at 1 m, 2 at 2 m"
6/10/2019,ODNR 6,11:08:00 AM,21.7,20.94,7.11,0.25,,8.95,1m,11:22:00 AM,Cloudy,none,3 at 1 m
6/10/2019,Bridge,11:32:00 AM,21.7,21.36,9.57,0.25,,10.05,1m,11:45:00 AM,Rain,none,3 at 1 m
6/10/2019,ODNR 2,11:55:00 AM,21.7,21.31,9.76,0.25,,10.12,1m,12:10:00 PM,Rain,none,3 at 1 m
6/10/2019,Buoy 2,12:16:00 PM,21.7,21.23,9.92,0.25,,10.1,1m,12:30:00 PM,Rain,none,3 at 1 m
6/10/2019,ODNR 1,12:35:00 PM,21.7,21.3,10.17,0.25,,10.13,1m,12:55:00 PM,Rain,none,
6/10/2019,EC 1163,1:05:00 AM,21.7,21.06,9.74,0.25,,9.94,1m,1:25:00 AM,Rain,none,
6/10/2019,Bells,,,,,,,,,,,,Not sampled due to weather
6/17/2019,Muddy Creek,9:50:00 AM,18.9,17.77,7.8,,0.33,8.84,1 m,10:25:00 AM,cloudy,none,
6/17/2019,Muddy Creek sed,,,17.75,7.94,,0.33,8.82,5.1 ft,,,none,
6/17/2019,ODNR 4 sed,10:35:00 AM,18.9,17.72,7.88,,0.4,8.82,1 m,11:10:00 AM,cloudy,none,
6/17/2019,ODNR 4,,,17.25,8.14,,0.37,8.86,6.5 ft,,,none,
6/17/2019,ODNR 6,11:20:00 AM,18.9,19.03,8.77,,0.43,9.25,1 m,11:50:00 AM,cloudy,none,
6/17/2019,ODNR 6 sed,,,,,,,,,,,none,
6/17/2019,Bridge,11:57:00 AM,19.5,19.07,8.11,,0.4,9.13,1 m,12:05:00 PM,cloudy,none,
6/17/2019,Bridge sed,,,,,,,,,,,none,
6/17/2019,ODNR 2,12:18:00 PM,18.9,19.29,11.3,,0.42,9.98,1 m,12:32:00 PM,cloudy,none,
6/17/2019,ODNR 2 sed,,,,,,,,,,,none,
6/17/2019,Buoy 2,12:38:00 PM,18.9,19.37,12.39,,0.39,10.04,1 m,12:52:00 PM,cloudy,none,
6/17/2019,Buoy 2 sed,,,,,,,,,,,none,
6/17/2019,ODNR 1,12:54:00 PM,18.9,19.43,11.36,,0.42,9.95,1 m,1:25:00 AM,cloudy,none,
6/17/2019,ODNR 1 sed,,,18.94,8.31,,0.42,9.31,10.5 ft,,,none,
6/17/2019,EC 1163,1:30:00 AM,18.9,19.77,12.54,,0.38,10.05,1 m,1:55:00 AM,cloudy,none,
6/17/2019,EC 1163 sed,,,,,,,,,,,none,
6/17/2019,Bells,2:05:00 AM,18.9,10.35,10.35,,0.29,9.41,1 m,2:30:00 AM,cloudy,none,
6/17/2019,Bells sed,,,18.45,10.13,,0.3,9.33,6 m,,,,
7/8/2019,Muddy Creek,9:30:00 AM,22.22,26,5.16,0.25,0.45,8.65,1m,10:03:00 AM,Clear,,
7/8/2019,ODNR 4,10:11:00 AM,22.78,25.86,7.73,0.25,0.36,9.03,1m,10:45:00 AM,Clear,,
