site,date_time,discharge,note
4198000,1/1/2019 0:00,2800,cubic feet per second
4198000,1/1/2019 0:15,2940,cubic feet per second
4198000,1/1/2019 0:30,3070,cubic feet per second
4198000,1/1/2019 0:45,3220,cubic feet per second
4198000,1/1/2019 1:00,3360,cubic feet per second
4198000,1/1/2019 1:15,3510,cubic feet per second
4198000,1/1/2019 1:30,3660,cubic feet per second
4198000,1/1/2019 1:45,3810,cubic feet per second
4198000,1/1/2019 2:00,3940,cubic feet per second
4198000,1/1/2019 2:15,4090,cubic feet per second
4198000,1/1/2019 2:30,4250,cubic feet per second
4198000,1/1/2019 2:45,4360,cubic feet per second
4198000,1/1/2019 3:00,4530,cubic feet per second
4198000,1/1/2019 3:15,4670,cubic feet per second
4198000,1/1/2019 3:30,4790,cubic feet per second
4198000,1/1/2019 3:45,4940,cubic feet per second
4198000,1/1/2019 4:00,5080,cubic feet per second
4198000,1/1/2019 4:15,5210,cubic feet per second
4198000,1/1/2019 4:30,5330,cubic feet per second
4198000,1/1/2019 4:45,5480,cubic feet per second
4198000,1/1/2019 5:00,5610,cubic feet per second
4198000,1/1/2019 5:15,5730,cubic feet per second
4198000,1/1/2019 5:30,5860,cubic feet per second
4198000,1/1/2019 5:45,6000,cubic feet per second
4198000,1/1/2019 6:00,6130,cubic feet per second
4198000,1/1/2019 6:15,6260,cubic feet per second
4198000,1/1/2019 6:30,6370,cubic feet per second
4198000,1/1/2019 6:45,6540,cubic feet per second
4198000,1/1/2019 7:00,6670,cubic feet per second
4198000,1/1/2019 7:15,6820,cubic feet per second
4198000,1/1/2019 7:30,6930,cubic feet per second
4198000,1/1/2019 7:45,7060,cubic feet per second
4198000,1/1/2019 8:00,7170,cubic feet per second
4198000,1/1/2019 8:15,7300,cubic feet per second
4198000,1/1/2019 8:30,7410,cubic feet per second
4198000,1/1/2019 8:45,7540,cubic feet per second
4198000,1/1/2019 9:00,7600,cubic feet per second
4198000,1/1/2019 9:15,7700,cubic feet per second
4198000,1/1/2019 9:30,7780,cubic feet per second
4198000,1/1/2019 9:45,7890,cubic feet per second
4198000,1/1/2019 10:00,7950,cubic feet per second
4198000,1/1/2019 10:15,8060,cubic feet per second
4198000,1/1/2019 10:30,8140,cubic feet per second
4198000,1/1/2019 10:45,8200,cubic feet per second
4198000,1/1/2019 11:00,8280,cubic feet per second
4198000,1/1/2019 11:15,8340,cubic feet per second
4198000,1/1/2019 11:30,8370,cubic feet per second
4198000,1/1/2019 11:45,8420,cubic feet per second
4198000,1/1/2019 12:00,8480,cubic feet per second
