site,tot_diss,date,dilution,Average_ABS,Good_Bad,B_Bo,Conc,vol_ext,vol_fil,Ext-fil,QL_correct,dil_correct,mc_elisa_final,notes
ODNR 1,Total,6/10/2019,1:10,0.912,Good,57.32243872,0.929074549,1,1,1,1,10,9.291,
ODNR 1,Dissolved,6/10/2019,,1.2045,Good,75.70710245,0.332506181,1,1,1,1,1,0.333,
EC 1163,Total,6/10/2019,1:10,0.809,Good,50.84852294,1.309228193,1,1,1,1,10,13.092,
EC 1163,Dissolved,6/10/2019,,1.285,Good,80.76681332,0.235120355,1,1,1,1,1,0.235,
Buoy 2,Total,6/10/2019,1:10,0.983,Good,61.78504085,0.734603135,1,1,1,1,10,7.346,
Buoy 2,Dissolved,6/10/2019,,1.2405,Good,77.9698303,0.286574965,1,1,1,1,1,0.287,
Muddy Creek,Total,6/10/2019,,1.7125,BAD,107.6367065,#NUM!,1,1,1,1,1,,belowdetection
Muddy Creek,Dissolved,6/10/2019,,1.8085,BAD,113.6706474,#NUM!,1,1,1,1,1,,belowdetection
ODNR 4,Total,6/10/2019,1:10,1.1345,Good,71.30735387,0.434678181,1,1,1,1,2,0.869,
ODNR 4,Dissolved,6/10/2019,,1.519,Good,95.47454431,0.039701178,1,1,1,1,1,0.040,
ODNR 6,Total,6/10/2019,,1.259,Good,79.13262099,0.264506442,1,1,1,1,1,0.265,
ODNR 6,Dissolved,6/10/2019,,1.549,Good,97.36015085,0.022433709,1,1,1,1,1,0.022,
Bridge,Dissolved,6/10/2019,,1.195,Good,75.10999371,0.345328561,1,1,1,1,1,0.345,
ODNR 2,Total,6/10/2019,,0.2265,BAD,14.23632935,#NUM!,1,1,1,1,1,,overdetection
ODNR 2,Dissolved,6/10/2019,,1.135,Good,71.33878064,0.433880986,1,1,1,1,1,0.434,
Muddy Creek,Total,6/17/2019,,1.695,BAD,106.5367693,#NUM!,1,1,1,1,1,,belowdetection
Muddy Creek,Dissolved,6/17/2019,,1.88,BAD,118.1646763,#NUM!,1,1,1,1,1,,belowdetection
ODNR 4,Total,6/17/2019,,1.7415,BAD,109.4594595,#NUM!,1,1,1,1,1,,belowdetection
ODNR 4,Dissolved,6/17/2019,,1.74,BAD,109.3651791,#NUM!,1,1,1,1,1,,belowdetection
ODNR 6,Total,6/17/2019,1:10,1.5155,Good,95.25455688,0.0418322,1,10,0.1,1,1,0.004,
ODNR 6,Dissolved,6/17/2019,,1.357,Good,85.29226901,0.162698597,1,1,1,1,1,0.163,
Bridge,Total,6/17/2019,,0.7515,Good,47.23444375,1.596060203,1,1,1,1,1,1.596,
Bridge,Dissolved,6/17/2019,,1.405,Good,88.30923947,0.120907348,1,1,1,1,1,0.121,
ODNR 2,Dissolved,6/17/2019,,1.341,Good,84.28661219,0.177732742,1,1,1,1,1,0.178,
ODNR 1,Total,6/17/2019,1:10,0.9735,Good,61.18793212,0.758174231,1,1,1,1,10,7.582,
ODNR 1,Dissolved,6/17/2019,,1.0885,Good,68.41609051,0.512747527,1,1,1,1,1,0.513,
Buoy 2,Total,6/17/2019,1:10,0.955,Good,60.02514142,0.806111511,1,1,1,1,10,8.061,
Buoy 2,Dissolved,6/17/2019,,1.168,Good,73.41294783,0.383495683,1,1,1,1,1,0.383,
EC 1163,Total,6/17/2019,1:10,1.0725,Good,67.41043369,0.542263756,1,1,1,1,10,5.423,
EC 1163,Dissolved,6/17/2019,,1.1925,Good,74.95285984,0.348754014,1,1,1,1,1,0.349,
Bells,Total,6/17/2019,,1.318,Good,82.84098052,0.200376097,1,1,1,1,1,0.200,
Bells,Dissolved,6/17/2019,,1.39335,Good,87.5769956,0.130610406,1,1,1,1,1,0.131,
Bridge,Total,4/22/2019,,1.086,Good,68.25895663,0.517274346,1,1,1,1,1,0.517,
Bridge,Dissolved,4/22/2019,,1.7985,BAD,113.0421119,#NUM!,1,1,1,1,1,,belowdetection
Bridge,Total,5/29/2019,1:10,1.465,Good,92.08045255,0.07513155,1,1,1,1,10,0.751,
Bridge,Dissolved,5/29/2019,,1.5315,Good,96.2602137,0.032284545,1,1,1,1,1,0.032,
Bridge,Total,6/12/2019,1:10,1.0225,Good,64.26775613,0.643521229,1,1,1,1,10,6.435,
Bridge,Dissolved,6/12/2019,,0.8885,Good,55.84538026,1.004031818,1,1,1,1,1,1.004,
Muddy Creek,Total,8/5/2019,,1.1685,Good,84.45970365,0.17510399,1,1,1,1,1,0.175,
Muddy Creek,Dissolved,8/5/2019,,1.326,Good,95.84387423,0.036176602,1,1,1,1,1,0.036,
ODNR 4,Total,8/5/2019,,0.6835,Good,49.4036863,1.41593112,1,1,1,1,1,1.416,
ODNR 4,Dissolved,8/5/2019,,1.161,Good,83.91760029,0.183394994,1,1,1,1,1,0.183,
ODNR 6,Total,8/5/2019,,0.5895,Good,42.60932418,2.085246551,1,1,1,1,1,2.085,
ODNR 6,Dissolved,8/5/2019,,1.1645,Good,84.17058186,0.179504605,1,1,1,1,1,0.180,
Bridge,Total,8/5/2019,,0.551,Good,39.82652692,2.476747494,1,1,1,1,1,2.477,
Bridge,Dissolved,8/5/2019,,1.2435,Good,89.88073726,0.100993311,1,1,1,1,1,0.101,
ODNR 2,Total,8/5/2019,,0.515,Good,37.22443079,2.94042812,1,1,1,1,1,2.940,
ODNR 2,Dissolved,8/5/2019,,1.2195,Good,88.14600651,0.12304665,1,1,1,1,1,0.123,
Buoy 2,Total,8/5/2019,,0.53,Good,38.30863751,2.73353668,1,1,1,1,1,2.734,
Buoy 2,Dissolved,8/5/2019,,1.2875,Good,93.06107698,0.06433931,1,1,1,1,1,0.064,
ODNR 1,Total,8/5/2019,,0.6325,Good,45.71738345,1.738752356,1,1,1,1,1,1.739,
ODNR 1,Dissolved,8/5/2019,,1.2,Good,86.73653777,0.142089748,1,1,1,1,1,0.142,
EC 1163,Total,8/5/2019,,0.602,Good,43.51282978,1.975986671,1,1,1,1,1,1.976,
EC 1163,Dissolved,8/5/2019,,1.314,Good,94.97650885,0.044559083,1,1,1,1,1,0.045,
Bells,Total,8/5/2019,,1.1835,Good,85.54391037,0.159025736,1,1,1,1,1,0.159,
Bells,Dissolved,8/5/2019,,1.311,Good,94.75966751,0.046711405,1,1,1,1,1,0.047,
ODNR 2,Total,8/19/2019,,0.653,Good,54.2358804,1.092919233,1,1,1,1,1,1.093,
ODNR 2,Dissolved,8/19/2019,,0.9335,Good,77.53322259,0.295122691,1,1,1,1,1,0.295,
Buoy 2,Total,8/19/2019,,0.7105,Good,59.01162791,0.850233523,1,1,1,1,1,0.850,
Buoy 2,Dissolved,8/19/2019,,0.97,Good,80.56478405,0.238654051,1,1,1,1,1,0.239,
ODNR 1,Total,8/19/2019,,0.7065,Good,58.67940199,0.865199123,1,1,1,1,1,0.865,
ODNR 1,Dissolved,8/19/2019,,1.0005,Good,83.09800664,0.196258752,1,1,1,1,1,0.196,
EC 1163,Total,8/19/2019,,0.6645,Good,55.1910299,1.039212037,1,1,1,1,1,1.039,
EC 1163,Dissolved,8/19/2019,,1.0915,Good,90.65614618,0.091613155,1,1,1,1,1,0.092,
Bells,Total,8/19/2019,,0.6635,Good,55.10797342,1.043769133,1,1,1,1,1,1.044,
Bells,Dissolved,8/19/2019,,1.0705,Good,88.91196013,0.113124625,1,1,1,1,1,0.113,
