site,date,filt_vol,solv_vol,OG_Fluor_Reading,fluor_reading ,Final_chl
EC_1163,5/23/2020,10,10,,40.2,40.2
EC_1163,5/23/2020,10,10,,42.65,42.65
EC_1163,5/23/2020,10,10,,47.5,47.5
Clemons,5/23/2020,10,10,,46.19,46.19
Clemons,5/23/2020,10,10,,47.19,47.19
Clemons,5/23/2020,10,10,,47.44,47.44
Muddy_Creek,6/8/2020,10,10,,27.64,138.2
Muddy_Creek,6/8/2020,10,10,,17.24,86.2
Muddy_Creek,6/8/2020,10,10,,33.5,167.5
ODNR_4,6/8/2020,10,10,,25.17,25.17
ODNR_4,6/8/2020,10,10,,22.08,22.08
ODNR_4,6/8/2020,10,10,,27,27
ODNR_6,6/8/2020,10,10,,22.91,22.91
ODNR_6,6/8/2020,10,10,,21.61,21.61
ODNR_6,6/8/2020,10,10,,17.75,17.75
Bridge,6/8/2020,10,10,,36.25,36.25
Bridge,6/8/2020,10,10,,6.26,6.26
Bridge,6/8/2020,10,10,,22.72,22.72
ODNR_2,6/8/2020,10,10,,74.5,74.5
ODNR_2,6/8/2020,10,10,,64.31,64.31
ODNR_2,6/8/2020,10,10,,74.98,74.98
Buoy_2,6/8/2020,10,10,,23.56,23.56
Buoy_2,6/8/2020,10,10,,25.63,25.63
Buoy_2,6/8/2020,10,10,,29.7,29.7
ODNR_1,6/8/2020,10,10,,57.08,57.08
ODNR_1,6/8/2020,10,10,,70.54,70.54
ODNR_1,6/8/2020,10,10,,58.52,58.52
EC_1163,6/8/2020,10,10,,37.37,37.37
EC_1163,6/8/2020,10,10,,30.31,30.31
EC_1163,6/8/2020,10,10,,36.93,36.93
Bells,6/8/2020,10,10,,,
Bells,6/8/2020,10,10,,,
Bells,6/8/2020,10,10,,,
Muddy_Creek,6/15/2020,10,10,,36.77,36.77
Muddy_Creek,6/15/2020,10,10,,40.84,40.84
Muddy_Creek,6/15/2020,10,10,,40.72,40.72
ODNR_4,6/15/2020,10,10,,53.28,53.28
ODNR_4,6/15/2020,10,10,,64.91,64.91
ODNR_4,6/15/2020,10,10,,47.43,47.43
ODNR_6,6/15/2020,10,10,,29.67,29.67
ODNR_6,6/15/2020,10,10,,28.22,28.22
ODNR_6,6/15/2020,10,10,,24.84,24.84
Bridge,6/15/2020,10,10,,33.06,33.06
