site,date,time_on,air_temp,Temperature,AS_water_temp,Dissolved_Oxygen,AS_DO,Secchi,Conductivity,spc,AS_cond,AS_spc,pH,AS_pH
Muddy_Creek,6/8/2020,10:00:00 AM,22.78,24.25,,10.63,,18,509,,,,9.48,
ODNR_4,6/8/2020,10:45:00 AM,22.22,24.25,23.9,7.33,6.25,36,486,,493,,9.03,8.97
ODNR_6,6/8/2020,11:42:00 AM,21.67,23.86,,5.68,,67,480,,,,8.75,
Bridge,6/8/2020,12:20:00 PM,21.67,23.79,23.61,5.31,4.02,51.5,474,,468,,8.62,8.6
ODNR_2,6/8/2020,1:33:00 AM,21.67,24.02,,8.9,,97,454,,,,9.26,
Buoy_2,6/8/2020,1:55:00 AM,21.11,23.14,,8.11,,97,400,,,,9.04,
ODNR_1,6/8/2020,2:25:00 AM,20.56,23.31,,9.78,,97,395,,,,9.37,
EC_1163,6/8/2020,3:12:00 AM,21.11,22.62,21.46,9.52,6.75,97,353,,377,,9.16,8.85
Muddy_Creek,6/15/2020,9:33:00 AM,20.56,20.18,,8.28,,36,,,,,9.16,
ODNR_4,6/15/2020,10:16:00 AM,20.56,19.96,19.9,10.24,10.42,36,466,,466,,9.29,9.34
ODNR_6,6/15/2020,11:14:00 AM,21.11,20.58,,10.17,,51.5,487,,,,9.38,
Bridge,6/15/2020,11:48:00 AM,18.33,20.77,20.71,10.29,10.57,67,484,,486,,9.43,9.39
ODNR_2,6/15/2020,12:44:00 PM,19.44,20.31,,10.76,,67,416,,,,9.47,
Buoy_2,6/15/2020,1:10:00 AM,18.89,19.9,,11.44,,67,373,,,,9.48,
ODNR_1,6/15/2020,1:30:00 AM,18.89,19.55,19.35,12.17,12.21,67,344,,340,,9.46,9.46
EC_1163,6/15/2020,2:07:00 AM,19.44,19.35,19.23,11.54,11.77,51.5,288,,291,,9.31,9.32
Muddy_Creek,6/22/2020,9:58:00 AM,22.22,25.56,,8.14,,18,539,,,,9.49,
ODNR_4,6/22/2020,10:30:00 AM,22.22,25.69,25.75,10.37,10.12,43.75,483,,486,,9.77,9.72
ODNR_6,6/22/2020,11:05:00 AM,22.22,24.97,,11.32,,51.5,464,,,,9.86,
Bridge,6/22/2020,11:30:00 AM,22.78,25.16,25.16,8.23,7.74,67,458,,457,,9.4,9.33
ODNR_2,6/22/2020,12:00:00 PM,22.78,25.48,,11.58,,97,419,,,,9.82,
Buoy_2,6/22/2020,12:25:00 PM,23.89,25.14,,11.47,,,378,,,,9.78,
ODNR_1,6/22/2020,12:55:00 PM,23.89,25.52,24.26,13.13,7.63,,418,,421,,9.9,8.32
