"site","date","rep","Depth","LightValue","Light_0","doy"
"Muddy Creek",2020-06-08,"avg",0,149.2,149.2,160
"Muddy Creek",2020-06-08,"avg",0.5,5.75,149.2,160
"Muddy Creek",2020-06-08,"avg",1,0.39,149.2,160
"Muddy Creek",2020-06-08,"avg",1.5,0.03,149.2,160
"ODNR 4",2020-06-08,"avg",0,127.835,127.835,160
"ODNR 4",2020-06-08,"avg",0.5,21.365,127.835,160
"ODNR 4",2020-06-08,"avg",1,4.365,127.835,160
"ODNR 4",2020-06-08,"avg",1.5,0.585,127.835,160
"ODNR 4",2020-06-08,"avg",2,0.13,127.835,160
"ODNR 4",2020-06-08,"avg",2.5,0.025,127.835,160
"ODNR 6",2020-06-08,"avg",0,181.16,181.16,160
"ODNR 6",2020-06-08,"avg",0.5,32.935,181.16,160
"ODNR 6",2020-06-08,"avg",1,6.165,181.16,160
"ODNR 6",2020-06-08,"avg",1.5,2.395,181.16,160
"ODNR 6",2020-06-08,"avg",2,0.715,181.16,160
"ODNR 6",2020-06-08,"avg",2.5,0.14,181.16,160
"ODNR 6",2020-06-08,"avg",3,0.075,181.16,160
"ODNR 2",2020-06-08,"avg",0,195.045,195.045,160
"ODNR 2",2020-06-08,"avg",0.5,25.52,195.045,160
"ODNR 2",2020-06-08,"avg",1,6.41,195.045,160
"ODNR 2",2020-06-08,"avg",1.5,0.985,195.045,160
"ODNR 2",2020-06-08,"avg",2,0.235,195.045,160
"ODNR 2",2020-06-08,"avg",2.5,0.08,195.045,160
"ODNR 2",2020-06-08,"avg",3,0.015,195.045,160
"Buoy 2",2020-06-08,"avg",0,199.45,199.45,160
"Buoy 2",2020-06-08,"avg",0.5,85.865,199.45,160
"Buoy 2",2020-06-08,"avg",1,32.17,199.45,160
"Buoy 2",2020-06-08,"avg",1.5,14.31,199.45,160
"Buoy 2",2020-06-08,"avg",2,6.03,199.45,160
"Buoy 2",2020-06-08,"avg",2.5,2.075,199.45,160
"Buoy 2",2020-06-08,"avg",3,1.045,199.45,160
"Buoy 2",2020-06-08,"avg",3.5,0.34,199.45,160
"Buoy 2",2020-06-08,"avg",4,0.075,199.45,160
"ODNR 1",2020-06-08,"avg",0,189.85,189.85,160
"ODNR 1",2020-06-08,"avg",0.5,73.465,189.85,160
"ODNR 1",2020-06-08,"avg",1,21.43,189.85,160
"ODNR 1",2020-06-08,"avg",1.5,9.455,189.85,160
"ODNR 1",2020-06-08,"avg",2,2.755,189.85,160
"ODNR 1",2020-06-08,"avg",2.5,1.035,189.85,160
"ODNR 1",2020-06-08,"avg",3,0.35,189.85,160
"ODNR 1",2020-06-08,"avg",3.5,0.07,189.85,160
"EC 1163",2020-06-08,"avg",0,142.335,142.335,160
"EC 1163",2020-06-08,"avg",0.5,63.82,142.335,160
"EC 1163",2020-06-08,"avg",1,22.225,142.335,160
"EC 1163",2020-06-08,"avg",1.5,8.22,142.335,160
"EC 1163",2020-06-08,"avg",2,4.495,142.335,160
"EC 1163",2020-06-08,"avg",2.5,2.52,142.335,160
"EC 1163",2020-06-08,"avg",3,0.895,142.335,160
"EC 1163",2020-06-08,"avg",3.5,0.4,142.335,160
"EC 1163",2020-06-08,"avg",4,0.16,142.335,160
"EC 1163",2020-06-08,"avg",5,0.08,142.335,160
"Muddy Creek",2020-06-15,"avg",0,123.58,123.58,167
"Muddy Creek",2020-06-15,"avg",0.5,1.26,123.58,167
"Muddy Creek",2020-06-15,"avg",1,0.805,123.58,167
"ODNR 4",2020-06-15,"avg",0,145.54,145.54,167
"ODNR 4",2020-06-15,"avg",0.5,5.55,145.54,167
"ODNR 4",2020-06-15,"avg",1,0.275,145.54,167
"ODNR 4",2020-06-15,"avg",1.5,0.01,145.54,167
"ODNR 6",2020-06-15,"avg",0,153.16,153.16,167
"ODNR 6",2020-06-15,"avg",0.5,28.835,153.16,167
"ODNR 6",2020-06-15,"avg",1,11.56,153.16,167
"ODNR 6",2020-06-15,"avg",1.5,4.695,153.16,167
"ODNR 6",2020-06-15,"avg",2,0.12,153.16,167
"ODNR 6",2020-06-15,"avg",2.5,0.025,153.16,167
"ODNR 2",2020-06-15,"avg",0,161.61,161.61,167
"ODNR 2",2020-06-15,"avg",0.5,40.6,161.61,167
"ODNR 2",2020-06-15,"avg",1,7.415,161.61,167
"ODNR 2",2020-06-15,"avg",1.5,1.73,161.61,167
"ODNR 2",2020-06-15,"avg",2,0.325,161.61,167
"ODNR 2",2020-06-15,"avg",2.5,0.06,161.61,167
"Buoy 2",2020-06-15,"avg",0,134.165,134.165,167
"Buoy 2",2020-06-15,"avg",0.5,46.93,134.165,167
"Buoy 2",2020-06-15,"avg",1,12.665,134.165,167
"Buoy 2",2020-06-15,"avg",1.5,2.87,134.165,167
"Buoy 2",2020-06-15,"avg",2,0.45,134.165,167
"Buoy 2",2020-06-15,"avg",2.5,0.17,134.165,167
"Buoy 2",2020-06-15,"avg",3,0.04,134.165,167
"ODNR 1",2020-06-15,"avg",0,136.73,136.73,167
"ODNR 1",2020-06-15,"avg",0.5,51.145,136.73,167
"ODNR 1",2020-06-15,"avg",1,16.48,136.73,167
"ODNR 1",2020-06-15,"avg",1.5,4.325,136.73,167
