site,date,rep,0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,6,7,8,9,10,11,12,13,14,notes
Muddy Creek,6/8/2020,1,149.2,5.75,0.39,0.03,,,,,,,,,,,,,,,,,
ODNR 4,6/8/2020,1,163.94,20.62,4.85,0.63,0.13,0.02,,,,,,,,,,,,,,,
ODNR 6,6/8/2020,1,203.7,34.81,5.25,2.48,0.8,0.16,0.02,,,,,,,,,,,,,,
ODNR 2,6/8/2020,1,192.01,21.19,7.51,1.15,0.21,0.09,0.02,,,,,,,,,,,,,,
Buoy 2,6/8/2020,1,191.9,93.57,32.47,14.69,6.74,2.23,0.96,0.32,0.09,,,,,,,,,,,,
ODNR 1,6/8/2020,1,183.8,71.56,20.96,9.9,3.31,0.96,0.33,0.04,,,,,,,,,,,,,
EC 1163,6/8/2020,1,146.48,55.4,22.92,9.04,4.46,2.52,0.93,0.37,0.16,,0.08,,,,,,,,,,
Bells,6/8/2020,1,,,,,,,,,,,,,,,,,,,,,
Muddy Creek,6/15/2020,1,127.55,1.11,0.99,,,,,,,,,,,,,,,,,,
ODNR 4,6/15/2020,1,145.89,6.56,0.39,0.01,,,,,,,,,,,,,,,,,
ODNR 6,6/15/2020,1,157.48,28.64,7.03,5.69,0.17,0.02,,,,,,,,,,,,,,,
ODNR 2,6/15/2020,1,167.09,41.72,8.88,2.08,0.38,0.05,,,,,,,,,,,,,,,
Buoy 2,6/15/2020,1,138.73,47.31,14.74,3.51,0.42,0.2,0.03,,,,,,,,,,,,,,
ODNR 1,6/15/2020,1,145.34,59.39,16.43,4.14,1.98,1.05,0.3,0.19,0.03,,,,,,,,,,,,
EC 1163,6/15/2020,1,153.14,24.19,4.56,0.92,0.21,0.05,,,,,,,,,,,,,,,
Bells,6/15/2020,1,,,,,,,,,,,,,,,,,,,,,
Muddy Creek,6/22/2020,1,11.16,0.18,,,,,,,,,,,,,,,,,,,
ODNR 4,6/22/2020,1,8.92,1.48,0.25,0.05,0,,,,,,,,,,,,,,,,
ODNR 6,6/22/2020,1,20.87,4.82,1.57,0.48,0.16,0.05,0.01,,,,,,,,,,,,,,
ODNR 2,6/22/2020,1,26.25,17.12,9.22,4.25,2.07,1.04,0.32,0.01,0,,,,,,,,,,,,
Buoy 2,6/22/2020,1,79.03,72.71,47.09,28.93,16.63,11.64,7.49,3.01,0.06,,0,,,,,,,,,,
ODNR 1,6/22/2020,1,121.93,65.55,32.41,15.09,6.58,3.64,1.58,0.48,0.07,,,,,,,,,,,,
EC 1163,6/22/2020,1,62.14,15.28,10.55,7.97,9.44,7.18,4.21,3.12,2.38,,1.14,0,,,,,,,,,
Bells,6/22/2020,1,122.38,13.22,11.77,13.93,11.28,9.7,8.96,6.89,5.66,,4.4,3.2,2.81,1.93,1.51,1.04,0.01,0,0,0,
Muddy Creek,6/29/2020,1,164.43,4.95,0.3,0.01,,,,,,,,,,,,,,,,,
ODNR 4,6/29/2020,1,133.89,11.76,1.31,0.39,0.08,,,,,,,,,,,,,,,,
ODNR 6,6/29/2020,1,826.8,346.6,161.8,81.7,22.3,6.7,1,0.5,,,,,,,,,,,,,
ODNR 2,6/29/2020,1,1401.6,629.2,303.6,94.6,43.6,24.8,13.2,,,,,,,,,,,,,,
Buoy 2,6/29/2020,1,486.5,506.7,345.9,152.7,67.6,47.6,22.6,15.4,4.2,,,,,,,,,,,,
ODNR 1,6/29/2020,1,1158.2,336.8,108.2,96.9,73,78.7,41.8,3.5,,,,,,,,,,,,,
EC 1163,6/29/2020,1,871.7,459.4,151.7,106.7,50.7,15.1,6.7,4.9,,,,,,,,,,,,,
Bells,6/29/2020,1,768,788.3,661.2,541.8,492.5,395.9,332.4,263.7,217.6,,146.6,73,31.5,8.4,16.4,,,,,,
Muddy Creek,7/6/2020,1,64,5.7,0.01,,,,,,,,,,,,,,,,,,
ODNR 4,7/6/2020,1,1375,220.1,36.8,8.9,1.6,0.2,,,,,,,,,,,,,,,
ODNR 6,7/6/2020,1,1458.2,434.2,81.2,36.1,11.9,4.6,0.9,,,,,,,,,,,,,,
ODNR 2,7/6/2020,1,1650.1,519.4,264.3,64.9,16.6,5.6,1.4,,,,,,,,,,,,,,
Buoy 2,7/6/2020,1,1589.1,674.6,351.3,155.8,68.4,41.3,19.1,2.1,0.9,,,,,,,,,,,,
ODNR 1,7/6/2020,1,1432.5,731.1,377.8,211.4,105.8,50.6,19.7,10.3,3.6,,,,,,,,,,,,
EC 1163,7/6/2020,1,1756.9,784.7,519.1,303.8,183.9,107,53.5,32,19.4,8.8,,,,,,,,,,,
Bells,7/6/2020,1,1416.9,839.4,761,674.3,552.7,372.9,349.6,297.2,222.6,,180.7,157.8,111.8,,,,,,,,
Muddy Creek,7/13/2020,1,1139.6,21.71,1.76,0.03,,,,,,,,,,,,,,,,,
ODNR 4,7/13/2020,1,1301.9,108.44,18.01,2.85,0.55,0.08,,,,,,,,,,,,,,,To Bottom
ODNR 6,7/13/2020,1,540.9,99.89,21.74,3.59,0.65,0.15,0.03,,,,,,,,,,,,,,
ODNR 2,7/13/2020,1,1322.9,155.12,75.97,24.75,8.91,3.41,0.71,,,,,,,,,,,,,,To Bottom
Buoy 2,7/13/2020,1,1648.7,359.8,110.63,41.32,3.14,0.58,0.18,0.09,,,,,,,,,,,,,
ODNR 1,7/13/2020,1,300.4,223.9,167.48,80.17,26.05,10.91,4.69,2.44,0.95,,,,,,,,,,,,To bottom
