Date,Site,Nitrate_NO2,Ammonium,Nitrite,DRP,Silicate,Nitrate,TP,TKN,TN,TN_TP
5/23/2020,Clemons,69.73,0,0.83,0,3.4,69.11,1.79,55.92,125.65,70.04
5/23/2020,EC 1163,54.38,0,0.38,0.01,13.21,54.17,1.48,53.23,107.61,72.61
6/8/2020,Muddy Creek,211.28,0.55,8.33,0.03,45.04,205.95,3.56,92.25,303.53,85.31
6/8/2020,ODNR 4,250.69,21.01,10.84,0.47,87.48,243.19,2.56,78.52,329.21,128.4
6/8/2020,ODNR 6,168.54,38.42,6.68,0.35,57.12,164.4,1.96,90.91,259.44,132.1
6/8/2020,Bridge,120.85,25.97,5.17,0.25,33.67,117.36,2.01,86.07,206.91,103.05
6/8/2020,ODNR 2,113.88,4.07,3.96,0.06,28.29,111.83,2.07,69.25,183.13,88.47
6/8/2020,Buoy 2,63.28,7.33,1.85,0.19,21.99,61.58,1.16,45.8,109.08,94.36
6/8/2020,ODNR 1,41.64,3.66,1.37,0.14,30.64,40.36,1.5,51.87,93.51,62.21
6/8/2020,EC 1163,42.69,6.71,1.07,0.06,18.74,41.73,1,41.04,83.73,83.9
6/15/2020,Muddy Creek,177.39,20.95,8.71,1.6,47.08,156.61,5.44,103.37,280.77,51.66
6/15/2020,ODNR 4,140.97,20.39,6.66,0.43,20.83,134.47,3.34,89.51,230.48,69.05
6/15/2020,ODNR 6,218.12,32.16,10.57,0.83,79.63,200.88,3.41,103.89,322.02,94.46
6/15/2020,Bridge,206.83,37.78,10.26,0.77,75.79,186.37,2.86,97.36,304.19,106.47
6/15/2020,ODNR 2,71.66,4.07,3.96,0.36,28.29,111.83,1.97,65.39,137.04,69.74
6/15/2020,Buoy 2,57.95,7.42,2.08,0.15,13.07,56.88,1.76,49.28,107.23,61
6/15/2020,ODNR 1,17.75,20.15,2.08,0.13,3.46,15.66,1.27,47.04,64.79,51.22
6/15/2020,EC 1163,37.87,6.63,0.82,0.18,19.01,37.88,1.11,34.18,72.05,64.85
6/22/2020,Muddy Creek,108.56,8.28,7.67,0.58,4.5,100.97,5.03,102.24,210.79,41.9
6/22/2020,ODNR 4,121.23,2.9,7.05,0.21,7.83,114.35,2.73,79.07,200.31,73.4
6/22/2020,ODNR 6,128.9,2.86,6.78,0.04,6.34,123.21,1.48,69.97,198.87,134.56
6/22/2020,Bridge,96.63,12.5,5.78,0.22,14.59,90.97,1.83,66.15,162.78,89.15
6/22/2020,ODNR 2,69.95,3.4,4.02,0.05,10.75,66.03,1.06,44.99,114.94,108.12
6/22/2020,Buoy 2,46.55,5.5,2.27,0.05,28.47,44.36,0.92,39.76,86.31,93.61
6/22/2020,ODNR 1,70.55,2.11,4.11,0.02,8.34,66.53,1.14,47.26,117.81,103.44
6/22/2020,EC 1163,43.42,3.99,1.84,0.04,11.54,41.66,0.92,33.74,77.16,83.6
6/22/2020,Bells,30.65,4.23,0.52,0.06,17.29,30.22,0.4,10.54,41.19,102.73
6/29/2020,Muddy Creek,54.37,6.19,4.44,0.7,2.71,49.95,4.74,84.52,138.88,29.28
6/29/2020,ODNR 4,73.11,3.8,5.44,0.25,4.88,67.72,2.8,74.63,147.74,52.73
6/29/2020,ODNR 6,73.87,3.79,4.33,0.2,4.02,69.64,1.78,53.64,127.52,71.52
6/29/2020,Bridge,49.38,3.65,2.73,0.11,9.83,46.72,1.65,61.71,111.08,67.32
6/29/2020,ODNR 2,27.5,2.37,2.22,0.04,7.38,25.29,2.41,79.89,107.39,44.56
6/29/2020,Buoy 2,44.69,1.27,2.5,0.02,5.66,42.25,1.4,50.74,95.43,68.16
6/29/2020,ODNR 1,39.67,0.85,1.93,0.01,9.01,37.82,0.64,27.51,67.18,105.14
6/29/2020,EC 1163,41.37,3.01,1.78,0.16,10,39.68,0.84,24.06,65.43,77.71
6/29/2020,Bells,26.26,2.74,0.58,0.02,19.04,25.76,0.41,16.3,42.56,103.54
7/6/2020,Muddy Creek,0.39,1.62,0.05,0.16,6.33,0.34,4.77,77.82,78.21,16.4
7/6/2020,ODNR 4,6.75,1.71,1.8,0,6.77,4.89,2.89,75.92,82.66,28.6
7/6/2020,ODNR 6,34.08,5.8,3.52,0,5.51,30.55,1.81,51.32,85.4,47.18
7/6/2020,Bridge,31.08,4.56,2.77,0.01,7.38,28.3,1.56,54.96,86.03,55.25
7/6/2020,ODNR 2,19.61,2.64,2.43,0.19,3.58,17.15,2.41,57.17,76.78,31.87
7/6/2020,Buoy 2,23.23,1.2,1.59,0,3.89,21.66,1.02,35.68,58.92,57.53
7/6/2020,ODNR 1,22.85,2.68,1.42,0.03,10.68,21.46,0.86,26.14,49,56.84
7/6/2020,EC 1163,23.05,1.61,1.12,0,12.66,21.97,2.37,56.95,80,33.83
7/6/2020,Bells,22.46,0.62,0.58,0,18.96,21.94,0.21,17.48,39.93,189.25
7/13/2020,Muddy Creek,0.7,3.43,0.27,1.95,34.37,0.43,7.07,67.21,67.91,9.61
7/13/2020,ODNR 4,0.01,2.34,0.04,0.69,19.83,-0.04,3.83,79.96,79.97,20.86
7/13/2020,ODNR 6,0.34,1.9,0.03,0.31,6.26,0.31,3.54,70.21,70.55,19.91
7/13/2020,Bridge,0.67,0.51,0.31,0.03,3.17,0.35,2.84,59.4,60.07,21.17
7/13/2020,ODNR 2,0,1.78,0.02,0.01,7.01,-0.11,2.23,64.72,64.72,29.07
7/13/2020,Buoy 2,0.04,1.06,0.02,0.04,2.09,0.02,2.35,69.49,69.53,29.55
7/13/2020,ODNR 1,3.82,1.01,0.67,0,7.14,3.14,1.58,53.71,57.53,36.53
7/13/2020,EC 1163,14.49,1.89,0.56,0,8.28,13.96,1.03,39.42,53.9,52.49
7/13/2020,Bells,26.75,3.89,0.65,0.06,19,26.18,0.94,29.45,56.19,59.59
7/20/2020,Muddy Creek,8.12,10.3,1.62,2.86,66.53,6.46,7.29,80.44,88.56,12.14
7/20/2020,ODNR 4,0.14,1.39,0.05,1.51,16.77,0.1,4.63,69.25,69.4,14.99
7/20/2020,ODNR 6,0.23,2.84,0.03,0.99,7.85,0.2,3.4,68.22,68.45,20.12
7/20/2020,Bridge,0.08,1.14,0.01,0.49,10.09,0.07,3.2,63.44,63.52,19.84
7/20/2020,ODNR 2,0,0.94,0.02,0.1,7.62,-0.07,2.19,52.17,52.17,23.8
7/20/2020,Buoy 2,0.02,1.9,0.03,0.06,7.48,-0.01,2.27,43.29,43.31,19.07
7/20/2020,ODNR 1,0.07,1.31,0.01,0.19,11.41,0.06,2.36,54.24,54.31,22.99
7/20/2020,EC 1163,5.38,1.31,0.24,0.03,12.26,5.16,1.49,43.94,49.32,33.1
7/20/2020,Bells,18.92,1.12,0.35,0.02,13.46,18.63,0.33,22.19,41.11,123.45
7/27/2020,Muddy Creek,10.83,5.37,6.8,2.06,65.95,3.77,6.18,81.64,92.47,14.96
7/27/2020,ODNR 4,0.89,10.24,0.18,1.31,11.92,0.71,4.47,74.95,75.85,16.97
7/27/2020,ODNR 6,0.06,0.82,0.05,0.39,4.95,0,2.93,62.73,62.78,21.44
7/27/2020,Bridge,0.22,22.27,0.05,0.81,10.4,0.16,3.66,69.97,70.19,19.18
7/27/2020,ODNR 2,0.69,15.03,0.04,0.12,9.07,0.65,2.63,55.44,56.13,21.31
7/27/2020,Buoy 2,0,1.65,0.05,0.1,11.39,-0.09,2.25,57.09,57.09,25.36
7/27/2020,ODNR 1,0.26,3.13,0.03,0.12,8.77,0.23,2.33,35.55,35.81,15.4
7/27/2020,EC 1163,4.38,5.27,0.19,0.08,19.08,4.2,1.99,38.52,42.9,21.6
7/27/2020,Bells,16.38,7.75,0.36,0,5.36,16.07,0.24,27.18,43.56,182.28
8/3/2020,Muddy Creek,17.24,13.22,7.12,2.54,68.03,9.86,6.1,81.91,99.15,16.25
8/3/2020,ODNR 4,1.04,3.83,0.34,1.69,16.74,0.69,5.43,76.83,77.87,14.33
8/3/2020,ODNR 6,0.06,1.56,0.06,0.72,3.01,-0.01,3.81,78.97,79.02,20.74
8/3/2020,Bridge,0.19,9.5,0.03,0.35,5.73,0.16,2.62,49.2,49.39,18.87
8/3/2020,ODNR 2,0.82,7.63,0.03,0.29,3.99,0.79,2.18,45.17,45.99,21.09
8/3/2020,Buoy 2,0.2,2.69,0.03,0.31,5.04,0.17,2.1,43.96,44.16,21
8/3/2020,ODNR 1,1.41,0.98,0.22,0.01,19.31,1.19,1.63,25.75,27.16,16.66
8/3/2020,EC 1163,3.43,1.9,0.21,0.06,11.89,3.22,1.58,47.06,50.49,31.95
8/3/2020,Bells,10.32,2.13,0.35,0,8.05,9.99,0.62,19.62,29.94,48.29
8/10/2020,Muddy Creek,0.02,2.78,0.09,0.99,44.62,-0.08,5.34,69.46,69.48,13
8/10/2020,ODNR 4,0.1,3.23,0.06,0.13,2.73,0.04,3.85,73.68,73.78,19.17
8/10/2020,ODNR 6,0.09,1.26,0.06,0.03,8.02,0.03,2.96,87,87.08,29.43
8/10/2020,Bridge,0,0.81,0.04,0.02,10.07,-0.07,2.64,56.15,56.15,21.26
8/10/2020,ODNR 2,0,0.75,0.05,0,6.69,-0.06,1.92,44.01,44.01,22.98
8/10/2020,Buoy 2,0,0.51,0.02,0,8.23,-0.05,1.68,31.98,31.98,18.99
8/10/2020,ODNR 1,0.16,1.22,0.03,0.01,1.66,0.12,1.61,37.2,37.36,23.16
8/10/2020,EC 1163,0,0.96,0.04,0.01,11.89,-0.08,1.85,45.58,45.58,24.63
8/10/2020,Bells,6.27,2.8,0.46,0,3.41,5.82,0.56,10.74,17.02,30.44
8/17/2020,Muddy Creek,1.56,0,1.11,1.67,37.16,0.45,6.59,69.82,71.38,10.84
8/17/2020,ODNR 4,0,0,0.09,1.03,21.75,0,6.13,95.71,95.71,15.62
8/17/2020,ODNR 6,0,0,0.07,0.02,7.37,0,3.79,89.28,89.28,23.56
8/17/2020,Bridge,0,0,0.05,0,3.51,0,3.1,76.12,76.12,24.6
8/17/2020,ODNR 2,0,1.51,0.05,0,1.19,0,2.86,81.02,81.02,28.34
8/17/2020,Buoy 2,0.07,1.05,0.03,0,2.21,0.04,2.44,61.96,62.03,25.44
8/17/2020,ODNR 1,0.21,1.26,0.02,0,5.4,0.19,2.25,71.87,72.08,32.05
8/17/2020,EC 1163,0,14.85,0.03,0,2.1,0,2.33,50.94,50.94,21.83
8/17/2020,Bells,7.2,27.8,0.24,0,8.57,6.96,0.71,24.14,31.35,44.21
8/25/2020,Muddy Creek,0,0.09,0.18,1.61,52.7,0,7.1,67.41,67.41,9.5
8/25/2020,ODNR 4,1.26,3.74,0.33,0.81,30.76,0.92,5.42,61.17,62.43,11.52
8/25/2020,ODNR 6,0,0,0.04,0.05,13.91,0,4.42,84.82,84.82,19.17
8/25/2020,ODNR 2,0,0.25,0,0,12.44,0,2.53,55.48,55.48,21.91
8/25/2020,ODNR 1,0,1.12,0,0,20.41,0,2.38,49.84,49.84,20.91
8/25/2020,EC 1163,0,0.13,0.02,0,18.99,0,2.98,50.21,50.21,16.82
8/25/2020,Bells,0,0.89,0,0,11.14,0,0.73,28.18,28.18,38.49
8/25/2020,Buoy 2,0,0.34,0,0,9.81,0,2.13,42.83,42.83,20.13
8/25/2020,Bridge,0,0.21,0.04,0,22.09,0,3.83,47.05,47.05,12.27
8/31/2020,Muddy Creek,0.02,0,0.31,2.2,65.12,0,7.53,66.23,66.25,8.8
8/31/2020,ODNR 4,0,0,0.19,1.7,48.82,0,6.31,64.37,64.37,10.2
8/31/2020,ODNR 6,2.05,1.78,0.4,0.45,42.19,1.65,4.64,86.12,88.17,19.02
8/31/2020,Bridge,0,0,0.02,0.03,27.19,0,3.45,57.34,57.34,16.62
8/31/2020,ODNR 2,0,0,0.03,0,41.02,0,2.93,61.72,61.72,21.06
8/31/2020,Buoy 2,0,0,0.05,0,25.2,0,2.59,47.38,47.38,18.28
8/31/2020,ODNR 1,0,0,0.03,0,35.82,0,2.45,48.99,48.99,19.97
8/31/2020,EC 1163,0,0,0.01,0,25.9,0,1.61,37.43,37.43,23.23
8/31/2020,Bells,0,0,0.13,0,23.91,0,0.82,25.14,25.14,30.69
9/2/2020,Bridge,0,0,0.06,0,21.42,0,3.279,81.049,81.049,24.718
9/2/2020,Bridge,0.066,1.87,0.05,0,13.917,0.066,3.124,108.438,108.504,34.732
9/2/2020,Bridge,0,0,0.051,0,12.029,0,3.231,107.71,107.71,33.336
9/2/2020,Bridge,0,0.761,0.08,0.531,19.25,0,5.343,82.607,82.607,15.461
9/2/2020,Bridge,0,0,0.038,0,12.111,0,5.199,110.46,110.46,21.246
9/2/2020,Bridge,0,0,0.024,0,14.39,-0.137,5.233,107.52,107.52,20.547
9/8/2020,Muddy Creek,1.32,3.22,0.25,0.09,11.8,0.95,11.53,232.71,234.03,20.3
9/8/2020,Muddy Creek,4.83,8.17,0.66,1.66,80.72,4.17,5.48,71.43,76.26,13.92
9/8/2020,ODNR 4,1.4,3.1,0.27,0.9,39.2,1.13,4.71,76.21,77.61,16.48
9/8/2020,ODNR 6,2.08,4.78,0.19,0.34,53.1,1.9,3.49,69.08,71.16,20.42
9/8/2020,Bridge,1.06,2.76,0.2,0.19,38.33,0.86,3.2,60.76,61.83,19.3
9/8/2020,ODNR 2,0.96,7.08,0.11,0.07,26.08,0.85,2.17,38.44,39.4,18.19
9/8/2020,Buoy 2,0,1.17,0.13,0.1,31.44,0,2.1,45.44,45.44,21.61
9/8/2020,ODNR 1,0.17,0.19,0.07,0,30.12,0.1,1.7,34.85,35.03,20.66
9/8/2020,EC 1163,0,0.06,0.03,0.01,33.68,0,1.89,42,42,22.26
9/8/2020,Bells,0,1.21,0.12,0,23.23,0,0.73,19.22,19.22,26.23
9/14/2020,Muddy Creek,6.1,1.7,0.96,1.17,77.35,5.15,4.73,67.29,73.39,15.51
9/14/2020,ODNR 4,0.11,1.93,0.26,0.78,62.53,0,4.54,68.91,69.01,15.21
9/14/2020,ODNR 6,0,0.6,0.07,0.3,70.11,0,2.21,46.37,46.37,20.98
