site,Sample ID,Latitude,Longitude,Sampled By,Test Date,Test Time,Instrument Model Number,Instrument Serial Number,Test Panel,Cartridge ID,Expiration Date,Software Version,Results Filename,Controls Result,Cylindro. Result,Microcystin Result,ELISA-MC,Comments
Muddy_Creek,Muddy Creek 6/22/20 Dock,41.4561,83.007133,SDB,6/22/2020,15:34:45,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-368,3/19/2021,1.1.0.1,20200622T152430.taz.xml,PASS,0.6 ug/L,1.2 ug/L,0.04,
ODNR_4,ODNR 4 6/22/20 Dock,41.453333,82.960767,SDB,6/22/2020,15:50:04,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-421,3/19/2021,1.1.0.1,20200622T153950.taz.xml,PASS,0.5 ug/L,< 0.4 ug/L,,
ODNR_6,ODNR 6 6/22/20 Dock,41.4573,82.898655,SDB,6/22/2020,16:05:24,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-387,3/19/2021,1.1.0.1,20200622T155509.taz.xml,PASS,< 0.5 ug/L,1.4 ug/L,,
Buoy_2,BGSU Buoy 2 6/22/20 Dock,41.47061,82.75637,SDB,6/22/2020,16:19:53,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-370,3/19/2021,1.1.0.1,20200622T160938.taz.xml,PASS,0.5 ug/L,1.0 ug/L,,
Muddy_Creek,Muddy Creek 6/29/20 Boat,41.4561,83.007133,SDB,6/29/2020,10:29:49,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-129,3/19/2021,1.1.0.1,20200629T101934.taz.xml,PASS,0.7 ug/L,1.0 ug/L,0.05,
ODNR_6,ODNR 6 6/29/20 Boat,41.4573,82.898655,SDB,6/29/2020,11:51:08,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-107,3/19/2021,1.1.0.1,20200629T114053.taz.xml,PASS,0.7 ug/L,1.9 ug/L,0.29,
ODNR_2,ODNR 2 6/29/20 Boat,41.479817,82.782867,SDB,6/29/2020,13:04:54,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-123,3/19/2021,1.1.0.1,20200629T125439.taz.xml,PASS,0.6 ug/L,1.1 ug/L,0,
BUOY_2,BGSU BUOY 2 6/29/20 Boat,41.47061,82.75637,SDB,6/29/2020,13:39:31,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03016-108,3/19/2021,1.1.0.1,20200629T132917.taz.xml,PASS,0.5 ug/L,1.1 ug/L,0.01,
Muddy_Creek,Muddy Creek 7/6/20 Dock,41.4561,83.007133,SDB,7/6/2020,18:17:54,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-184,6/2/2021,1.1.0.1,20200706T180738.taz.xml,PASS,< 0.9 ug/L,1.0 ug/L,0.65,
ODNR_6,ODNR 6 7/6/20 Dock,41.4573,82.898655,SDB,7/6/2020,18:33:51,MQ Reader 2.0,S-0034,HAB MC/CYN GEN 2,CG-03113-197,6/2/2021,1.1.0.1,20200706T182335.taz.xml,PASS,1.0 ug/L,0.9 ug/L,0.2,
