site,date,avg_chl,sd_chl
Muddy Creek,4/26/2021,89.03,18.78
ODNR 6,4/26/2021,55.92,19.41
ODNR 4,4/26/2021,76,12.85
Bridge,4/26/2021,69.36,5.58
ODNR 2,4/26/2021,19.95,17.64
ODNR 1,4/26/2021,22.81,14.42
EC 1163,4/26/2021,27.28,6.14
Buoy 2,4/26/2021,32.38,24.57
Bells,4/26/2021,NA,NA
ODNR 6 Integrated,4/26/2021,NA,NA
ODNR 4 Integrated,4/26/2021,NA,NA
ODNR 2 Integrated,4/26/2021,47.42,
ODNR 1 Integrated,4/26/2021,13.32,
Muddy Creek,5/11/2021,14.18,10
ODNR 6,5/11/2021,61.97,12.07
ODNR 4,5/11/2021,20.65,0.49
Bridge,5/11/2021,88.49,15.19
ODNR 2,5/11/2021,79.9,9.16
ODNR 1,5/11/2021,102.61,9.99
EC 1163,5/11/2021,49.95,1.88
Buoy 2,5/11/2021,89.97,6.91
Bells,5/11/2021,NA,NA
ODNR 6 Integrated,5/11/2021,80.06,NA
ODNR 4 Integrated,5/11/2021,19.21,NA
ODNR 2 Integrated,5/11/2021,78.46,NA
ODNR 1 Integrated,5/11/2021,89.47,NA
Muddy Creek,5/24/2021,16.23,3.19
ODNR 6,5/24/2021,NA,NA
ODNR 4,5/24/2021,NA,NA
Bridge,5/24/2021,9.36,0.79
ODNR 2,5/24/2021,NA,NA
ODNR 1,5/24/2021,NA,NA
EC 1163,5/24/2021,2.11,1.52
Buoy 2,5/24/2021,1.71,1.68
Bells,5/24/2021,0.4,0.22
ODNR 6 Integrated,5/24/2021,NA,NA
ODNR 4 Integrated,5/24/2021,NA,NA
ODNR 2 Integrated,5/24/2021,NA,NA
ODNR 1 Integrated,5/24/2021,NA,NA
Muddy Creek,7/12/2021,29.21,8.3
ODNR 6,7/12/2021,18.83,0.68
ODNR 4,7/12/2021,42.35,1.71
Bridge,7/12/2021,17.19,0.39
ODNR 2,7/12/2021,13.33,0.86
ODNR 1,7/12/2021,13.68,0.17
EC 1163,7/12/2021,13.58,0.64
Buoy 2,7/12/2021,12.58,3.33
Bells,7/12/2021,NA,NA
ODNR 6 Integrated,7/12/2021,NA,NA
ODNR 4 Integrated,7/12/2021,NA,NA
ODNR 2 Integrated,7/12/2021,NA,NA
ODNR 1 Integrated,7/12/2021,NA,NA
Muddy Creek,7/19/2021,1.86,0.03
ODNR 6,7/19/2021,32.94,23.33
ODNR 4,7/19/2021,3.75,0.11
Bridge,7/19/2021,31.58,2.55
ODNR 2,7/19/2021,28.12,2.01
ODNR 1,7/19/2021,18.95,0.21
EC 1163,7/19/2021,13.26,1.28
Buoy 2,7/19/2021,33.3,0.71
Bells,7/19/2021,2.04,1.01
ODNR 6 Integrated,7/19/2021,NA,NA
ODNR 4 Integrated,7/19/2021,NA,NA
ODNR 2 Integrated,7/19/2021,NA,NA
ODNR 1 Integrated,7/19/2021,NA,NA
Muddy Creek,8/30/2021,108.76,3.75
ODNR 6,8/30/2021,79.4,8.97
ODNR 4,8/30/2021,103.02,6.24
Bridge,8/30/2021,92.42,8.8
ODNR 2,8/30/2021,65.64,36.06
ODNR 1,8/30/2021,80.78,11.66
EC 1163,8/30/2021,77.85,6.59
Buoy 2,8/30/2021,90.16,7.88
Bells,8/30/2021,NA,NA
ODNR 6 Integrated,8/30/2021,NA,NA
ODNR 4 Integrated,8/30/2021,NA,NA
ODNR 2 Integrated,8/30/2021,NA,NA
ODNR 1 Integrated,8/30/2021,NA,NA
