Site,Date,Air_Temperature,Secchi,Water_Temperature,Dissolved_Oxygen,SPC,Conductivity,pH,pH_mV,Turbidity,pc_rfu,Phycocyanin,chl_rfu,Chlorophyll_Sonde
Muddy_Creek,4/26/2021,6.7,40,10.3,11.31,653,469.1,8.89,-106,36,2.19,1.48,14.35,60.01
ODNR_4,4/26/2021,7.8,32,9.87,11.36,647,461.4,8.9,-106.6,26.99,2.09,1.41,14.75,60.55
ODNR_4_Integrated,4/26/2021,7.8,,10,11.42,650,463.7,8.98,110.6,33.2,2.13,1.39,13.2,51.82
ODNR_6,4/26/2021,8.3,43,10.17,11.73,573,410.8,9.12,-118,25.51,1.88,1.16,11.74,46.9
ODNR_6_Integrated,4/26/2021,8.3,,10.03,11.78,574,409.4,8.94,-108.7,29.62,2.08,1.38,14.46,55.64
Bridge,4/26/2021,8.3,57,10.05,11.73,524,374.9,9,-112,12.99,1.56,0.81,10.62,38.66
ODNR_2,4/26/2021,9.4,41,10.5,11.53,383.8,276.9,9.12,-118.3,16.21,1.19,0.43,6.61,29.99
ODNR_2_Integrated,4/26/2021,9.4,,10.48,8.33,470.1,343.8,7.85,-49.5,30.53,1.82,1.17,10.74,42.01
Buoy_2,4/26/2021,8.9,76,10.31,12.25,386.4,270,9.1,-117.2,8.64,1.25,0.56,6.51,36.37
ODNR_1,4/26/2021,9.4,100,10.57,11.87,341.8,247.6,8.8,-101.6,10.89,0.6,-0.18,1.98,6.34
ODNR_1_Integrated,4/26/2021,9.4,,10.55,11.92,341.4,247.1,8.63,-92.1,11.48,0.75,-0.02,4.36,13.64
EC_1163,4/26/2021,8.9,57,10.9,11.44,307.2,224.1,8.79,-101.2,19.24,0.69,-0.13,3.43,7
Bells,4/26/2021,,,,,,,,,,,,,
Muddy_Creek,5/11/2021,7.8,16,8.05,10.29,279.4,191.8,7.59,-52.5,303.13,1.63,1,1.97,7.12
ODNR_4,5/11/2021,8.3,11,8.05,9.96,360.5,250.8,7.66,-55.7,265.8,1.48,0.83,2.48,9.44
ODNR_4_Integrated,5/11/2021,,,,9.89,361,249.2,7.65,-55.5,332.23,1.41,0.79,2.52,9.33
ODNR_6,5/11/2021,8.9,25,10.48,9.67,621,464.6,8.08,-79.3,54.06,1.36,0.72,8.22,21.23
ODNR_6_Integrated,5/11/2021,,,,9.65,619,463.1,8.09,-80.3,57.3,1.37,0.75,8.71,34.7
Bridge,5/11/2021,7.8,35,11.06,10.82,559,420.6,8.53,-104.5,30.74,1.73,1.12,11,37.16
ODNR_2,5/11/2021,9.4,50,11.57,11.32,547,418.4,8.6,-108,21.83,1.83,1.19,9.67,44.13
ODNR_2_Integrated,5/11/2021,,,,11.31,547,418.3,8.56,-105.9,21.03,1.91,1.31,10.48,41.25
Buoy_2,5/11/2021,9.4,39,11.5,11.28,550,415,8.61,-108.3,23.11,1.97,1.32,11.29,42.8
ODNR_1,5/11/2021,9.4,50,11.65,11.47,542,414,8.62,-109.3,18.63,1.3,0.81,11.06,37.77
ODNR_1_Integrated,5/11/2021,,,,11.49,543,413.8,8.53,-104,23.37,1.89,1.24,42.99,44.67
EC_1163,5/11/2021,10,60,11.89,11.28,448.2,343.9,8.61,-108.6,13.13,1.06,0.39,6.63,21.33
Bells,5/11/2021,,,,,,,,,,,,,
Muddy_Creek,5/24/2021,17.8,30,23,7.03,483.2,465.8,8.06,-80.9,54.14,1.3,0.69,12.67,48.32
ODNR_4,5/24/2021,18.9,30,22.87,5.82,468,448.4,8.06,-79.7,38.34,2.23,1.58,13.88,52.09
ODNR_4_Integrated,5/24/2021,,,22.79,5.6,466.9,447.1,8.07,-81.3,83.44,2.33,1.73,15.27,54.04
ODNR_6,5/24/2021,19.4,50,22.38,9.52,400.5,380.4,8.71,-117.4,26.22,1.53,0.98,8.3,34.3
ODNR_6_Integrated,5/24/2021,,,22.16,8.42,403,381.1,8.5,-105.1,59.83,0.95,0.33,6.38,24.33
Bridge,5/24/2021,21.1,60,22.95,6.73,507,486.9,8.12,-84.2,24.48,0.96,0.33,5.77,22.99
ODNR_2,5/24/2021,21.1,130,22.07,7.86,547,516,8.27,-92.2,5.77,0.08,-0.06,1.06,3.57
ODNR_2_Integrated,5/24/2021,,,21.79,7.16,548,514,8.08,-81.5,2.07,0.33,-0.43,1.54,5.63
Buoy_2,5/24/2021,20,140,22.2,8.97,524,495.5,8.41,-100.1,4.12,0.18,-0.42,1.93,7.31
ODNR_1,5/24/2021,19.4,260,22.14,8.34,546,516,8.25,-91.2,1.72,0.01,-0.63,0.9,3.12
ODNR_1_Integrated,5/24/2021,,,19.8,7.43,465,418.6,8,-76.3,12.54,0.03,-0.63,1.14,3.98
EC_1163,5/24/2021,19.4,90,22.3,8.55,438.7,399.4,8.27,-92,10.18,0.27,-0.37,1.92,2.12
Bells,5/24/2021,16.7,350,19.33,10.42,285.2,254.3,8.64,-106.9,0.43,-0.14,-0.79,0.11,0.11
Muddy_Creek,6/7/2021,26.7,30,23.67,7.04,608,596,7.33,-73.8,43.32,1.04,0.44,8.58,31.22
ODNR_4,6/7/2021,27.8,30,23.33,9.94,515,498.1,8.48,-104.3,30.64,1.48,1.49,11.52,43.23
ODNR_4_Sed,6/7/2021,,,23.33,9.24,510,492.4,8.41,-100.9,30.67,1.41,0.7,10.78,44.48
ODNR_6,6/7/2021,27.2,70,23.38,9.87,501,484.7,8.48,-103.1,14.21,0.57,-0.14,3.09,10.75
ODNR_6_Sed,6/7/2021,,,22.42,7.81,502,477.6,8.11,-83.2,75.15,0.47,-0.18,3.4,10.1
Bridge,6/7/2021,27.8,40,23.11,7.63,491.2,474.5,8.16,-83.6,17.72,0.46,-0.18,3.67,14.28
ODNR_2,6/7/2021,26.1,80,22.57,9.7,470.2,448.3,8.47,-103.9,12.01,0.65,-0.01,3.71,15.02
ODNR_2_Sed,6/7/2021,,,22.17,8.49,469.3,444,8.11,-83.3,28.23,0.31,-0.34,3.69,12.57
Buoy_2,6/7/2021,22.8,150,22.56,10.92,453.3,433.9,8.68,-116.1,5.81,0.52,-0.3,3,10.92
ODNR_1,6/7/2021,26.1,110,22.95,10.93,444.4,427,8.63,-115.9,5.86,0.4,-0.23,2.65,9.8
ODNR_1_Sed,6/7/2021,,,21.37,8.17,434.7,404.7,8.13,-77.6,511.12,1.93,1.36,6.03,22.6
EC_1163,6/7/2021,25.6,180,21.12,9.57,379.5,350,8.45,-102,4.58,0.13,-0.51,1.4,5.03
Bells,6/7/2021,25,180,21.01,10.65,287.5,265.1,8.59,-110.2,4.06,0.33,-0.29,2.02,8.36
Muddy_Creek,6/14/2021,20,12,24.98,6.49,488.2,487.9,8,-77.4,106.21,1.06,0.43,7.58,30.65
ODNR_4,6/14/2021,20,25,25.63,7.03,555,561,8.28,-94,50.68,0.32,-0.32,2.3,9.02
ODNR_4_Sed,6/14/2021,,,25.67,7,554,561,8.27,-93,49.92,0.29,-0.33,2.65,10.07
ODNR_6,6/14/2021,20,25,25.6,7.17,539,546,8.18,-88.3,35.06,36,-0.29,3.08,11.75
ODNR_6_Sed,6/14/2021,,,25.64,7.17,539,546,8.2,-89.1,34.86,0.34,-0.29,3.26,11.38
Bridge,6/14/2021,21.1,30,26.05,6.4,515,525,7.99,-77.4,54.13,0.56,-0.08,4.08,15.44
ODNR_2,6/14/2021,22.2,50,25.9,8.12,484,492.6,8.48,-105.4,17.43,0.62,-0.02,3.81,14.35
ODNR_2_Sed,6/14/2021,,,25.75,7.65,485.2,491.9,8.37,-99.2,35.51,0.5,-0.13,4.1,14.68
Buoy_2,6/14/2021,23.3,70,25.61,7.85,543.8,457.9,8.37,-99.2,11.55,0.2,-0.4,2.24,8.94
ODNR_1,6/14/2021,24.4,120,25.44,7.48,442,445.6,8.3,-94.1,7.21,-0.02,-0.64,1.31,4.22
ODNR_1_Sed,6/14/2021,,,25.07,6.83,452.4,452.2,8.08,-82.3,3.44,0.47,-0.01,4.35,7.8
EC_1163,6/14/2021,23.9,80,25.22,8.6,397.5,399.2,8.53,-107.9,10.79,0.56,-0.22,3.02,0.82
Bells,6/14/2021,21.7,280,22.89,8.73,271,260,8.55,-105.4,1.42,-0.14,-0.8,0.12,0.07
Muddy_Creek,6/21/2021,26.6,20,24.66,8.82,519,516,8.56,-109.4,66.86,24.32,1.84,17.83,75.3
ODNR_4,6/21/2021,26.7,20,24.44,8.33,508,502,8.57,-110,57.33,1.57,0.94,12.99,50.07
ODNR_4_Sed,6/21/2021,,,24.44,8.26,508,502,8.55,-108.8,46.32,2.65,1.98,12.12,51.94
ODNR_6,6/21/2021,27,30,24.24,8.22,542,534,8.47,-104,49.11,1.67,1,5.72,18.84
ODNR_6_Sed,6/21/2021,,,24.24,8.14,542,534,8.48,-103.9,134.92,1.58,0.99,6,24.82
Bridge,6/21/2021,26.7,20,24.43,8.08,517,511,8.42,-101.4,66.35,1.71,1.12,4.29,15.72
ODNR_2,,,,,,,,,,,,,,
ODNR_2_Sed,,,,,,,,,,,,,,
Buoy_2,,,,,,,,,,,,,,
ODNR_1,,,,,,,,,,,,,,
ODNR_1_Sed,,,,,,,,,,,,,,
EC_1163,,,,,,,,,,,,,,
Bells,,,,,,,,,,,,,,
Muddy_Creek,6/28/2021,27.7,23,24.63,9.63,524,521,8.85,-126,45.81,27.79,2.4,16,61.04
ODNR_4,6/28/2021,29.4,25,24.44,9.5,517,512,8.78,-121.9,29.88,2.21,1.62,9.37,36.37
ODNR_4_Sed,6/28/2021,,,24.03,7.69,516,507,8.5,-107.9,46.27,1.53,0.95,9.16,32.57
ODNR_6,6/28/2021,29.3,40,24.16,9.35,520,511,8.85,-126.4,20.33,3.21,2.71,7.15,30.02
ODNR_6_Sed,6/28/2021,,,23.77,7.61,522,509,8.64,-113.8,49.22,3.11,2.56,7.3,28.48
Bridge,6/28/2021,32.2,65,25.03,8.9,466.2,466.8,8.7,-117.8,14.2,0.92,0.29,3.47,13.62
ODNR_2,6/28/2021,35.8,70,23.88,11,330.8,323.1,8.99,-133.6,9.64,0.38,-0.26,2.46,8.21
ODNR_2_Sed,6/28/2021,,,23.21,8.92,335.8,323.8,8.68,-115.7,17.98,0.56,-0.09,4.03,13.28
Buoy_2,6/28/2021,32.4,80,24.23,10.65,392.4,387.4,8.96,-132,9.13,0.64,-0.01,2.4,10.63
