date,site,rep,AlgalClass,Concentration,date1
4/26/2021,Bridge,A,GreenAlgae_avg,5.092,26-Apr-21
4/26/2021,Bridge,A,Bluegreen_avg,1.086,26-Apr-21
4/26/2021,Bridge,A,Diatom_avg,8.9505,26-Apr-21
4/26/2021,Bridge,A,Cryptophyta_avg,0.3555,26-Apr-21
4/26/2021,Bridge,A,YellowSubstances_avg,0.708,26-Apr-21
4/26/2021,Bridge,A,Total_avg,15.482,26-Apr-21
4/26/2021,Buoy 2,A,GreenAlgae_avg,1.3655,26-Apr-21
4/26/2021,Buoy 2,A,Bluegreen_avg,0.597,26-Apr-21
4/26/2021,Buoy 2,A,Diatom_avg,1.3525,26-Apr-21
4/26/2021,Buoy 2,A,Cryptophyta_avg,0.3015,26-Apr-21
4/26/2021,Buoy 2,A,YellowSubstances_avg,0.423,26-Apr-21
4/26/2021,Buoy 2,A,Total_avg,3.618,26-Apr-21
4/26/2021,EC 1163,A,GreenAlgae_avg,0,26-Apr-21
4/26/2021,EC 1163,A,Bluegreen_avg,5.00E-04,26-Apr-21
4/26/2021,EC 1163,A,Diatom_avg,0,26-Apr-21
4/26/2021,EC 1163,A,Cryptophyta_avg,0,26-Apr-21
4/26/2021,EC 1163,A,YellowSubstances_avg,0.0475,26-Apr-21
4/26/2021,EC 1163,A,Total_avg,5.00E-04,26-Apr-21
4/26/2021,Muddy Creek,A,GreenAlgae_avg,10.5165,26-Apr-21
4/26/2021,Muddy Creek,A,Bluegreen_avg,0.569,26-Apr-21
4/26/2021,Muddy Creek,A,Diatom_avg,6.1315,26-Apr-21
4/26/2021,Muddy Creek,A,Cryptophyta_avg,2.334,26-Apr-21
4/26/2021,Muddy Creek,A,YellowSubstances_avg,1.1275,26-Apr-21
4/26/2021,Muddy Creek,A,Total_avg,19.5525,26-Apr-21
4/26/2021,ODNR 1,A,GreenAlgae_avg,1.9945,26-Apr-21
4/26/2021,ODNR 1,A,Bluegreen_avg,0.3415,26-Apr-21
4/26/2021,ODNR 1,A,Diatom_avg,4.7165,26-Apr-21
4/26/2021,ODNR 1,A,Cryptophyta_avg,0.454,26-Apr-21
4/26/2021,ODNR 1,A,YellowSubstances_avg,0.478,26-Apr-21
4/26/2021,ODNR 1,A,Total_avg,7.505,26-Apr-21
4/26/2021,ODNR 2,A,GreenAlgae_avg,2.4535,26-Apr-21
4/26/2021,ODNR 2,A,Bluegreen_avg,0.793,26-Apr-21
4/26/2021,ODNR 2,A,Diatom_avg,9.3935,26-Apr-21
4/26/2021,ODNR 2,A,Cryptophyta_avg,0.497,26-Apr-21
4/26/2021,ODNR 2,A,YellowSubstances_avg,0.955,26-Apr-21
4/26/2021,ODNR 2,A,Total_avg,13.137,26-Apr-21
4/26/2021,ODNR 4,A,GreenAlgae_avg,9.208,26-Apr-21
4/26/2021,ODNR 4,A,Bluegreen_avg,0.7915,26-Apr-21
4/26/2021,ODNR 4,A,Diatom_avg,12.6805,26-Apr-21
4/26/2021,ODNR 4,A,Cryptophyta_avg,1.6915,26-Apr-21
4/26/2021,ODNR 4,A,YellowSubstances_avg,1.9045,26-Apr-21
4/26/2021,ODNR 4,A,Total_avg,24.373,26-Apr-21
4/26/2021,ODNR 6,A,GreenAlgae_avg,10.4455,26-Apr-21
4/26/2021,ODNR 6,A,Bluegreen_avg,0.433,26-Apr-21
4/26/2021,ODNR 6,A,Diatom_avg,13.411,26-Apr-21
4/26/2021,ODNR 6,A,Cryptophyta_avg,1.0765,26-Apr-21
4/26/2021,ODNR 6,A,YellowSubstances_avg,1.5465,26-Apr-21
4/26/2021,ODNR 6,A,Total_avg,25.366,26-Apr-21
5/11/2021,Bridge,A,GreenAlgae_avg,22.7845,11-May-21
5/11/2021,Bridge,A,Bluegreen_avg,0.899,11-May-21
5/11/2021,Bridge,A,Diatom_avg,13.9765,11-May-21
5/11/2021,Bridge,A,Cryptophyta_avg,6.4465,11-May-21
5/11/2021,Bridge,A,YellowSubstances_avg,2.8175,11-May-21
5/11/2021,Bridge,A,Total_avg,44.108,11-May-21
5/11/2021,Bridge,B,GreenAlgae_avg,22.104,11-May-21
5/11/2021,Bridge,B,Bluegreen_avg,1.134,11-May-21
5/11/2021,Bridge,B,Diatom_avg,14.3135,11-May-21
5/11/2021,Bridge,B,Cryptophyta_avg,6.892,11-May-21
5/11/2021,Bridge,B,YellowSubstances_avg,2.95,11-May-21
5/11/2021,Bridge,B,Total_avg,44.443,11-May-21
5/11/2021,Bridge,C,GreenAlgae_avg,23.9995,11-May-21
5/11/2021,Bridge,C,Bluegreen_avg,0.7745,11-May-21
5/11/2021,Bridge,C,Diatom_avg,14.2795,11-May-21
5/11/2021,Bridge,C,Cryptophyta_avg,6.597,11-May-21
5/11/2021,Bridge,C,YellowSubstances_avg,2.653,11-May-21
5/11/2021,Bridge,C,Total_avg,45.6515,11-May-21
5/11/2021,Buoy 2,A,GreenAlgae_avg,25.8635,11-May-21
5/11/2021,Buoy 2,A,Bluegreen_avg,0.7,11-May-21
5/11/2021,Buoy 2,A,Diatom_avg,18.0065,11-May-21
5/11/2021,Buoy 2,A,Cryptophyta_avg,6.3465,11-May-21
5/11/2021,Buoy 2,A,YellowSubstances_avg,2.7435,11-May-21
5/11/2021,Buoy 2,A,Total_avg,50.918,11-May-21
5/11/2021,Buoy 2,B,GreenAlgae_avg,25.6265,11-May-21
5/11/2021,Buoy 2,B,Bluegreen_avg,0.6515,11-May-21
5/11/2021,Buoy 2,B,Diatom_avg,18.1335,11-May-21
5/11/2021,Buoy 2,B,Cryptophyta_avg,6.357,11-May-21
5/11/2021,Buoy 2,B,YellowSubstances_avg,2.7925,11-May-21
5/11/2021,Buoy 2,B,Total_avg,50.768,11-May-21
5/11/2021,Buoy 2,C,GreenAlgae_avg,26.525,11-May-21
5/11/2021,Buoy 2,C,Bluegreen_avg,0.4655,11-May-21
5/11/2021,Buoy 2,C,Diatom_avg,17.785,11-May-21
5/11/2021,Buoy 2,C,Cryptophyta_avg,6.419,11-May-21
5/11/2021,Buoy 2,C,YellowSubstances_avg,2.7285,11-May-21
5/11/2021,Buoy 2,C,Total_avg,51.1945,11-May-21
5/11/2021,EC 1163,A,GreenAlgae_avg,16.636,11-May-21
5/11/2021,EC 1163,A,Bluegreen_avg,0,11-May-21
5/11/2021,EC 1163,A,Diatom_avg,16.7645,11-May-21
5/11/2021,EC 1163,A,Cryptophyta_avg,3.335,11-May-21
5/11/2021,EC 1163,A,YellowSubstances_avg,1.921,11-May-21
5/11/2021,EC 1163,A,Total_avg,36.734,11-May-21
5/11/2021,EC 1163,B,GreenAlgae_avg,15.0115,11-May-21
5/11/2021,EC 1163,B,Bluegreen_avg,0,11-May-21
5/11/2021,EC 1163,B,Diatom_avg,15.3705,11-May-21
5/11/2021,EC 1163,B,Cryptophyta_avg,3.203,11-May-21
5/11/2021,EC 1163,B,YellowSubstances_avg,1.942,11-May-21
5/11/2021,EC 1163,B,Total_avg,33.586,11-May-21
5/11/2021,EC 1163,C,GreenAlgae_avg,16.506,11-May-21
5/11/2021,EC 1163,C,Bluegreen_avg,0,11-May-21
5/11/2021,EC 1163,C,Diatom_avg,15.759,11-May-21
5/11/2021,EC 1163,C,Cryptophyta_avg,3.363,11-May-21
5/11/2021,EC 1163,C,YellowSubstances_avg,1.923,11-May-21
5/11/2021,EC 1163,C,Total_avg,35.6265,11-May-21
5/11/2021,Muddy Creek,A,GreenAlgae_avg,2.441,11-May-21
5/11/2021,Muddy Creek,A,Bluegreen_avg,3.509,11-May-21
5/11/2021,Muddy Creek,A,Diatom_avg,6.647,11-May-21
5/11/2021,Muddy Creek,A,Cryptophyta_avg,0.0145,11-May-21
5/11/2021,Muddy Creek,A,YellowSubstances_avg,0.7805,11-May-21
5/11/2021,Muddy Creek,A,Total_avg,12.6085,11-May-21
5/11/2021,Muddy Creek,B,GreenAlgae_avg,2.8225,11-May-21
5/11/2021,Muddy Creek,B,Bluegreen_avg,4.0435,11-May-21
5/11/2021,Muddy Creek,B,Diatom_avg,6.547,11-May-21
5/11/2021,Muddy Creek,B,Cryptophyta_avg,5.00E-04,11-May-21
5/11/2021,Muddy Creek,B,YellowSubstances_avg,0.6895,11-May-21
5/11/2021,Muddy Creek,B,Total_avg,13.4135,11-May-21
5/11/2021,Muddy Creek,C,GreenAlgae_avg,2.433,11-May-21
5/11/2021,Muddy Creek,C,Bluegreen_avg,3.692,11-May-21
5/11/2021,Muddy Creek,C,Diatom_avg,6.926,11-May-21
5/11/2021,Muddy Creek,C,Cryptophyta_avg,0,11-May-21
5/11/2021,Muddy Creek,C,YellowSubstances_avg,0.6215,11-May-21
5/11/2021,Muddy Creek,C,Total_avg,13.05,11-May-21
5/11/2021,ODNR 1,A,GreenAlgae_avg,27.9355,11-May-21
5/11/2021,ODNR 1,A,Bluegreen_avg,0.694,11-May-21
5/11/2021,ODNR 1,A,Diatom_avg,17.6485,11-May-21
5/11/2021,ODNR 1,A,Cryptophyta_avg,7,11-May-21
5/11/2021,ODNR 1,A,YellowSubstances_avg,2.898,11-May-21
5/11/2021,ODNR 1,A,Total_avg,53.279,11-May-21
5/11/2021,ODNR 1,B,GreenAlgae_avg,29.15,11-May-21
5/11/2021,ODNR 1,B,Bluegreen_avg,0.7305,11-May-21
5/11/2021,ODNR 1,B,Diatom_avg,18.451,11-May-21
5/11/2021,ODNR 1,B,Cryptophyta_avg,6.946,11-May-21
5/11/2021,ODNR 1,B,YellowSubstances_avg,2.8495,11-May-21
5/11/2021,ODNR 1,B,Total_avg,55.277,11-May-21
5/11/2021,ODNR 1,C,GreenAlgae_avg,27.534,11-May-21
5/11/2021,ODNR 1,C,Bluegreen_avg,0.971,11-May-21
5/11/2021,ODNR 1,C,Diatom_avg,17.5805,11-May-21
5/11/2021,ODNR 1,C,Cryptophyta_avg,7.039,11-May-21
5/11/2021,ODNR 1,C,YellowSubstances_avg,3.0265,11-May-21
5/11/2021,ODNR 1,C,Total_avg,53.123,11-May-21
5/11/2021,ODNR 1,I,GreenAlgae_avg,28.682,11-May-21
5/11/2021,ODNR 1,I,Bluegreen_avg,0.647,11-May-21
5/11/2021,ODNR 1,I,Diatom_avg,17.694,11-May-21
5/11/2021,ODNR 1,I,Cryptophyta_avg,6.858,11-May-21
5/11/2021,ODNR 1,I,YellowSubstances_avg,2.865,11-May-21
5/11/2021,ODNR 1,I,Total_avg,53.8775,11-May-21
5/11/2021,ODNR 2,A,GreenAlgae_avg,26.1885,11-May-21
5/11/2021,ODNR 2,A,Bluegreen_avg,1.0785,11-May-21
