Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
4/26/2021 10:43:29 AM	0.00	1.82	0.00	0.00	0.00	1.82	80.19	1.10	--	
4/26/2021 10:43:32 AM	0.00	0.60	0.00	0.00	0.00	0.60	81.00	1.11	--	
4/26/2021 10:43:35 AM	0.28	3.25	0.00	0.00	0.00	3.53	87.82	1.11	--	
4/26/2021 10:43:39 AM	0.00	0.77	0.00	0.00	0.00	0.77	80.67	1.10	--	
4/26/2021 10:43:42 AM	0.00	1.52	0.00	0.00	0.00	1.52	90.90	1.10	--	
4/26/2021 10:43:45 AM	0.08	0.29	0.00	0.00	0.00	0.38	85.38	1.11	--	
4/26/2021 10:43:48 AM	0.00	0.00	0.00	0.00	0.00	0.00	69.92	1.11	--	
4/26/2021 10:43:52 AM	0.28	0.07	0.00	0.00	0.44	0.35	86.04	1.11	--	
4/26/2021 10:43:55 AM	0.00	0.72	0.00	0.63	0.00	1.36	53.57	1.11	--	
4/26/2021 10:43:58 AM	0.00	0.19	0.81	0.00	0.00	1.00	84.76	1.11	--	
4/26/2021 10:44:01 AM	0.00	1.29	0.67	0.00	0.00	1.97	77.80	1.13	--	
4/26/2021 10:44:05 AM	0.00	0.00	6.61	1.28	0.75	7.88	70.80	1.17	--	
4/26/2021 10:44:08 AM	17.05	0.86	11.50	2.65	1.85	32.06	58.65	1.27	--	
4/26/2021 10:44:11 AM	19.55	0.00	16.46	5.60	2.75	41.61	62.44	1.27	--	
4/26/2021 10:44:15 AM	25.41	0.00	12.25	5.12	2.69	42.78	59.11	1.30	--	
4/26/2021 10:44:18 AM	31.67	0.00	13.35	6.61	2.59	51.63	67.41	1.33	--	
4/26/2021 10:44:21 AM	25.62	0.00	11.47	6.85	2.69	43.95	64.88	1.58	--	
4/26/2021 10:44:24 AM	27.08	0.00	14.93	6.22	3.13	48.23	71.87	1.88	--	
4/26/2021 10:44:28 AM	31.95	0.00	13.87	6.59	2.88	52.41	70.19	1.92	--	
4/26/2021 10:44:31 AM	31.36	0.00	20.71	5.13	2.78	57.20	71.45	2.09	--	
4/26/2021 10:44:34 AM	30.94	0.00	20.18	5.11	3.00	56.23	69.89	2.04	--	
4/26/2021 10:44:37 AM	35.58	0.00	18.76	5.24	2.53	59.58	70.82	2.04	--	
4/26/2021 10:44:41 AM	35.73	0.00	17.41	5.56	2.82	58.70	69.44	2.05	--	
4/26/2021 10:44:44 AM	35.50	0.00	18.46	6.04	2.70	60.01	69.10	1.92	--	
4/26/2021 10:44:47 AM	34.73	0.00	20.55	5.33	2.43	60.62	71.37	1.81	--	
4/26/2021 10:44:50 AM	30.72	0.00	25.09	4.19	2.73	60.00	72.29	1.68	--	
4/26/2021 10:44:54 AM	35.06	0.00	20.88	4.01	2.44	59.96	70.13	1.54	--	
