Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
6/14/2021 10:20:47 AM	7.13	4.69	23.83	0.14	1.06	35.79	26.15	1.32	--	
6/14/2021 10:20:50 AM	8.12	2.95	20.15	2.31	1.17	33.54	23.15	1.31	--	
6/14/2021 10:20:53 AM	10.48	3.46	19.26	1.67	1.00	34.88	26.09	1.33	--	
6/14/2021 10:20:56 AM	11.77	3.19	16.88	2.91	1.15	34.75	24.77	1.30	--	
6/14/2021 10:20:59 AM	9.63	3.15	18.97	2.40	1.22	34.15	27.31	1.30	--	
6/14/2021 10:21:03 AM	12.08	2.99	18.39	2.16	0.72	35.61	24.90	1.34	--	
6/14/2021 10:21:06 AM	11.67	2.86	17.80	2.86	0.92	35.19	25.28	1.35	--	
6/14/2021 10:21:09 AM	7.64	3.34	18.83	3.30	1.46	33.12	22.85	1.33	--	
6/14/2021 10:21:13 AM	9.46	2.63	17.32	3.58	1.19	32.99	18.32	1.34	--	
6/14/2021 10:21:16 AM	12.16	1.35	13.26	5.92	1.33	32.69	20.69	1.34	--	
6/14/2021 10:21:19 AM	9.69	3.89	20.01	1.43	1.18	35.02	27.28	1.34	--	
6/14/2021 10:21:22 AM	8.68	3.61	21.67	1.18	0.96	35.14	27.34	1.33	--	
6/14/2021 10:21:26 AM	11.65	1.49	15.57	4.95	1.31	33.66	25.04	1.31	--	
6/14/2021 10:21:29 AM	12.18	3.44	20.70	0.57	0.58	36.88	27.64	1.30	--	
6/14/2021 10:21:32 AM	10.19	1.08	14.84	5.66	1.34	31.77	26.07	1.30	--	
6/14/2021 10:21:35 AM	11.94	1.05	12.63	6.45	1.08	32.07	24.90	1.29	--	
6/14/2021 10:21:39 AM	14.58	3.45	18.79	1.00	0.69	37.82	24.46	1.29	--	
6/14/2021 10:21:42 AM	11.63	2.85	17.63	3.33	0.86	35.44	28.27	1.28	--	
6/14/2021 10:21:45 AM	9.46	0.78	15.33	6.39	1.52	31.97	28.22	1.28	--	
6/14/2021 10:21:48 AM	14.58	1.25	14.97	4.80	0.99	35.60	29.05	1.29	--	
6/14/2021 10:21:52 AM	9.81	2.62	18.13	3.35	1.05	33.90	24.34	1.55	--	
6/14/2021 10:21:55 AM	9.78	3.14	19.37	2.28	1.04	34.57	25.69	1.82	--	
6/14/2021 10:21:58 AM	9.36	3.28	19.72	1.84	1.05	34.20	25.09	1.98	--	
6/14/2021 10:22:02 AM	9.09	2.97	19.16	2.24	1.11	33.46	25.57	1.98	--	
6/14/2021 10:22:05 AM	9.24	3.05	19.00	2.15	1.07	33.44	25.33	1.99	--	
6/14/2021 10:22:08 AM	9.34	3.01	18.43	2.19	1.04	32.97	25.31	1.99	--	
6/14/2021 10:22:11 AM	9.11	3.21	18.76	1.95	1.03	33.03	25.19	1.97	--	
6/14/2021 10:22:15 AM	9.21	3.14	18.73	2.15	1.00	33.22	24.72	1.97	--	
6/14/2021 10:22:18 AM	9.14	3.06	18.43	2.11	1.00	32.75	24.27	1.95	--	
6/14/2021 10:22:21 AM	9.02	3.19	18.61	1.93	1.02	32.75	24.42	1.97	--	
6/14/2021 10:22:24 AM	9.39	3.02	18.71	2.20	0.99	33.31	24.70	1.98	--	
6/14/2021 10:22:28 AM	9.55	2.97	18.36	2.21	0.99	33.09	25.07	1.97	--	
6/14/2021 10:22:31 AM	9.33	3.16	18.53	2.12	1.03	33.13	25.46	1.98	--	
6/14/2021 10:22:34 AM	9.48	2.97	18.67	2.10	0.98	33.23	25.24	1.99	--	
6/14/2021 10:22:37 AM	9.47	3.01	17.82	2.68	1.04	32.98	25.41	1.99	--	
6/14/2021 10:22:41 AM	9.41	3.02	18.44	2.20	1.03	33.07	25.81	1.98	--	
6/14/2021 10:22:44 AM	9.53	3.01	18.63	2.21	1.00	33.38	26.14	2.00	--	
6/14/2021 10:22:47 AM	9.40	3.05	18.84	2.07	1.04	33.36	26.10	2.02	--	
6/14/2021 10:22:50 AM	9.10	3.04	19.31	2.13	1.08	33.59	25.96	2.03	--	
6/14/2021 10:22:54 AM	9.63	2.93	19.16	2.11	1.03	33.83	26.05	2.01	--	
6/14/2021 10:22:57 AM	8.86	2.94	18.22	2.00	1.06	32.02	25.93	1.99	--	
6/14/2021 10:23:00 AM	9.09	3.02	18.05	1.85	1.03	32.01	25.36	1.96	--	
6/14/2021 10:23:03 AM	9.33	3.13	19.05	1.67	0.98	33.18	25.73	1.77	--	
6/14/2021 10:23:07 AM	9.88	3.13	18.26	1.92	0.98	33.20	24.74	1.51	--	
6/14/2021 10:23:10 AM	10.68	2.67	18.27	3.86	0.78	35.47	23.40	1.37	--	
6/14/2021 10:23:13 AM	12.44	3.35	21.11	0.23	0.63	37.13	23.56	1.21	--	
6/14/2021 10:23:17 AM	0.00	0.00	0.00	0.00	0.01	0.00	82.75	1.05	--	
6/14/2021 10:23:20 AM	0.00	0.00	0.00	0.00	0.00	0.00	69.00	1.04	--	
6/14/2021 10:23:23 AM	0.00	0.00	0.33	0.00	0.03	0.33	72.78	1.04	--	
6/14/2021 10:23:26 AM	0.00	0.28	0.81	0.00	0.00	1.09	78.08	1.04	--	
