Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
6/21/2021 10:45	6.91	2.59	38.4	3.73	0.95	51.63	50.71	1.09	--	
6/21/2021 10:45	10.14	2.79	62.62	4.66	1.08	80.22	39.25	1.21	--	
6/21/2021 10:45	15.8	0.89	53.04	8.98	1.01	78.71	39.02	1.23	--	
6/21/2021 10:45	13.43	4.2	59.54	5.29	1.21	82.45	36.58	1.23	--	
6/21/2021 10:45	13.25	2.82	57.96	6.5	1.1	80.54	36.98	1.24	--	
6/21/2021 10:45	13.99	2.33	56.82	7.51	1.26	80.65	42.1	1.25	--	
6/21/2021 10:45	13.51	1.49	54.42	8.92	1.48	78.33	38.89	1.25	--	
6/21/2021 10:45	13.33	2.24	54.42	8.58	1.58	78.57	39.63	1.25	--	
6/21/2021 10:45	15.82	1.45	52.49	9.26	1.18	79.01	40.46	1.26	--	
6/21/2021 10:45	13.5	1.91	55.15	8.28	1.36	78.83	41.05	1.27	--	
6/21/2021 10:45	14.32	2.95	55.99	7.1	1.23	80.35	37.92	1.26	--	
6/21/2021 10:46	12.77	3.02	58.96	6.21	1.2	80.95	39.43	1.26	--	
6/21/2021 10:46	12.49	3.78	59.59	4.54	1.19	80.39	36.54	1.26	--	
6/21/2021 10:46	14.15	2.21	57.38	7.24	0.98	80.97	35.98	1.25	--	
6/21/2021 10:46	12.84	4.42	61.85	3.27	1.03	82.37	41.72	1.26	--	
6/21/2021 10:46	13.04	2.93	57.9	6.56	1.29	80.43	36.43	1.28	--	
6/21/2021 10:46	13.7	3.28	59.51	5.55	1.06	82.04	39.84	1.28	--	
6/21/2021 10:46	13.76	1.56	55.65	8.37	1.29	79.34	38.14	1.28	--	
6/21/2021 10:46	13.84	2.14	55.71	8.09	1.24	79.78	38.3	1.27	--	
6/21/2021 10:46	13.42	1.72	56.21	8.1	1.27	79.45	36.99	1.28	--	
6/21/2021 10:46	13.99	3.3	57.36	6.22	1.19	80.86	38.85	1.28	--	
6/21/2021 10:46	12.36	3.09	55.45	7.48	1.57	78.38	38.47	1.26	--	
6/21/2021 10:46	12.7	3.54	58.04	5.44	1.18	79.72	37.04	1.25	--	
6/21/2021 10:46	14.95	1.98	55.24	7.7	1.3	79.87	38.49	1.24	--	
6/21/2021 10:46	0	0	0	0	0	0	73.56	0.94	--	
6/21/2021 10:46	0	0	0	0	0.2	0	87.51	0.94	--	
6/21/2021 10:46	0.99	0.81	0	0.1	0	1.9	75.43	0.94	--	
6/21/2021 10:46	0.67	0.27	0	0	0	0.94	80.19	0.94	--	
6/21/2021 10:46	0	0.76	0	0	0	0.76	84.03	0.94	--	
6/21/2021 10:47	0	0.61	0	0.04	0	0.66	77.37	0.94	--	
6/21/2021 10:47	0	0.5	0	0	0.18	0.5	85.55	0.94	--	
6/21/2021 10:47	0	0.98	0	0	0	0.98	79.35	0.94	--	
6/21/2021 10:47	0	0	0	0.15	0	0.15	82.03	0.94	--	
6/21/2021 10:47	0	1.46	0	0	0	1.46	85.96	0.94	--	
6/21/2021 10:47	0	0.39	0	0	0	0.39	83.29	0.94	--	
6/21/2021 10:47	0.88	1.42	0	0	0	2.3	82.59	0.94	--	
6/21/2021 10:47	0	0.52	0	0	0	0.52	81.5	0.93	--	
6/21/2021 10:47	0	0	0	0	0	0	81.52	0.93	--	
6/21/2021 11:24	1	2.01	0	0	0	3.01	50.36	0.94	--	
6/21/2021 11:24	7.64	0.95	31.54	8.8	2.65	48.93	45.13	1.31	--	
6/21/2021 11:24	10.25	1.85	38.64	5.22	1.84	55.96	47.8	1.32	--	
6/21/2021 11:24	14.25	1.46	32.25	7.41	2	55.37	34.63	1.33	--	
6/21/2021 11:24	4.55	5.22	43.76	1.59	1.9	55.12	36.64	1.34	--	
6/21/2021 11:24	8.28	4.33	39.24	3.45	1.96	55.31	38.09	1.35	--	
6/21/2021 11:24	10.1	2.95	38.13	3.7	2.04	54.88	45.21	1.36	--	
6/21/2021 11:24	12.3	2.03	32.65	6.19	2.1	53.18	42.94	1.34	--	
6/21/2021 11:25	8.7	4.62	37.83	4.06	2.22	55.2	44.8	1.35	--	
6/21/2021 11:25	6.01	5.63	45.48	0	1.94	57.12	42.94	1.34	--	
6/21/2021 11:25	5.86	3.53	39.81	4.22	2.56	53.42	44.53	1.37	--	
6/21/2021 11:25	6.72	4.94	42.93	2.29	2.19	56.88	38.2	1.35	--	
6/21/2021 11:25	8.92	3.2	38.42	4.84	1.97	55.38	39.49	1.34	--	
6/21/2021 11:25	11.64	1.35	32.25	8.76	2.18	54	39.73	1.34	--	
6/21/2021 11:25	9.2	2.01	32.22	8.36	2.49	51.8	37.7	1.34	--	
6/21/2021 11:25	5.57	4.7	41.77	2.29	2.35	54.32	42.3	1.35	--	
6/21/2021 11:25	12.41	1.63	32.56	7.96	1.86	54.56	42.13	1.34	--	
6/21/2021 11:25	12.05	2.13	34.95	6.19	1.9	55.32	42.14	1.33	--	
6/21/2021 11:25	11.18	1.9	35.17	6.86	2.04	55.11	46.37	1.33	--	
6/21/2021 11:25	9.05	2.03	36.06	7.16	2.36	54.3	40.02	1.31	--	
6/21/2021 11:25	10.22	2.29	37.25	5.79	2.15	55.54	44.72	1.31	--	
6/21/2021 11:25	8.68	2.74	36.74	5.23	2.12	53.39	44.12	1.37	--	
6/21/2021 11:25	8.17	2.75	37.98	4.26	2.02	53.17	42.63	1.69	--	
6/21/2021 11:25	8.38	2.65	37.02	4.55	2.09	52.6	44.27	1.92	--	
6/21/2021 11:25	8.3	3.16	37.4	4.35	2.06	53.21	43	1.9	--	
6/21/2021 11:25	8.81	2.31	37.32	5.31	2.09	53.75	43.46	1.92	--	
6/21/2021 11:25	8.61	3.06	38.53	4.47	2.11	54.67	43.68	1.93	--	
6/21/2021 11:26	8.1	3.29	38.54	4.07	2.09	54	44.58	1.93	--	
6/21/2021 11:26	8.43	2.67	38.22	4.44	2.16	53.77	43.41	1.92	--	
6/21/2021 11:26	8.4	2.66	37.33	5.08	2.11	53.46	43.51	1.91	--	
