Date/Time	Green Algae	Bluegreen	Diatoms	Cryptophyta	Yellow substances	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
6/28/2021 9:59:07 AM	14.36	10.31	48.37	13.08	2.74	86.13	51.97	1.47	--	
6/28/2021 9:59:10 AM	15.75	10.30	50.09	11.64	2.61	87.78	51.83	1.47	--	
6/28/2021 9:59:13 AM	16.64	9.84	48.57	12.45	2.71	87.50	49.03	1.46	--	
6/28/2021 9:59:16 AM	15.95	8.35	47.80	14.19	2.66	86.28	50.31	1.47	--	
6/28/2021 9:59:19 AM	14.38	7.81	45.54	16.08	3.14	83.82	53.09	1.47	--	
6/28/2021 9:59:23 AM	17.89	8.43	44.74	15.03	2.78	86.09	50.91	1.48	--	
6/28/2021 9:59:26 AM	16.18	8.21	47.09	14.95	2.69	86.43	52.79	1.49	--	
6/28/2021 9:59:29 AM	17.53	7.76	44.38	16.15	2.78	85.82	52.42	1.51	--	
6/28/2021 9:59:32 AM	17.33	9.18	48.32	13.54	2.57	88.37	54.25	1.51	--	
6/28/2021 9:59:36 AM	16.31	8.62	45.90	15.54	2.84	86.37	54.73	1.51	--	
6/28/2021 9:59:39 AM	17.97	9.42	44.81	16.28	2.80	88.48	54.15	1.52	--	
6/28/2021 9:59:42 AM	17.47	7.91	44.23	17.42	2.91	87.03	52.00	1.53	--	
6/28/2021 9:59:46 AM	18.20	8.39	43.14	16.95	2.85	86.68	53.55	1.54	--	
6/28/2021 9:59:49 AM	15.89	8.98	45.84	15.17	3.00	85.88	52.80	1.53	--	
6/28/2021 9:59:52 AM	17.84	10.67	47.86	11.87	2.84	88.24	51.51	1.55	--	
6/28/2021 9:59:55 AM	15.77	10.26	48.60	12.70	2.82	87.33	49.95	1.55	--	
6/28/2021 9:59:59 AM	16.36	10.56	48.62	12.51	2.56	88.04	52.34	1.54	--	
6/28/2021 10:00:02 AM	16.21	7.15	40.56	18.88	3.05	82.80	49.56	1.54	--	
6/28/2021 10:00:05 AM	15.45	11.76	51.54	9.97	2.33	88.72	54.12	1.55	--	
6/28/2021 10:00:08 AM	17.52	10.02	47.72	12.00	2.11	87.26	50.52	1.50	--	
6/28/2021 10:00:12 AM	16.33	11.31	50.52	10.43	2.30	88.59	51.39	1.48	--	
6/28/2021 10:00:15 AM	18.17	7.40	42.07	16.69	2.70	84.33	48.47	1.54	--	
6/28/2021 10:00:18 AM	20.58	9.47	46.98	12.32	1.78	89.35	51.33	1.63	--	
6/28/2021 10:00:21 AM	20.30	5.37	39.42	18.24	2.55	83.33	50.68	1.74	--	
6/28/2021 10:00:25 AM	14.31	8.68	47.09	13.34	2.46	83.41	52.11	1.83	--	
6/28/2021 10:00:28 AM	15.47	7.41	44.95	13.96	2.51	81.78	49.51	1.93	--	
6/28/2021 10:00:31 AM	14.86	8.52	48.05	11.39	2.39	82.82	48.63	1.99	--	
6/28/2021 10:00:34 AM	15.90	7.79	45.34	12.91	2.30	81.94	49.42	2.15	--	
6/28/2021 10:00:38 AM	17.19	8.73	46.52	11.90	2.27	84.34	50.80	2.17	--	
6/28/2021 10:00:41 AM	17.39	8.60	46.21	12.49	2.30	84.69	47.76	2.19	--	
6/28/2021 10:00:44 AM	17.62	7.71	45.41	13.62	2.32	84.36	48.81	2.18	--	
6/28/2021 10:00:47 AM	15.99	8.59	47.23	11.90	2.35	83.71	49.06	2.19	--	
6/28/2021 10:00:51 AM	15.40	8.63	47.12	11.30	2.30	82.45	50.28	2.19	--	
6/28/2021 10:00:54 AM	16.24	8.12	47.00	10.97	2.24	82.33	47.72	2.20	--	
6/28/2021 10:00:57 AM	15.95	8.26	48.01	10.95	2.13	83.17	48.28	2.19	--	
6/28/2021 10:01:01 AM	17.22	8.77	47.32	11.43	2.16	84.74	49.12	2.20	--	
6/28/2021 10:01:04 AM	15.70	7.46	47.50	12.16	2.25	82.83	49.58	2.20	--	
6/28/2021 10:01:07 AM	17.43	7.90	47.03	11.89	2.12	84.25	49.02	2.19	--	
