Date/Time	Conc 1	Conc 2	Conc 3	Conc 4	Conc 8	Total conc.	Transmission	Depth	Temp. Sample	Comment
date	µg/l	µg/l	µg/l	µg/l	r.u.	µg/l	%	m	°C	
8/23/2021 9:36:55 AM	27.73	11.50	11.48	8.38	3.61	59.09	65.45	0.35	--	
8/23/2021 9:36:58 AM	26.30	10.48	10.03	10.29	3.97	57.10	64.38	0.35	--	
8/23/2021 9:37:01 AM	30.44	10.08	7.36	11.44	3.59	59.31	66.81	0.36	--	
8/23/2021 9:37:04 AM	24.94	11.93	15.23	6.45	3.20	58.56	65.57	0.37	--	
8/23/2021 9:37:07 AM	25.99	12.18	12.74	6.65	3.67	57.57	65.97	0.36	--	
8/23/2021 9:37:11 AM	28.55	9.71	7.98	10.80	3.76	57.04	66.42	0.37	--	
8/23/2021 9:37:14 AM	26.18	11.95	12.04	7.55	3.66	57.72	66.97	0.37	--	
8/23/2021 9:37:17 AM	28.44	11.63	12.97	7.21	3.21	60.25	68.13	0.37	--	
8/23/2021 9:37:20 AM	29.50	8.58	7.84	13.41	3.55	59.31	66.13	0.38	--	
8/23/2021 9:37:24 AM	29.84	10.12	7.28	11.62	3.78	58.87	67.15	0.36	--	
8/23/2021 9:37:27 AM	24.90	11.97	13.11	7.76	3.67	57.75	63.14	0.35	--	
8/23/2021 9:37:30 AM	31.88	10.35	7.71	10.26	3.48	60.20	69.22	0.35	--	
8/23/2021 9:37:34 AM	28.94	9.27	9.41	10.58	3.44	58.20	70.80	0.34	--	
8/23/2021 9:37:37 AM	28.96	12.26	9.78	6.94	3.68	57.93	66.71	0.35	--	
8/23/2021 9:37:40 AM	28.90	10.10	8.29	10.66	3.49	57.95	66.01	0.38	--	
8/23/2021 9:37:43 AM	26.49	12.08	12.22	7.06	3.60	57.85	65.99	0.36	--	
8/23/2021 9:37:47 AM	30.45	10.86	9.13	8.57	3.52	59.01	66.43	0.35	--	
8/23/2021 9:37:50 AM	25.53	12.11	13.73	6.34	3.24	57.70	62.19	0.37	--	
8/23/2021 9:37:53 AM	29.01	12.27	10.61	7.79	3.41	59.68	63.03	0.39	--	
8/23/2021 9:37:56 AM	26.59	10.80	12.17	7.85	3.56	57.42	60.95	0.36	--	
8/23/2021 9:38:00 AM	27.39	8.30	6.26	13.39	3.74	55.35	65.32	0.37	--	
8/23/2021 9:38:03 AM	20.95	12.31	13.56	7.65	4.17	54.47	63.98	0.38	--	
8/23/2021 9:38:06 AM	29.34	11.31	7.04	10.06	3.48	57.75	67.90	0.60	--	
8/23/2021 9:38:09 AM	28.57	10.84	9.69	9.50	3.54	58.60	63.97	0.79	--	
8/23/2021 9:38:13 AM	28.57	11.14	10.52	8.66	3.49	58.89	67.69	0.75	--	
8/23/2021 9:38:16 AM	27.19	11.67	12.79	7.81	3.75	59.46	68.02	0.72	--	
8/23/2021 9:38:19 AM	30.03	10.90	10.55	9.35	3.50	60.82	65.10	0.75	--	
8/23/2021 9:38:22 AM	28.77	10.80	11.14	9.41	3.46	60.12	65.69	0.77	--	
8/23/2021 9:38:26 AM	29.46	9.47	6.90	11.76	3.50	57.59	65.11	0.99	--	
8/23/2021 9:38:29 AM	29.23	10.00	7.75	10.91	3.49	57.87	64.08	1.03	--	
8/23/2021 9:38:32 AM	28.61	10.50	8.48	10.76	3.45	58.35	64.54	1.00	--	
8/23/2021 9:38:36 AM	29.67	10.73	8.26	10.15	3.28	58.82	64.30	1.00	--	
8/23/2021 9:38:39 AM	29.23	9.87	7.53	11.82	3.47	58.45	64.30	1.02	--	
8/23/2021 9:38:42 AM	29.32	10.10	7.44	11.59	3.48	58.44	65.29	1.02	--	
8/23/2021 9:38:45 AM	29.96	10.82	9.02	10.05	3.35	59.85	62.52	1.02	--	
8/23/2021 9:38:49 AM	29.43	10.02	8.18	11.46	3.36	59.10	65.53	1.01	--	
8/23/2021 9:38:52 AM	30.08	10.15	8.32	10.82	3.25	59.36	63.47	1.01	--	
8/23/2021 9:38:55 AM	32.02	9.92	8.23	10.49	3.02	60.67	60.46	1.01	--	
8/23/2021 9:38:58 AM	29.58	10.16	9.18	9.81	3.20	58.73	60.33	0.99	--	
8/23/2021 9:39:02 AM	29.25	9.72	7.90	11.28	3.27	58.14	60.68	0.99	--	
8/23/2021 9:39:05 AM	27.26	10.86	10.85	9.13	3.25	58.10	64.57	0.99	--	
8/23/2021 9:39:08 AM	30.99	10.06	7.49	10.68	3.29	59.22	62.60	1.02	--	
8/23/2021 9:39:11 AM	28.66	10.09	8.93	10.30	3.44	57.98	62.02	1.02	--	
8/23/2021 9:39:15 AM	30.79	10.42	8.28	9.88	3.23	59.37	63.68	1.02	--	
8/23/2021 9:39:18 AM	30.25	10.10	8.43	10.53	3.09	59.30	61.33	1.02	--	
8/23/2021 9:39:21 AM	27.65	10.86	10.78	8.85	3.29	58.14	64.11	1.02	--	
8/23/2021 9:39:25 AM	30.52	10.36	9.07	9.61	3.12	59.56	62.98	1.01	--	
8/23/2021 9:39:28 AM	30.34	10.11	7.96	10.77	3.14	59.18	62.99	1.01	--	
8/23/2021 9:39:31 AM	28.64	9.85	8.51	10.90	3.39	57.89	62.53	1.02	--	
8/23/2021 9:39:34 AM	30.33	9.94	7.72	10.88	3.27	58.87	63.13	1.02	--	
8/23/2021 9:39:38 AM	28.85	10.01	8.76	10.63	3.01	58.25	61.72	0.74	--	
8/23/2021 9:39:41 AM	28.08	9.54	7.54	12.27	3.47	57.44	66.04	0.74	--	
8/23/2021 9:39:44 AM	30.50	9.76	7.83	11.58	3.32	59.68	67.38	0.75	--	
8/23/2021 9:39:47 AM	31.53	10.48	8.43	10.24	3.20	60.68	63.03	0.75	--	
8/23/2021 9:39:51 AM	28.87	10.45	10.77	9.58	3.16	59.68	66.32	0.74	--	
8/23/2021 9:39:54 AM	29.98	9.27	7.38	12.12	3.26	58.75	66.40	0.59	--	
8/23/2021 9:39:57 AM	30.52	11.52	10.97	8.83	3.09	61.85	65.54	0.37	--	
8/23/2021 9:40:00 AM	32.46	9.69	7.31	12.39	3.37	61.85	68.92	0.35	--	
8/23/2021 9:40:04 AM	32.70	9.89	7.80	12.55	3.02	62.94	65.39	0.35	--	
8/23/2021 9:40:07 AM	36.08	9.63	4.57	12.58	3.21	62.86	66.81	0.35	--	
