P1E	02.00	3	Date	Time	
P06	02.00	3	8/13/2021	10:04:38 AM	
P0B	02.00	3	8/13/2021	10:04:42 AM	
P0C	02.00	3	8/13/2021	10:04:45 AM	
P01	02.00	3	8/13/2021	10:04:48 AM	
P09	02.00	3	8/13/2021	10:04:51 AM	
P0D	02.00	3	8/13/2021	10:04:55 AM	
P00	02.00	3	8/13/2021	10:04:58 AM	
P0D	02.00	3	8/13/2021	10:05:01 AM	
P08	02.00	3	8/13/2021	10:05:04 AM	
P04	02.00	3	8/13/2021	10:05:08 AM	
P0C	02.00	3	8/13/2021	10:05:11 AM	
P09	02.00	3	8/13/2021	10:05:14 AM	
P05	02.00	3	8/13/2021	10:05:18 AM	
P0F	02.00	3	8/13/2021	10:05:21 AM	
P0A	02.00	3	8/13/2021	10:05:24 AM	
P09	02.00	3	8/13/2021	10:05:27 AM	
P0E	02.00	3	8/13/2021	10:05:31 AM	
P0B	02.00	3	8/13/2021	10:05:34 AM	
P08	02.00	3	8/13/2021	10:05:37 AM	
P08	02.00	3	8/13/2021	10:05:40 AM	
P07	02.00	3	8/13/2021	10:09:34 AM	
P04	02.00	3	8/13/2021	10:09:37 AM	
P05	02.00	3	8/13/2021	10:09:41 AM	
P00	02.00	3	8/13/2021	10:09:44 AM	
P03	02.00	3	8/13/2021	10:09:47 AM	
P05	02.00	3	8/13/2021	10:09:50 AM	
P01	02.00	3	8/13/2021	10:09:54 AM	
P02	02.00	3	8/13/2021	10:09:57 AM	
P08	02.00	3	8/13/2021	10:10:00 AM	
P0B	02.00	3	8/13/2021	10:10:03 AM	
P0F	02.00	3	8/13/2021	10:10:07 AM	
P09	02.00	3	8/13/2021	10:10:10 AM	
P0A	02.00	3	8/13/2021	10:10:13 AM	
P0E	02.00	3	8/13/2021	10:10:17 AM	
P0A	02.00	3	8/13/2021	10:10:20 AM	
P09	02.00	3	8/13/2021	10:10:23 AM	
P0C	02.00	3	8/13/2021	10:10:26 AM	
P0B	02.00	3	8/13/2021	10:10:30 AM	
P08	02.00	3	8/13/2021	10:10:33 AM	
