"Site","Date","rep","Depth","LightValue","Light_0","DOY"
"Muddy_Creek",2021-05-11,"avg",0,1496.4,1496.4,131
"Muddy_Creek",2021-05-11,"avg",0.5,0.015,1496.4,131
"Muddy_Creek",2021-05-11,"avg",1,0.01,1496.4,131
"Muddy_Creek",2021-05-11,"avg",1.5,0.01,1496.4,131
"ODNR_4",2021-05-11,"avg",0,28.58,28.58,131
"ODNR_4",2021-05-11,"avg",0.5,0.22,28.58,131
"ODNR_4",2021-05-11,"avg",1,0.01,28.58,131
"ODNR_4",2021-05-11,"avg",1.5,0.005,28.58,131
"ODNR_6",2021-05-11,"avg",0,1079.25,1079.25,131
"ODNR_6",2021-05-11,"avg",0.5,82.96,1079.25,131
"ODNR_6",2021-05-11,"avg",1,3.785,1079.25,131
"ODNR_6",2021-05-11,"avg",1.5,0.23,1079.25,131
"ODNR_6",2021-05-11,"avg",2,0.03,1079.25,131
"ODNR_6",2021-05-11,"avg",2.5,0.005,1079.25,131
"ODNR_2",2021-05-11,"avg",0,1299.8,1299.8,131
"ODNR_2",2021-05-11,"avg",0.5,355.65,1299.8,131
"ODNR_2",2021-05-11,"avg",1,81.145,1299.8,131
"ODNR_2",2021-05-11,"avg",1.5,18.05,1299.8,131
"ODNR_2",2021-05-11,"avg",2,4.62,1299.8,131
"ODNR_2",2021-05-11,"avg",2.5,1.235,1299.8,131
"ODNR_2",2021-05-11,"avg",3,0.75,1299.8,131
"Buoy_2",2021-05-11,"avg",0,1666,1666,131
"Buoy_2",2021-05-11,"avg",0.5,399.4,1666,131
"Buoy_2",2021-05-11,"avg",1,98.005,1666,131
"Buoy_2",2021-05-11,"avg",1.5,23.665,1666,131
"Buoy_2",2021-05-11,"avg",2,5.455,1666,131
"Buoy_2",2021-05-11,"avg",2.5,1.73,1666,131
"Buoy_2",2021-05-11,"avg",3,0.335,1666,131
"ODNR_1",2021-05-11,"avg",0,2523,2523,131
"ODNR_1",2021-05-11,"avg",0.5,34402.5,2523,131
"ODNR_1",2021-05-11,"avg",1,227.085,2523,131
"ODNR_1",2021-05-11,"avg",1.5,51.47,2523,131
"ODNR_1",2021-05-11,"avg",2,6.675,2523,131
"ODNR_1",2021-05-11,"avg",2.5,2,2523,131
"ODNR_1",2021-05-11,"avg",3,0.58,2523,131
"EC_1163",2021-05-11,"avg",0,2296.5,2296.5,131
"EC_1163",2021-05-11,"avg",0.5,728.3,2296.5,131
"EC_1163",2021-05-11,"avg",1,264.5,2296.5,131
"EC_1163",2021-05-11,"avg",1.5,116.425,2296.5,131
"EC_1163",2021-05-11,"avg",2,49.7,2296.5,131
"EC_1163",2021-05-11,"avg",2.5,19.935,2296.5,131
"EC_1163",2021-05-11,"avg",3,7.375,2296.5,131
"EC_1163",2021-05-11,"avg",3.5,3.3,2296.5,131
"ODNR_4",2021-05-24,"avg",0,1676.6,1676.6,144
"ODNR_4",2021-05-24,"avg",0.5,193.695,1676.6,144
"ODNR_4",2021-05-24,"avg",1,74.03,1676.6,144
"ODNR_4",2021-05-24,"avg",1.5,1.19,1676.6,144
"ODNR_4",2021-05-24,"avg",2,0.065,1676.6,144
"ODNR_6",2021-05-24,"avg",0,2340,2340,144
"ODNR_6",2021-05-24,"avg",0.5,361.5,2340,144
"ODNR_6",2021-05-24,"avg",1,54.395,2340,144
"ODNR_6",2021-05-24,"avg",1.5,10.11,2340,144
"ODNR_6",2021-05-24,"avg",2,1.84,2340,144
"ODNR_6",2021-05-24,"avg",2.5,0.245,2340,144
"ODNR_2",2021-05-24,"avg",0,646.3,646.3,144
"ODNR_2",2021-05-24,"avg",0.5,374.1,646.3,144
"ODNR_2",2021-05-24,"avg",1,206.095,646.3,144
"ODNR_2",2021-05-24,"avg",1.5,117.445,646.3,144
"ODNR_2",2021-05-24,"avg",2,53.015,646.3,144
"ODNR_2",2021-05-24,"avg",2.5,24.54,646.3,144
"Buoy_2",2021-05-24,"avg",0,381.05,381.05,144
"Buoy_2",2021-05-24,"avg",0.5,242.75,381.05,144
"Buoy_2",2021-05-24,"avg",1,129.225,381.05,144
"Buoy_2",2021-05-24,"avg",1.5,75.745,381.05,144
"Buoy_2",2021-05-24,"avg",2,39.195,381.05,144
"Buoy_2",2021-05-24,"avg",2.5,17.21,381.05,144
"Buoy_2",2021-05-24,"avg",3,6.14,381.05,144
"ODNR_1",2021-05-24,"avg",0,493.85,493.85,144
"ODNR_1",2021-05-24,"avg",0.5,341.05,493.85,144
"ODNR_1",2021-05-24,"avg",1,232.325,493.85,144
"ODNR_1",2021-05-24,"avg",1.5,167.96,493.85,144
"ODNR_1",2021-05-24,"avg",2,105.825,493.85,144
"ODNR_1",2021-05-24,"avg",2.5,64.98,493.85,144
"ODNR_1",2021-05-24,"avg",3,35.13,493.85,144
"EC_1163",2021-05-24,"avg",0,483.2,483.2,144
"EC_1163",2021-05-24,"avg",0.5,294.9,483.2,144
