site,date,TSS,STDEV
Muddy_Creek,5/11/2021,315.25,28.64
ODNR_6,5/11/2021,54.00,0.71
ODNR_4,5/11/2021,228.50,2.12
Bridge,5/11/2021,41.25,1.77
ODNR_2,5/11/2021,33.50,0.71
ODNR_1,5/11/2021,28.75,0.35
EC_1163,5/11/2021,19.75,0.35
Buoy_2,5/11/2021,34.50,0.71
Muddy_Creek,5/24/2021,53.50,4.95
ODNR_6,5/24/2021,31.50,2.12
ODNR_4,5/24/2021,49.75,0.35
Bridge,5/24/2021,28.50,1.41
ODNR_2,5/24/2021,5.75,0.35
ODNR_1,5/24/2021,4.25,0.35
EC_1163,5/24/2021,12.50,0.71
Buoy_2,5/24/2021,6.75,1.06
Bells,5/24/2021,2.50,0.71
ODNR_6_Integrated,5/24/2021,26.50,
ODNR_4_Integrated,5/24/2021,52.50,
ODNR_2_Integrated,5/24/2021,6.50,
ODNR_1_Integrated,5/24/2021,6.00,
Muddy_Creek,6/7/2021,43.25,1.77
ODNR_6,6/7/2021,14.00,0.71
ODNR_4,6/7/2021,34.25,12.37
Bridge,6/7/2021,23.00,3.54
ODNR_2,6/7/2021,15.00,
ODNR_1,6/7/2021,6.50,1.41
EC_1163,6/7/2021,3.50,0.00
Buoy_2,6/7/2021,7.00,0.71
Bells,6/7/2021,3.50,0.71
Muddy_Creek,6/14/2021,112.50,1.41
ODNR_6,6/14/2021,51.00,2.12
ODNR_4,6/14/2021,61.00,0.00
Bridge,6/14/2021,102.50,7.78
ODNR_2,6/14/2021,23.00,0.00
ODNR_1,6/14/2021,11.25,1.77
EC_1163,6/14/2021,14.25,12.37
Buoy_2,6/14/2021,10.75,0.35
Bells,6/14/2021,1.25,0.35
ODNR_6_Integrated,6/14/2021,51.00,
ODNR_4_Integrated,6/14/2021,68.50,
ODNR_2_Integrated,6/14/2021,23.00,
ODNR_1_Integrated,6/14/2021,8.50,
Muddy_Creek,6/21/2021,84.00,0.71
ODNR_6,6/21/2021,81.50,0.00
ODNR_4,6/21/2021,74.50,1.41
Bridge,6/21/2021,135.75,0.35
Muddy_Creek,6/28/2021,55.75,0.35
ODNR_6,6/28/2021,24.25,1.06
ODNR_4,6/28/2021,37.75,0.35
Bridge,6/28/2021,20.00,0.71
ODNR_2,6/28/2021,13.00,0.71
ODNR_1,6/28/2021,13.25,0.35
EC_1163,6/28/2021,12.25,0.35
Buoy_2,6/28/2021,14.00,0.71
ODNR_6_Integrated,6/28/2021,25.50,
ODNR_4_Integrated,6/28/2021,62.50,
ODNR_2_Integrated,6/28/2021,13.00,
ODNR_1_Integrated,6/28/2021,14.00,
Muddy_Creek,7/5/2021,69.00,2.83
ODNR_6,7/5/2021,22.75,1.06
ODNR_4,7/5/2021,35.25,1.06
Bridge,7/5/2021,34.00,0.00
ODNR_2,7/5/2021,23.50,0.71
ODNR_1,7/5/2021,17.50,0.00
EC_1163,7/5/2021,20.00,0.00
Buoy_2,7/5/2021,20.25,1.77
Bells,7/5/2021,6.25,1.06
ODNR_6_Integrated,7/5/2021,24.00,
ODNR_4_Integrated,7/5/2021,39.50,
ODNR_2_Integrated,7/5/2021,22.50,
ODNR_1_Integrated,7/5/2021,18.00,
Muddy_Creek,7/12/2021,47.25,0.35
ODNR_6,7/12/2021,22.75,0.35
ODNR_4,7/12/2021,31.75,0.35
Bridge,7/12/2021,21.75,0.35
ODNR_2,7/12/2021,22.25,0.35
ODNR_1,7/12/2021,12.25,0.35
EC_1163,7/12/2021,14.00,0.71
Buoy_2,7/12/2021,14.25,0.35
Muddy_Creek,7/19/2021,85.25,0.35
ODNR_6,7/19/2021,26.00,0.71
ODNR_4,7/19/2021,60.00,0.00
Bridge,7/19/2021,29.00,0.71
ODNR_2,7/19/2021,22.50,0.71
ODNR_1,7/19/2021,17.25,1.06
EC_1163,7/19/2021,12.25,0.35
Buoy_2,7/19/2021,19.00,0.71
Bells,7/19/2021,4.75,0.35
Muddy_Creek,7/26/2021,48.50,4.95
ODNR_6,7/26/2021,50.00,1.41
ODNR_4,7/26/2021,34.75,0.35
Bridge,7/26/2021,27.00,0.00
ODNR_2,7/26/2021,18.75,1.77
ODNR_1,7/26/2021,15.50,0.71
EC_1163,7/26/2021,11.00,0.71
Buoy_2,7/26/2021,15.25,1.06
Bells,7/26/2021,3.50,2.12
ODNR_6_Integrated,7/26/2021,19.50,
ODNR_4_Integrated,7/26/2021,35.50,
ODNR_2_Integrated,7/26/2021,21.00,
ODNR_1_Integrated,7/26/2021,14.50,
Muddy_Creek,8/2/2021,55.25,1.77
ODNR_6,8/2/2021,25.50,1.41
ODNR_4,8/2/2021,40.00,4.24
Bridge,8/2/2021,30.75,0.35
ODNR_2,8/2/2021,14.00,0.00
ODNR_1,8/2/2021,11.50,0.71
EC_1163,8/2/2021,16.75,0.35
Buoy_2,8/2/2021,13.50,2.12
Bells,8/2/2021,5.25,1.06
Muddy_Creek,8/9/2021,71.75,1.77
ODNR_6,8/9/2021,36.75,0.35
ODNR_4,8/9/2021,43.50,0.71
Bridge,8/9/2021,29.50,0.00
ODNR_2,8/9/2021,20.00,1.41
ODNR_1,8/9/2021,17.75,1.06
EC_1163,8/9/2021,19.50,0.00
Buoy_2,8/9/2021,17.00,2.12
Bells,8/9/2021,4.75,0.35
ODNR_6_Integrated,8/9/2021,36.00,
ODNR_4_Integrated,8/9/2021,49.00,
ODNR_2_Integrated,8/9/2021,22.00,
ODNR_1_Integrated,8/9/2021,19.00,
Muddy_Creek,8/16/2021,69.75,1.06
ODNR_6,8/16/2021,30.75,0.35
ODNR_4,8/16/2021,64.75,0.35
Bridge,8/16/2021,32.00,0.71
ODNR_2,8/16/2021,29.25,0.35
ODNR_1,8/16/2021,20.75,1.06
EC_1163,8/16/2021,18.75,0.35
Buoy_2,8/16/2021,17.75,1.06
Bells,8/16/2021,6.25,1.06
Muddy_Creek,8/23/2021,43.50,0.71
ODNR_6,8/23/2021,25.75,1.06
ODNR_4,8/23/2021,28.25,0.35
Bridge,8/23/2021,24.25,1.06
ODNR_2,8/23/2021,16.75,1.06
ODNR_1,8/23/2021,14.75,0.35
EC_1163,8/23/2021,13.00,0.71
Buoy_2,8/23/2021,14.25,1.06
Bells,8/23/2021,5.75,1.06
ODNR_6_Integrated,8/23/2021,24.00,
ODNR_4_Integrated,8/23/2021,28.50,
ODNR_2_Integrated,8/23/2021,15.50,
ODNR_1_Integrated,8/23/2021,15.00,
Muddy_Creek,8/30/2021,51.50,2.12
ODNR_6,8/30/2021,44.50,1.41
ODNR_4,8/30/2021,33.00,0.00
Bridge,8/30/2021,41.25,1.06
ODNR_2,8/30/2021,21.50,0.71
ODNR_1,8/30/2021,16.00,1.41
EC_1163,8/30/2021,15.75,1.06
Buoy_2,8/30/2021,18.00,0.71
Muddy_Creek,9/7/2021,51.00,1.41
ODNR_6,9/7/2021,22.50,0.71
ODNR_4,9/7/2021,32.75,1.06
Bridge,9/7/2021,27.75,1.77
ODNR_2,9/7/2021,20.75,1.77
ODNR_1,9/7/2021,19.50,0.71
EC_1163,9/7/2021,17.25,0.35
Buoy_2,9/7/2021,18.25,1.06
Bells,9/7/2021,10.00,0.00
ODNR_6_Integrated,9/7/2021,22.00,
ODNR_4_Integrated,9/7/2021,30.50,
ODNR_2_Integrated,9/7/2021,20.50,
ODNR_1_Integrated,9/7/2021,16.00,
Muddy_Creek,9/13/2021,51.25,1.06
