Site,Date,Type,mc_elisa_final
Muddy Creek,4/26/2021,Total,0.4
Muddy Creek,4/26/2021,Dissolved,0.02
ODNR_2,4/26/2021,Total,0.04
ODNR_6,4/26/2021,Total,0.17
Bridge,4/26/2021,Total,0.06
Buoy_2,4/26/2021,Total,0.03
Buoy_2,4/26/2021,Dissolved,0.04
Muddy Creek,5/11/2021,Total,0.07
Muddy Creek,5/11/2021,Dissolved,0.04
ODNR_6,5/11/2021,Total,0.03
Bridge,5/11/2021,Total,0
ODNR_2,5/11/2021,Total,0.06
Buoy_2,5/11/2021,Total,0.04
Buoy_2,5/11/2021,Dissolved,0.03
Muddy Creek,5/24/2021,Total,0.06
Muddy Creek,5/24/2021,Dissolved,0.06
ODNR_6,5/24/2021,Total,0.13
Bridge,5/24/2021,Total,0.06
ODNR_2,5/24/2021,Total,0.07
Buoy_2,5/24/2021,Total,0
Buoy_2,5/24/2021,Dissolved,0
ODNR_6,6/7/2021,Total,0
ODNR_6,6/7/2021,Dissolved,0
Bridge,6/7/2021,Total,0
Bridge,6/7/2021,Dissolved,0
ODNR_2,6/7/2021,Total,0
ODNR_2,6/7/2021,Dissolved,0
ODNR_6,6/14/2021,Total,0
ODNR_6,6/14/2021,Dissolved,0
Bridge,6/14/2021,Total,0
Bridge,6/14/2021,Dissolved,0.06
ODNR_2,6/14/2021,Total,0
ODNR_2,6/14/2021,Dissolved,0
ODNR_6,6/21/2021,Total,0.12
Bridge,6/21/2021,Total,0.37
Bridge,6/21/2021,Dissolved,0.13
ODNR_6,6/28/2021,Total,0.66
ODNR_6,6/28/2021,Dissolved,0.08
Bridge,6/28/2021,Total,0.86
Bridge,6/28/2021,Dissolved,0.04
ODNR_2,6/28/2021,Total,0.29
ODNR_2,6/28/2021,Dissolved,0.03
ODNR_6,7/6/2021,Total,0.07
ODNR_6,7/6/2021,Dissolved,0.16
Bridge,7/6/2021,Total,0.18
Bridge,7/6/2021,Dissolved,0.91
ODNR_2,7/6/2021,Total,0.13
ODNR_2,7/6/2021,Dissolved,0.23
ODNR_6,7/12/2021,Total,
ODNR_6,7/12/2021,Dissolved,0.09
Bridge,7/12/2021,Total,0.06
Bridge,7/12/2021,Dissolved,0.22
ODNR_2,7/12/2021,Total,
ODNR_2,7/12/2021,Dissolved,
ODNR_6,7/19/2021,Total,0.08
ODNR_6,7/19/2021,Dissolved,0.03
Bridge,7/19/2021,Total,0.12
Bridge,7/19/2021,Dissolved,0.04
ODNR_2,7/19/2021,Total,0.25
ODNR_2,7/19/2021,Dissolved,0.06
ODNR_6,7/26/2021,Total,0.09
ODNR_6,7/26/2021,Dissolved,0.06
Bridge,7/26/2021,Total,0.05
Bridge,7/26/2021,Dissolved,0.18
ODNR_2,7/26/2021,Total,0.13
ODNR_2,7/26/2021,Dissolved,0.24
ODNR_6,8/2/2021,Total,0.23
ODNR_6,8/2/2021,Dissolved,0.05
Bridge,8/2/2021,Total,0.1
Bridge,8/2/2021,Dissolved,0.06
ODNR_2,8/2/2021,Total,0.16
ODNR_2,8/2/2021,Dissolved,0.08
ODNR_6,8/9/2021,Total,0.15
ODNR_6,8/9/2021,Dissolved,0.05
Bridge,8/9/2021,Total,0.11
Bridge,8/9/2021,Dissolved,0.07
ODNR_2,8/9/2021,Total,0.12
ODNR_2,8/9/2021,Dissolved,0.06
ODNR_6,8/16/2021,Total,0.11
ODNR_6,8/16/2021,Dissolved,0.07
Bridge,8/16/2021,Total,0.16
Bridge,8/16/2021,Dissolved,0
ODNR_2,8/16/2021,Total,0.12
ODNR_2,8/16/2021,Dissolved,0.03
ODNR_6,8/23/2021,Total,0.08
ODNR_6,8/23/2021,Dissolved,0
Bridge,8/23/2021,Total,0.06
Bridge,8/23/2021,Dissolved,0.02
ODNR_2,8/23/2021,Total,0.07
ODNR_2,8/23/2021,Dissolved,0.14
ODNR_6,8/30/2021,Total,0.09
ODNR_6,8/30/2021,Dissolved,0.05
Bridge,8/30/2021,Total,0.28
Bridge,8/30/2021,Dissolved,0.07
ODNR_2,8/30/2021,Total,0.12
ODNR_2,8/30/2021,Dissolved,0.04
ODNR_6,9/6/2021,Total,0.11
ODNR_6,9/6/2021,Dissolved,0.07
Bridge,9/6/2021,Total,0.16
Bridge,9/6/2021,Dissolved,0
ODNR_2,9/6/2021,Total,0.12
ODNR_2,9/6/2021,Dissolved,0.03
