Site,Date,time_on,Air_Temperature,Weather,Wave_Height,Site_Depth,Secchi,time_off,Water_Temperature,Dissolved_Oxygen,SPC,Conductivity,pH,pH_mV,Turbidity,pc_rfu,Phycocyanin,chl_rfu,Chlorophyll_Sonde
Muddy_Creek,6/6/2022,,,,,,,,,,,,,,,,,,
ODNR_4,6/6/2022,,,,,,,,,,,,,,,,,,
ODNR_6,6/6/2022,,,,,,,,,,,,,,,,,,
Bridge,6/6/2022,,,,,,,,,,,,,,,,,,
ODNR_2,6/6/2022,9:30,,cloudy/rain ,1.5,,30,,21.75,7.52,516,484.2,8.4,-91.4,29.14,0.88,0.87,5.08,18.24
Buoy_2,6/6/2022,,,cloudy/rain ,1.5,,40,,21.29,9,444.8,450.4,8.74,-110.7,28.66,1.01,1.06,5.83,25.26
ODNR_1,6/6/2022,,,cloudy/rain ,1.5,,30,,21.4,9.08,492.3,458.5,8.71,-109.2,27.04,1.04,1.11,6.73,25.53
EC_1163,6/6/2022,,,cloudy/rain ,1.5,,50,,20.72,9.19,374.1,343.4,8.71,-108.6,14.15,0.72,0.73,4.31,16.73
Bells,6/6/2022,,,cloudy/rain ,2.5,,100,11:30,19.92,9.14,296.6,267.8,5.85,-101.1,7.72,0.2,0.2,1.76,6.23
Muddy_Creek,6/13/2022,9:32,21.11,"Windy, partly cloudy",1,1.3,20,9:55,23.01,6.25,490.3,472,7.86,-61.2,27.34,0.87,0.87,6.25,26.07
ODNR_4,6/13/2022,10:05,22.47,"Windy, partly cloudy",1,1.7,30,10:35,22.73,7.67,483.9,463,8.3,-86.2,75.03,0.71,0.71,4.2,17.59
ODNR_4_sed,6/13/2022,,,,,,,,22.74,7.76,484.1,463.1,8.24,-82.2,70.62,0.74,0.74,3.92,19.08
ODNR_6,6/13/2022,10:39,21.01,"Windy, partly cloudy",1,2.4,40,10:57,23.25,11.75,502,485.3,8.84,-116.7,30.49,2.7,2.79,4.01,14.99
ODNR_6_sed,6/13/2022,,,,,,,,,,,,,,,,,,
Bridge,6/13/2022,11:03,23.08,"Windy, partly cloudy",1,3.8,40,11:01,23.46,9.11,508,490.6,8.55,-100.3,25.61,1.42,1.69,4.44,17.93
ODNR_2,6/13/2022,11:31,22.35,"Windy, partly cloudy",1,2.5,30,11:47,23.15,10.06,489.5,472.1,8.8,-114.4,30.97,1.62,1.55,3.23,13.09
ODNR_2_sed,6/13/2022,,,,,,,,23.1,9.89,490,472.1,8.69,-108.3,34.2,1.51,1.53,3.38,13
Buoy_2,6/13/2022,11:58,22.03,"Windy, partly cloudy",1,2.4,50,12:31,22.9,9.58,410.7,394.5,8.78,-113.6,21.63,1.66,1.61,2.44,10
ODNR_1,6/13/2022,12:36,23.15,"Windy, partly cloudy",1,3.2,40,12:56,23.11,10.94,418.9,404,8.91,-121,21.85,2.6,2.55,4.01,15.78
ODNR_1_sed,6/13/2022,,,,,,,,23.02,10.62,414.8,403.9,8.75,-111.8,40.13,1.9,1.92,3.88,16.18
EC_1163,6/13/2022,1:03,23.45,"Windy, partly cloudy",1,3.7,70,13:20,22.83,9.35,324,311.6,8.66,-106,16.11,0.37,0.36,2.66,9.01
Bells,6/13/2022,1:43,24.32,"Windy, partly cloudy",4,9.4,550,14:01,21.64,9.22,244.6,275.7,8.59,-102.2,2.32,0.03,0.02,0.41,1.71
Muddy_Creek,6/21/2022,10:06,26,Sunny and calm,0,0.7,20,10:28,22.99,5.78,372.5,358.5,7.83,-59.4,259.94,1.02,1.02,3.56,14.26
ODNR_4,6/21/2022,10:34,28,Sunny and calm,0,1.2,20,10:55,22.52,8.2,387.2,368.3,8.26,-84.3,290.02,1.89,1.92,10.02,36.02
ODNR_4_sed,6/21/2022,,,,,,,,22.73,8.64,384.6,367.2,8.34,-87.9,100.64,1.5,1.5,9.95,36.88
ODNR_6,6/21/2022,11:09,28,Sunny and calm,0,1.9,40,11:28,22.85,9.86,478.8,458.7,8.8,-114.1,32.98,1.38,1.4,7.36,25.75
ODNR_4_sed,6/21/2022,,,,,,,,22.17,8.38,483.3,457.2,8.68,-107.2,89.73,1.28,1.29,6.78,31.4
Bridge,6/21/2022,11:38,29,Sunny and calm,0,3.4,50,11:50,23.12,9.4,492.1,475,8.74,-111.6,36.45,3.04,3.04,3.19,12.75
ODNR_2,6/21/2022,12:33,30,Sunny and calm,0,2,40,12:53,23.71,10.88,481.3,468.4,8.89,-120.1,30.78,3.79,3.99,3.21,12.11
ODNR_2_sed,6/21/2022,,,,,,,,23.22,9.98,482.6,466.5,8.82,-115.1,30.72,1.79,1.74,3.11,12.36
Buoy_2,6/21/2022,1:30,32,Sunny and calm,0,2.2,70,13:48,22.91,12.63,513,491.2,8.93,-120.9,17.34,1.85,1.82,2.88,12.29
ODNR_1,6/21/2022,1:55,32,Sunny and calm,0,2.5,60,14:15,23.77,11.93,477.9,465.8,9,-126.9,17.88,1.96,1.96,2.03,11.22
ODNR_1_sed,6/21/2022,,,,,,,,22.25,9,472.9,446.5,8.66,-106.7,23.21,0.58,0.57,2.89,11.49
EC_1163,6/21/2022,2:19,32,Sunny and calm,0,3.3,80,14:35,23.54,10.99,388.5,377.3,8.95,-123,12.9,0.8,0.8,2.15,9.68
Bells,6/21/2022,2:49,30,Sunny and calm,0,9.1,,15:05,22.93,9.76,290.5,277.5,8.78,-113.5,5.95,0.11,0.12,1.59,8.68
Muddy_Creek,6/27/2022,9:32,19,Sunny and windy,1,1.2,20,9:50,24.17,8.46,393,386.8,8.96,-124.2,57.18,1.86,1.87,11.69,43.29
ODNR_4,6/27/2022,10:00,21,Sunny and windy,1,1.9,20,10:21,24.31,8.06,392.9,387.7,8.84,-117.7,39.42,1.76,1.74,6.45,26.69
ODNR_4_sed,6/27/2022,,,,,,,,24.32,8.02,392.9,387.8,8.82,-116.6,45.26,1.54,1.57,7.13,29.39
ODNR_6,6/27/2022,10:31,21,Sunny and windy,1,2.4,40,10:47,23.94,8.85,444.9,436,8.69,-108.8,34.78,3.14,3.22,5.99,22.42
ODNR_6_sed,6/27/2022,,,,,,,,23.94,8.72,442.1,433.4,8.68,-108.3,34.01,2.86,2.84,6.06,24.09
Bridge,6/27/2022,10:56,21,Sunny and windy,1,3.9,40,11:02,24.34,8.22,476.6,470.7,8.48,-96.5,39.41,2.24,2.29,2.88,12.75
ODNR_2,6/27/2022,11:17,22,Sunny and windy,1,2.6,30,11:33,24.36,9.8,451.3,445.7,8.84,-117.5,32,3.82,3.71,2.47,10.51
ODNR_2_sed,6/27/2022,,,,,,,,24.26,9.13,452,445.6,8.78,-114,41.45,2.44,2.54,2.81,11.08
Buoy_2,6/27/2022,11:43,22,Sunny and windy,1,2.9,60,11:59,24.2,7.62,442.1,435.4,8.35,-88.9,17.28,0.97,1,2.04,7.9
ODNR_1,6/27/2022,12:05,21,Sunny and windy,1,3.2,70,12:22,23.95,8.54,408.5,400.3,8.59,-103,15.09,0.77,0.77,2.07,8.92
ODNR_1_sed,6/27/2022,,,,,,,,23.78,7.81,412.7,403,8.39,-91.4,18.16,0.66,0.72,2.8,9.81
EC_1163,6/27/2022,12:05,22,Sunny and windy,1,3.3,90,12:49,23.34,9.37,350,338,8.8,-114.4,14.3,1.01,1,4.9,15
Bells,6/27/2022,,,,,,,,,,,,,,,,,,
Muddy_Creek,7/5/2022,9:35,21,Cloudy and windy,1,1.1,20,9:53,25.62,8.84,447.9,448.3,8.85,-118.3,61.52,3.24,3.28,18.81,77.86
ODNR_4,7/5/2022,9:56,21,Cloudy and windy,1,1.5,30,10:35,24.54,7.5,376.2,372.9,8.88,-119.8,32.26,2.81,2.81,9.77,38.33
ODNR_4_sed,7/5/2022,,,,,,,,24.55,7.45,375.4,372.7,8.87,-119.2,34.1,2.75,2.78,10,46.14
ODNR_6,7/5/2022,10:47,22,Cloudy and windy,1,2,30,11:05,24.77,8.38,420.6,418.8,8.66,-107.3,36,3.75,3.24,5.58,22.46
ODNR_6_sed,7/5/2022,,,,,,,,24.77,8.35,421.3,419.5,8.6,-103.7,37.55,2.83,3.09,5.41,21.89
Bridge,7/5/2022,11:14,22,Cloudy and windy,2,3.7,30,11:25,25.2,7.83,430.9,432.6,8.28,-85.6,48.04,4.47,4.53,6.41,25.33
ODNR_2,7/5/2022,11:35,23,Cloudy and windy,1,2.4,30,11:46,25.05,7.15,443.3,443.7,8.41,-92.7,30.78,1.96,1.97,5.67,22.88
