date,site,rep,AlgalClass,Concentration
6/6/2022,Bells,A,GreenAlgae_avg,2.4985
6/6/2022,Bells,A,Bluegreen_avg,0.6725
6/6/2022,Bells,A,Diatom_avg,4.2065
6/6/2022,Bells,A,Cryptophyta_avg,0.2135
6/6/2022,Bells,A,YellowSubstances_avg,1.113
6/6/2022,Bells,A,Total_avg,7.591
6/6/2022,Bells,B,GreenAlgae_avg,1.9775
6/6/2022,Bells,B,Bluegreen_avg,0.939
6/6/2022,Bells,B,Diatom_avg,3.1045
6/6/2022,Bells,B,Cryptophyta_avg,0.292
6/6/2022,Bells,B,YellowSubstances_avg,1.024
6/6/2022,Bells,B,Total_avg,6.3115
6/6/2022,Bells,C,GreenAlgae_avg,3.21
6/6/2022,Bells,C,Bluegreen_avg,0.453
6/6/2022,Bells,C,Diatom_avg,5.501
6/6/2022,Bells,C,Cryptophyta_avg,0.8445
6/6/2022,Bells,C,YellowSubstances_avg,1.0645
6/6/2022,Bells,C,Total_avg,10.0075
6/6/2022,Buoy_2,A,GreenAlgae_avg,17.48
6/6/2022,Buoy_2,A,Bluegreen_avg,10.4975
6/6/2022,Buoy_2,A,Diatom_avg,15.0415
6/6/2022,Buoy_2,A,Cryptophyta_avg,1.3535
6/6/2022,Buoy_2,A,YellowSubstances_avg,3.265
6/6/2022,Buoy_2,A,Total_avg,44.373
6/6/2022,Buoy_2,B,GreenAlgae_avg,15.7835
6/6/2022,Buoy_2,B,Bluegreen_avg,7.8205
6/6/2022,Buoy_2,B,Diatom_avg,13.4135
6/6/2022,Buoy_2,B,Cryptophyta_avg,0.768
6/6/2022,Buoy_2,B,YellowSubstances_avg,2.7185
6/6/2022,Buoy_2,B,Total_avg,37.785
6/6/2022,Buoy_2,C,GreenAlgae_avg,16.4365
6/6/2022,Buoy_2,C,Bluegreen_avg,6.16
6/6/2022,Buoy_2,C,Diatom_avg,15.8945
6/6/2022,Buoy_2,C,Cryptophyta_avg,0.4155
6/6/2022,Buoy_2,C,YellowSubstances_avg,2.642
6/6/2022,Buoy_2,C,Total_avg,38.9095
6/6/2022,EC_1163,A,GreenAlgae_avg,7.5205
6/6/2022,EC_1163,A,Bluegreen_avg,6.591
6/6/2022,EC_1163,A,Diatom_avg,7.12
6/6/2022,EC_1163,A,Cryptophyta_avg,0.3015
6/6/2022,EC_1163,A,YellowSubstances_avg,2.1585
6/6/2022,EC_1163,A,Total_avg,21.5325
6/6/2022,EC_1163,B,GreenAlgae_avg,9.117
6/6/2022,EC_1163,B,Bluegreen_avg,5.9345
6/6/2022,EC_1163,B,Diatom_avg,9.872
6/6/2022,EC_1163,B,Cryptophyta_avg,0.246
6/6/2022,EC_1163,B,YellowSubstances_avg,2.047
6/6/2022,EC_1163,B,Total_avg,25.1685
6/6/2022,EC_1163,C,GreenAlgae_avg,10.405
6/6/2022,EC_1163,C,Bluegreen_avg,5.521
6/6/2022,EC_1163,C,Diatom_avg,15.981
6/6/2022,EC_1163,C,Cryptophyta_avg,0.016
6/6/2022,EC_1163,C,YellowSubstances_avg,2.031
6/6/2022,EC_1163,C,Total_avg,31.9225
6/6/2022,ODNR_1,A,GreenAlgae_avg,19.14
6/6/2022,ODNR_1,A,Bluegreen_avg,6.9705
6/6/2022,ODNR_1,A,Diatom_avg,20.0955
6/6/2022,ODNR_1,A,Cryptophyta_avg,0
6/6/2022,ODNR_1,A,YellowSubstances_avg,3.0665
6/6/2022,ODNR_1,A,Total_avg,46.205
6/6/2022,ODNR_1,B,GreenAlgae_avg,19.181
6/6/2022,ODNR_1,B,Bluegreen_avg,6.778
6/6/2022,ODNR_1,B,Diatom_avg,19.577
6/6/2022,ODNR_1,B,Cryptophyta_avg,0
6/6/2022,ODNR_1,B,YellowSubstances_avg,3.025
6/6/2022,ODNR_1,B,Total_avg,45.5375
6/6/2022,ODNR_1,C,GreenAlgae_avg,16.668
6/6/2022,ODNR_1,C,Bluegreen_avg,7.8115
6/6/2022,ODNR_1,C,Diatom_avg,15.7425
6/6/2022,ODNR_1,C,Cryptophyta_avg,0
