"site","date","doy","rep","Depth","LightValue","Light_0"
"ODNR_2",2022-06-06,157,"avg",0,364.7,364.7
"ODNR_2",2022-06-06,157,"avg",0.5,42.25,364.7
"ODNR_2",2022-06-06,157,"avg",1,7.57,364.7
"ODNR_2",2022-06-06,157,"avg",1.5,1.32,364.7
"ODNR_2",2022-06-06,157,"avg",2,0.215,364.7
"Buoy_2",2022-06-06,157,"avg",0,183.48,183.48
"Buoy_2",2022-06-06,157,"avg",0.5,26.695,183.48
"Buoy_2",2022-06-06,157,"avg",1,5.065,183.48
"Buoy_2",2022-06-06,157,"avg",1.5,0.92,183.48
"Buoy_2",2022-06-06,157,"avg",2,0.23,183.48
"ODNR_1",2022-06-06,157,"avg",0,282.8,282.8
"ODNR_1",2022-06-06,157,"avg",0.5,35.125,282.8
"ODNR_1",2022-06-06,157,"avg",1,5.89,282.8
"ODNR_1",2022-06-06,157,"avg",1.5,1.28,282.8
"ODNR_1",2022-06-06,157,"avg",2,0.26,282.8
"EC_1163",2022-06-06,157,"avg",0,294.15,294.15
"EC_1163",2022-06-06,157,"avg",0.5,74.02,294.15
"EC_1163",2022-06-06,157,"avg",1,23.11,294.15
"EC_1163",2022-06-06,157,"avg",1.5,8.44,294.15
"EC_1163",2022-06-06,157,"avg",2,3.345,294.15
"EC_1163",2022-06-06,157,"avg",2.5,1.62,294.15
"EC_1163",2022-06-06,157,"avg",3,0.54,294.15
"Bells",2022-06-06,157,"avg",0,379.45,379.45
"Bells",2022-06-06,157,"avg",0.5,166.84,379.45
"Bells",2022-06-06,157,"avg",1,96.56,379.45
"Bells",2022-06-06,157,"avg",1.5,59.65,379.45
"Bells",2022-06-06,157,"avg",2,35.435,379.45
"Bells",2022-06-06,157,"avg",2.5,21.2,379.45
"Bells",2022-06-06,157,"avg",3,9.84,379.45
"Bells",2022-06-06,157,"avg",3.5,6.655,379.45
"Bells",2022-06-06,157,"avg",4,2.88,379.45
"Bells",2022-06-06,157,"avg",5,1.34,379.45
"Bells",2022-06-06,157,"avg",6,0.52,379.45
"Muddy Creek",2022-06-13,164,"avg",0,1270.6,1270.6
"Muddy Creek",2022-06-13,164,"avg",0.5,7.405,1270.6
"Muddy Creek",2022-06-13,164,"avg",1,0.72,1270.6
"ODNR_4",2022-06-13,164,"avg",0,1749.4,1749.4
"ODNR_4",2022-06-13,164,"avg",0.5,40.53,1749.4
"ODNR_4",2022-06-13,164,"avg",1,1.59,1749.4
"ODNR_4",2022-06-13,164,"avg",1.5,0.125,1749.4
"ODNR_6",2022-06-13,164,"avg",0,1649.45,1649.45
"ODNR_6",2022-06-13,164,"avg",0.5,93.36,1649.45
"ODNR_6",2022-06-13,164,"avg",1,3.81,1649.45
"ODNR_6",2022-06-13,164,"avg",1.5,1.885,1649.45
"ODNR_6",2022-06-13,164,"avg",2,0.88,1649.45
"ODNR_2",2022-06-13,164,"avg",0,212.71,212.71
"ODNR_2",2022-06-13,164,"avg",0.5,10.26,212.71
"ODNR_2",2022-06-13,164,"avg",1,2.95,212.71
"ODNR_2",2022-06-13,164,"avg",1.5,5.36,212.71
"Buoy_2",2022-06-13,164,"avg",0,2119,2119
"Buoy_2",2022-06-13,164,"avg",0.5,495.2,2119
"Buoy_2",2022-06-13,164,"avg",1,118.66,2119
"Buoy_2",2022-06-13,164,"avg",1.5,40.71,2119
"Buoy_2",2022-06-13,164,"avg",2,8.89,2119
"Buoy_2",2022-06-13,164,"avg",2.5,2.795,2119
"Buoy_2",2022-06-13,164,"avg",3,0.52,2119
"ODNR_1",2022-06-13,164,"avg",0,2055,2055
"ODNR_1",2022-06-13,164,"avg",0.5,35.055,2055
"ODNR_1",2022-06-13,164,"avg",1,12.49,2055
"ODNR_1",2022-06-13,164,"avg",1.5,6.855,2055
"ODNR_1",2022-06-13,164,"avg",2,2.215,2055
"ODNR_1",2022-06-13,164,"avg",2.5,0.93,2055
"EC_1163",2022-06-13,164,"avg",0,2084,2084
"EC_1163",2022-06-13,164,"avg",0.5,113.02,2084
"EC_1163",2022-06-13,164,"avg",1,64.13,2084
"EC_1163",2022-06-13,164,"avg",1.5,29.7,2084
"EC_1163",2022-06-13,164,"avg",2,17.655,2084
"EC_1163",2022-06-13,164,"avg",2.5,8.885,2084
"EC_1163",2022-06-13,164,"avg",3,4.465,2084
"EC_1163",2022-06-13,164,"avg",3.5,1.895,2084
"EC_1163",2022-06-13,164,"avg",4,0.585,2084
"Bells",2022-06-13,164,"avg",0,2112,2112
"Bells",2022-06-13,164,"avg",0.5,254.9,2112
"Bells",2022-06-13,164,"avg",1,178.02,2112
"Bells",2022-06-13,164,"avg",1.5,153.595,2112
