KorEXO MEASUREMENT DATA FILE EXPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILE CREATED:,7/25/2022 22:21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.21,0.79,2.5,2.7,99.8,99.8,8.61,0,2.7,0.55,0.54,2,25.04,0,1.199,NA,-65,22.662,0,0,0,0,12.2,741.9
,,,STANDARD DEVIATION:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,15B101563,15B101563,19D104366,19D104366,17C105036,17C105036,17C105036,19D104366,19D104366,15B101563,15B101563,19D104366,15D102653,15D102653,15D102606,17C104424,17C104424,19D104366,19G101790,19G101790,19G101790,19G101790,19G101790,19G101790
Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Sal psu,SpCond µS/cm,TAL PC RFU,TAL PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp °C,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
5/31/2022,8:52:19,0,Sandusky_1_MuddyCreek,0.21,0.79,2.5,2.7,99.8,99.8,8.61,0,2.7,0.55,0.54,2,25.04,0,1.199,7.93,-65,22.662,0,0,0,0,12.2,741.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MEAN VALUE:,0.72,2.85,1121.2,1190.7,99.9,99.9,8.67,0.59,1184.5,0.82,0.82,770,82.28,0,1.199,NA,-96.8,22.203,0,0,0,0,12.2,738.6
,,,STANDARD DEVIATION:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SENSOR SERIAL NUMBER:,15B101563,15B101563,19D104366,19D104366,17C105036,17C105036,17C105036,19D104366,19D104366,15B101563,15B101563,19D104366,15D102653,15D102653,15D102606,17C104424,17C104424,19D104366,19G101790,19G101790,19G101790,19G101790,19G101790,19G101790
