site,date,Year,TSS,STDEV
Muddy_Creek,6/6/2022,2022,,
ODNR_6,6/6/2022,2022,,
ODNR_4,6/6/2022,2022,,
Bridge,6/6/2022,2022,,
ODNR_2,6/6/2022,2022,35.25,0.35
ODNR_1,6/6/2022,2022,32.75,0.35
EC_1163,6/6/2022,2022,17,0.71
Buoy_2,6/6/2022,2022,31.5,1.41
Bells,6/6/2022,2022,6.5,0.71
Muddy_Creek,6/13/2022,2022,69,2.12
ODNR_6,6/13/2022,2022,32.5,1.41
ODNR_4,6/13/2022,2022,64.25,1.06
Bridge,6/13/2022,2022,26.25,0.35
ODNR_2,6/13/2022,2022,31.25,0.35
ODNR_1,6/13/2022,2022,25.5,0.71
EC_1163,6/13/2022,2022,13,1.41
Buoy_2,6/13/2022,2022,23,0.71
Bells,6/13/2022,2022,3.25,1.06
Muddy_Creek,6/21/2022,2022,83,1.41
ODNR_6,6/21/2022,2022,25,1.41
ODNR_4,6/21/2022,2022,72.75,3.18
Bridge,6/21/2022,2022,24.75,1.06
ODNR_2,6/21/2022,2022,21.5,2.83
ODNR_1,6/21/2022,2022,14.75,3.18
EC_1163,6/21/2022,2022,8.5,0.71
Buoy_2,6/21/2022,2022,18.5,0.71
Bells,6/21/2022,2022,2.5,2.12
Muddy_Creek,6/27/2022,2022,60.25,5.3
ODNR_6,6/27/2022,2022,33.25,1.06
ODNR_4,6/27/2022,2022,37,0.71
Bridge,6/27/2022,2022,36.75,1.06
ODNR_2,6/27/2022,2022,28.5,3.54
ODNR_1,6/27/2022,2022,15.75,1.06
EC_1163,6/27/2022,2022,13.5,2.12
Buoy_2,6/27/2022,2022,17.5,2.12
Bells,6/27/2022,2022,,
Muddy_Creek,7/5/2022,2022,64,0.71
ODNR_6,7/5/2022,2022,41,3.54
ODNR_4,7/5/2022,2022,33.75,2.47
Bridge,7/5/2022,2022,54,0.71
ODNR_2,7/5/2022,2022,37,0
ODNR_1,7/5/2022,2022,36,2.83
EC_1163,7/5/2022,2022,31.5,2.83
Buoy_2,7/5/2022,2022,23.5,3.54
Bells,7/5/2022,2022,,
Muddy_Creek,7/11/2022,2022,137,0
ODNR_6,7/11/2022,2022,27.25,1.77
ODNR_4,7/11/2022,2022,47.25,0.35
Bridge,7/11/2022,2022,38.5,1.41
ODNR_2,7/11/2022,2022,25.75,1.77
ODNR_1,7/11/2022,2022,19.75,1.06
EC_1163,7/11/2022,2022,22,1.41
Buoy_2,7/11/2022,2022,18.25,1.77
Bells,7/11/2022,2022,9.5,2.83
Muddy_Creek,7/18/2022,2022,162.75,3.18
ODNR_6,7/18/2022,2022,31,0
ODNR_4,7/18/2022,2022,41.5,0.71
Bridge,7/18/2022,2022,33.75,2.47
ODNR_2,7/18/2022,2022,23,0
ODNR_1,7/18/2022,2022,13.25,1.06
EC_1163,7/18/2022,2022,14.5,0.71
Buoy_2,7/18/2022,2022,15.75,0.35
Bells,7/18/2022,2022,3.25,1.77
Causeway,7/18/2022,2022,14.75,1.77
Muddy_Creek,7/25/2022,2022,61.5,0.71
ODNR_6,7/25/2022,2022,37.75,1.06
ODNR_4,7/25/2022,2022,46.75,1.06
Bridge,7/25/2022,2022,26.25,0.35
ODNR_2,7/25/2022,2022,13.75,1.06
ODNR_1,7/25/2022,2022,16.75,0.35
EC_1163,7/25/2022,2022,15.75,0.35
Buoy_2,7/25/2022,2022,14,0.71
