 ,site,rep,vol_filtered,date_extracted,vol_extracted,chl_concentration,dilution_factor,fInal_chl,average,notes
06/03/2025,Muddy Creek,1,10,06/06/2025,10,174.51,0,174.51,191.03,
06/03/2025,Muddy Creek,2,10,06/06/2025,10,178.52,0,178.52,,
06/03/2025,Muddy Creek,3,10,06/06/2025,10,220.06,0,220.06,,
06/03/2025,ODNR_4,1,10,06/06/2025,10,186.06,0,186.06,189.00,
06/03/2025,ODNR_4,2,10,06/06/2025,10,202.24,0,202.24,,
06/03/2025,ODNR_4,3,10,06/06/2025,10,178.71,0,178.71,,
06/03/2025,ODNR_6,1,10,06/06/2025,10,145,0,145.00,147.85,
06/03/2025,ODNR_6,2,10,06/06/2025,10,135.85,0,135.85,,
06/03/2025,ODNR_6,3,10,06/06/2025,10,162.69,0,162.69,,
06/03/2025,Bridge,1,10,06/06/2025,10,81.87,0,81.87,87.74,
06/03/2025,Bridge,2,10,06/06/2025,10,92.14,0,92.14,,
06/03/2025,Bridge,3,10,06/06/2025,10,89.2,0,89.20,,
06/03/2025,ODNR_2,1,10,06/06/2025,10,49.24,0,49.24,49.97,
06/03/2025,ODNR_2,2,10,06/06/2025,10,48.45,0,48.45,,
06/03/2025,ODNR_2,3,10,06/06/2025,10,52.21,0,52.21,,
06/03/2025,Buoy_2,1,10,06/06/2025,10,39.62,0,39.62,52.19,
06/03/2025,Buoy_2,2,10,06/06/2025,10,61.13,0,61.13,,
06/03/2025,Buoy_2,3,10,06/06/2025,10,55.83,0,55.83,,
06/03/2025,ODNR_1,1,10,06/06/2025,10,49.88,0,49.88,52.14,
06/03/2025,ODNR_1,2,10,06/06/2025,10,55.07,0,55.07,,
06/03/2025,ODNR_1,3,10,06/06/2025,10,51.47,0,51.47,,
06/03/2025,EC_1163,1,10,06/06/2025,10,74.23,0,74.23,74.03,
06/03/2025,EC_1163,2,10,06/06/2025,10,70.48,0,70.48,,
06/03/2025,EC_1163,3,10,06/06/2025,10,77.39,0,77.39,,
06/03/2025,Causeway,1,10,06/06/2025,10,44.33,0,44.33,42.49,
06/03/2025,Causeway,2,10,06/06/2025,10,40.64,0,40.64,,
06/03/2025,Causeway,3,10,06/06/2025,10,NA,NA,NA,NA,spilled
06/03/2025,Bells,1,10,06/06/2025,10,37.58,0,37.58,37.05,
06/03/2025,Bells,2,10,06/06/2025,10,37.32,0,37.32,,
06/03/2025,Bells,3,10,06/06/2025,10,36.24,0,36.24,,
06/10/2025,Muddy Creek,1,10,06/12/2025,10,100.81,0,100.81,113.95,
06/10/2025,Muddy Creek,2,10,06/12/2025,10,114.16,0,114.16,,
06/10/2025,Muddy Creek,3,10,06/12/2025,10,126.87,0,126.87,,
06/10/2025,ODNR_4,1,10,06/12/2025,10,56.95,0,56.95,53.21,
06/10/2025,ODNR_4,2,10,06/12/2025,10,47.88,0,47.88,,
06/10/2025,ODNR_4,3,10,06/12/2025,10,54.81,0,54.81,,
06/10/2025,ODNR_6,1,10,06/12/2025,10,83.85,0,83.85,75.15,
06/10/2025,ODNR_6,2,10,06/12/2025,10,77.33,0,77.33,,
06/10/2025,ODNR_6,3,10,06/12/2025,10,64.27,0,64.27,,
06/10/2025,Bridge,1,10,06/12/2025,10,92.22,0,92.22,88.31,
06/10/2025,Bridge,2,10,06/12/2025,10,88.36,0,88.36,,
06/10/2025,Bridge,3,10,06/12/2025,10,84.34,0,84.34,,
06/10/2025,ODNR_2,1,10,06/12/2025,10,26.46,0,26.46,23.28,
06/10/2025,ODNR_2,2,10,06/12/2025,10,17.05,0,17.05,,
06/10/2025,ODNR_2,3,10,06/12/2025,10,26.34,0,26.34,,
06/10/2025,Buoy_2,1,10,06/12/2025,10,27.83,0,27.83,26.53,
06/10/2025,Buoy_2,2,10,06/12/2025,10,25.9,0,25.90,,
06/10/2025,Buoy_2,3,10,06/12/2025,10,25.86,0,25.86,,
06/10/2025,ODNR_1,1,10,06/12/2025,10,24.6,0,24.60,27.13,
06/10/2025,ODNR_1,2,10,06/12/2025,10,27.35,0,27.35,,
06/10/2025,ODNR_1,3,10,06/12/2025,10,29.44,0,29.44,,
06/10/2025,EC_1163,1,10,06/12/2025,10,30.56,0,30.56,32.16,
06/10/2025,EC_1163,2,10,06/12/2025,10,33.52,0,33.52,,
06/10/2025,EC_1163,3,10,06/12/2025,10,32.41,0,32.41,,
06/10/2025,Causeway,1,10,06/12/2025,10,46.07,0,46.07,44.15,
06/10/2025,Causeway,2,10,06/12/2025,10,43.19,0,43.19,,
06/10/2025,Causeway,3,10,06/12/2025,10,43.2,0,43.20,,
06/10/2025,Bells,1,10,,10,NA,0,,0,did not sample/extract
06/10/2025,Bells,2,10,,10,NA,0,,,did not sample/extract
06/10/2025,Bells,3,10,,10,NA,0,,,did not sample/extract
06/17/2025,Muddy Creek,1,10,06/19/2025,10,173.13,0,173.13,163.26,
06/17/2025,Muddy Creek,2,10,06/19/2025,10,166.7,0,166.70,,
06/17/2025,Muddy Creek,3,10,06/19/2025,10,149.96,0,149.96,,
06/17/2025,ODNR_4,1,10,06/19/2025,10,68.65,0,68.65,69.63,
06/17/2025,ODNR_4,2,10,06/19/2025,10,72.48,0,72.48,,
06/17/2025,ODNR_4,3,10,06/19/2025,10,67.77,0,67.77,,
06/17/2025,ODNR_6,1,10,06/19/2025,10,89.78,0,89.78,88.33,
06/17/2025,ODNR_6,2,10,06/19/2025,10,87.14,0,87.14,,
06/17/2025,ODNR_6,3,10,06/19/2025,10,88.08,0,88.08,,
06/17/2025,Bridge,1,10,06/19/2025,10,67.12,0,67.12,63.71,
06/17/2025,Bridge,2,10,06/19/2025,10,64.59,0,64.59,,
06/17/2025,Bridge,3,10,06/19/2025,10,59.42,0,59.42,,
06/17/2025,ODNR_2,1,10,06/19/2025,10,39.72,0,39.72,39.32,
06/17/2025,ODNR_2,2,10,06/19/2025,10,39.77,0,39.77,,
06/17/2025,ODNR_2,3,10,06/19/2025,10,38.48,0,38.48,,
06/17/2025,Buoy_2,1,10,06/19/2025,10,24.35,0,24.35,27.56,
06/17/2025,Buoy_2,2,10,06/19/2025,10,25.39,0,25.39,,
06/17/2025,Buoy_2,3,10,06/19/2025,10,32.95,0,32.95,,
06/17/2025,ODNR_1,1,10,06/19/2025,10,28.05,0,28.05,27.51,
06/17/2025,ODNR_1,2,10,06/19/2025,10,29.18,0,29.18,,
06/17/2025,ODNR_1,3,10,06/19/2025,10,25.29,0,25.29,,
06/17/2025,EC_1163,1,10,06/19/2025,10,26.49,0,26.49,24.46,
06/17/2025,EC_1163,2,10,06/19/2025,10,27.01,0,27.01,,
06/17/2025,EC_1163,3,10,06/19/2025,10,19.87,0,19.87,,
06/17/2025,Causeway,1,10,06/19/2025,10,61.67,0,61.67,60.45,
06/17/2025,Causeway,2,10,06/19/2025,10,57.74,0,57.74,,
06/17/2025,Causeway,3,10,06/19/2025,10,61.95,0,61.95,,
06/17/2025,Bells,1,10,06/19/2025,10,2.91,0,2.91,4.06,
06/17/2025,Bells,2,10,06/19/2025,10,5.21,0,5.21,,
06/17/2025,Bells,3,10,06/19/2025,10,4.06,0,4.06,,
06/24/2025,Muddy Creek,1,10,06/26/2025,10,39.48,0,39.48,48.14,
06/24/2025,Muddy Creek,2,10,06/26/2025,10,43.21,0,43.21,,
06/24/2025,Muddy Creek,3,10,06/26/2025,10,61.74,0,61.74,,
06/24/2025,ODNR_4,1,10,06/26/2025,10,46.83,0,46.83,48.19,
06/24/2025,ODNR_4,2,10,06/26/2025,10,49.22,0,49.22,,
06/24/2025,ODNR_4,3,10,06/26/2025,10,48.51,0,48.51,,
06/24/2025,ODNR_6,1,10,06/26/2025,10,89.53,0,89.53,89.78,
06/24/2025,ODNR_6,2,10,06/26/2025,10,96.72,0,96.72,,
06/24/2025,ODNR_6,3,10,06/26/2025,10,83.1,0,83.10,,
06/24/2025,Bridge,1,10,06/26/2025,10,65.59,0,65.59,68.02,
06/24/2025,Bridge,2,10,06/26/2025,10,68.23,0,68.23,,
06/24/2025,Bridge,3,10,06/26/2025,10,70.23,0,70.23,,
06/24/2025,ODNR_2,1,10,06/26/2025,10,72.6,0,72.60,70.97,
