site,date,doy,replicate,0,0.5,1,1.5,2,2.5,3,3.5,4,5.0,6,notes
Muddy Creek,06/03/2025,154,1,789.00,76.01,6.88,,,,,,,,,
Muddy Creek,06/03/2025,154,2,1142.00,69.11,8.02,,,,,,,,,
Muddy Creek,06/03/2025,154,avg,965.50,72.56,7.45,,,,,,,,,
ODNR_4,06/03/2025,154,1,1165.00,101.00,6.59,1.10,,,,,,,,
ODNR_4,06/03/2025,154,2,1033.00,79.04,8.61,0.80,,,,,,,,
ODNR_4,06/03/2025,154,avg,1099.00,90.02,7.60,0.95,,,,,,,,
ODNR_6,06/03/2025,154,1,844.00,207.00,32.41,6.32,0.12,,,,,,,
ODNR_6,06/03/2025,154,2,941.00,161.00,23.38,4.48,0.92,,,,,,,
ODNR_6,06/03/2025,154,avg,892.50,184.00,27.90,5.40,0.52,,,,,,,
ODNR_2,06/03/2025,154,1,973.00,171.00,37.90,4.97,1.33,,,,,,,
ODNR_2,06/03/2025,154,2,517.00,110.00,20.53,4.84,1.37,,,,,,,
ODNR_2,06/03/2025,154,avg,745.00,140.50,29.22,4.91,1.35,,,,,,,
Buoy_2,06/03/2025,154,1,1611.00,319.50,73.12,21.75,5.85,1.56,,,,,,
Buoy_2,06/03/2025,154,2,1155.00,242.00,71.65,13.78,5.48,1.55,,,,,,
Buoy_2,06/03/2025,154,avg,1383.00,280.75,72.39,17.77,5.67,1.56,,,,,,
ODNR_1,06/03/2025,154,1,1500.00,327.90,84.78,25.19,14.08,2.49,,,,,,
ODNR_1,06/03/2025,154,2,1487.00,356.50,81.20,24.48,5.63,1.37,,,,,,
ODNR_1,06/03/2025,154,avg,1493.50,342.20,82.99,24.84,9.86,1.93,,,,,,
EC_1163,06/03/2025,154,1,1397.00,476.60,106.90,53.63,11.03,4.67,2.45,,,,,
EC_1163,06/03/2025,154,2,1326.00,457.80,149.40,57.21,13.35,3.37,1.99,,,,,
EC_1163,06/03/2025,154,avg,1361.50,467.20,128.15,55.42,12.19,4.02,2.22,,,,,
Causeway,06/03/2025,154,1,857.00,461.00,108.95,,,,,,,,,
Causeway,06/03/2025,154,2,1315.00,482.30,191.60,,,,,,,,,
Causeway,06/03/2025,154,avg,1086.00,471.65,150.28,,,,,,,,,
Bells,06/03/2025,154,1,1321.00,885.10,324.20,153.60,55.65,33.16,21.40,13.32,7.07,3.25,1.31,
Bells,06/03/2025,154,2,1460.00,565.10,250.50,99.94,62.55,34.28,24.25,10.45,4.31,2.31,1.11,
Bells,06/03/2025,154,avg,1390.50,725.10,287.35,126.77,59.10,33.72,22.83,11.89,5.69,2.78,1.21,
Muddy_Creek,06/10/2025,161,1,2477.00,31.16,0.30,,,,,,,,,
Muddy_Creek,06/10/2025,161,2,1789.00,66.14,4.09,,,,,,,,,
ODNR_4,06/10/2025,161,1,1318.50,132.00,12.66,0.68,,,,,,,,
ODNR_4,06/10/2025,161,2,1296.00,132.00,9.73,0.61,,,,,,,,
ODNR_6,06/10/2025,161,1,1838.00,325.00,9.78,1.04,0.08,,,,,,,
ODNR_6,06/10/2025,161,2,1962.00,27.16,5.34,0.58,0.06,,,,,,,
ODNR_2,06/10/2025,161,1,1882.00,439.00,137.10,48.99,9.09,,,,,,,
ODNR_2,06/10/2025,161,2,1763.50,397.60,105.40,41.41,7.71,,,,,,,
Buoy_2,06/10/2025,161,1,870.20,531.80,198.18,52.18,19.18,7.53,,,,,,
Buoy_2,06/10/2025,161,2,2444.00,611.60,221.90,50.39,18.73,6.31,,,,,,
ODNR_1,06/10/2025,161,1,1159.00,440.90,117.56,34.75,9.46,3.38,,,,,,
ODNR_1,06/10/2025,161,2,1643.00,375.70,143.31,37.14,13.41,3.34,,,,,,
EC_1163,06/10/2025,161,1,1545.00,386.50,92.07,17.34,4.84,0.87,,,,,,
EC_1163,06/10/2025,161,2,1742.00,380.30,63.35,15.08,4.81,1.32,,,,,,
Causeway,06/10/2025,161,1,1830.00,339.40,68.31,,,,,,,,,
Causeway,06/10/2025,161,2,1706.00,288.80,85.92,,,,,,,,,
Bells,06/10/2025,161,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bells,06/10/2025,161,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Muddy_Creek,,,avg,2133.00,48.65,2.20,,,,,,,,,
ODNR_4,,,avg,1307.25,132.00,11.20,0.65,,,,,,,,
ODNR_6,,,avg,1900.00,176.08,7.56,0.81,0.07,,,,,,,
ODNR_2,,,avg,1822.75,418.30,121.25,45.20,8.40,,,,,,,
Buoy_2,,,avg,1657.10,571.70,210.04,51.29,18.96,6.92,,,,,,
ODNR_1,,,avg,1401.00,408.30,130.44,35.95,11.44,3.36,,,,,,
EC_1163,,,avg,1643.50,383.40,77.71,16.21,4.83,1.10,,,,,,
Causeway,,,avg,1768.00,314.10,77.12,,,,,,,,,
Bells,,,avg,,,,,,,,,,,,
Muddy_Creek,06/17/2025,168,1,939.50,50.70,1.29,,,,,,,,,
Muddy_Creek,06/17/2025,168,2,1093.90,32.09,1.37,,,,,,,,,
ODNR_4,06/17/2025,168,1,1511.50,170.80,29.80,5.29,,,,,,,,
ODNR_4,06/17/2025,168,2,997.00,127.82,53.52,4.74,,,,,,,,
ODNR_6,06/17/2025,168,1,1750.20,354.00,60.62,12.01,3.56,,,,,,,
ODNR_6,06/17/2025,168,2,1117.80,291.00,73.07,15.68,3.38,,,,,,,
ODNR_2,06/17/2025,168,1,1443.70,726.70,365.60,141.29,47.68,,,,,,,
ODNR_2,06/17/2025,168,2,1760.10,771.70,320.30,112.06,41.20,,,,,,,
Buoy_2,06/17/2025,168,1,1196.40,206.60,421.16,140.53,53.24,,,,,,,
Buoy_2,06/17/2025,168,2,1291.80,586.20,372.03,50.22,16.12,,,,,,,
ODNR_1,06/17/2025,168,1,1075.00,708.70,378.10,190.94,80.67,27.07,,,,,,
ODNR_1,06/17/2025,168,2,1101.10,769.20,352.80,182.01,76.23,28.56,,,,,,
EC_1163,06/17/2025,168,1,1241.60,895.70,424.90,134.32,NA,NA,,,,,,
EC_1163,06/17/2025,168,,NA,,,,,,,,,,,
Causeway,06/17/2025,168,1,NA,,,,,,,,,,,
Causeway,06/17/2025,168,2,NA,,,,,,,,,,,
Bells,06/17/2025,168,1,NA,,,,,,,,,,,
Bells,06/17/2025,168,2,NA,,,,,,,,,,,
Muddy_Creek,,,avg,1016.70,41.40,1.33,,,,,,,,,
ODNR_4,,,avg,1254.25,149.31,41.66,5.02,,,,,,,,
ODNR_6,,,avg,1434.00,322.50,66.85,13.85,3.47,,,,,,,
ODNR_2,,,avg,1601.90,749.20,342.95,126.68,44.44,,,,,,,
Buoy_2,,,avg,1244.10,396.40,396.60,95.38,34.68,,,,,,,
ODNR_1,,,avg,1088.05,738.95,365.45,186.48,78.45,27.82,,,,,,
EC_1163,,,avg,1241.60,895.70,424.90,134.32,,,,,,,,
Causeway,,,avg,,,,,,,,,,,,
Bells,,,avg,,,,,,,,,,,,
Muddy_Creek,06/24/2025,175,1,241.00,17.91,0.46,,,,,,,,,
Muddy_Creek,06/24/2025,175,2,385.70,10.33,0.47,,,,,,,,,
ODNR_4,06/24/2025,175,1,508.20,45.03,10.53,1.53,,,,,,,,
ODNR_4,06/24/2025,175,2,499.60,49.56,7.32,1.12,,,,,,,,
ODNR_6,06/24/2025,175,1,588.20,193.39,44.04,6.19,0.99,,,,,,,
ODNR_6,06/24/2025,175,2,572.30,219.90,58.34,5.20,1.16,,,,,,,
ODNR_2,06/24/2025,175,1,984.20,182.10,50.56,15.89,5.82,,,,,,,
ODNR_2,06/24/2025,175,2,782.20,220.50,60.36,17.35,6.52,,,,,,,
Buoy_2,06/24/2025,175,1,787.00,214.20,59.59,21.69,7.84,2.29,,,,,,
Buoy_2,06/24/2025,175,2,538.90,129.58,51.53,15.67,5.58,1.80,,,,,,
ODNR_1,06/24/2025,175,1,419.10,188.55,62.47,19.08,9.07,3.43,,,,,,
ODNR_1,06/24/2025,175,2,548.90,203.90,72.35,20.96,6.76,3.23,,,,,,
EC_1163,06/24/2025,175,1,576.00,170.86,69.65,20.41,10.15,4.36,1.76,,,,,
EC_1163,06/24/2025,175,2,909.00,279.10,91.13,26.44,13.70,4.21,1.78,,,,,
Causeway,06/24/2025,175,1,792.20,181.20,75.37,,,,,,,,,
Causeway,06/24/2025,175,2,797.30,124.60,73.32,,,,,,,,,
Bells,06/24/2025,175,1,421.30,232.80,136.70,76.11,44.15,28.24,18.97,12.64,6.78,3.98,2.66,
Bells,06/24/2025,175,2,470.30,249.80,155.51,72.52,49.42,22.52,17.85,10.52,6.93,4.44,2.86,
Muddy_Creek,,,avg,313.35,14.12,0.47,,,,,,,,,
ODNR_4,,,avg,503.90,47.30,8.93,1.33,,,,,,,,
ODNR_6,,,avg,580.25,206.65,51.19,5.70,1.08,,,,,,,
ODNR_2,,,avg,883.20,201.30,55.46,16.62,6.17,,,,,,,
Buoy_2,,,avg,662.95,171.89,55.56,18.68,6.71,2.05,,,,,,
ODNR_1,,,avg,484.00,196.23,67.41,20.02,7.92,3.33,,,,,,
EC_1163,,,avg,742.50,224.98,80.39,23.43,11.93,4.29,1.77,,,,,
Causeway,,,avg,794.75,152.90,74.35,,,,,,,,,
Bells,,,avg,445.80,241.30,146.11,74.32,46.79,25.38,18.41,11.58,6.86,4.21,2.76,
Muddy_Creek,07/01/2025,182,1,157.60,9.26,0.90,,,,,,,,,
Muddy_Creek,07/01/2025,182,2,128.11,10.24,0.99,,,,,,,,,
ODNR_4,07/01/2025,182,1,181.15,18.75,2.62,0.29,,,,,,,,
ODNR_4,07/01/2025,182,2,213.70,18.99,2.68,0.32,,,,,,,,
ODNR_6,07/01/2025,182,1,171.59,52.59,8.32,1.68,0.48,,,,,,,
ODNR_6,07/01/2025,182,2,241.80,43.83,10.00,2.28,0.48,,,,,,,
ODNR_2,07/01/2025,182,1,1226.60,69.25,42.21,11.09,0.30,,,,,,,
ODNR_2,07/01/2025,182,2,1273.90,252.10,29.78,9.59,0.30,,,,,,,
Buoy_2,07/01/2025,182,1,2031.00,502.80,158.25,30.49,7.12,3.21,,,,,,
Buoy_2,07/01/2025,182,2,1443.70,489.20,138.63,33.13,12.55,3.04,,,,,,
ODNR_1,07/01/2025,182,1,1820.00,261.60,63.70,20.75,5.91,1.54,,,,,,
ODNR_1,07/01/2025,182,2,903.60,419.20,90.53,20.50,5.59,1.64,,,,,,
EC_1163,07/01/2025,182,1,1212.60,398.80,71.89,46.36,19.61,6.81,2.29,,,,,
EC_1163,07/01/2025,182,2,890.00,520.40,197.98,68.39,20.53,5.77,2.33,,,,,
Causeway,07/01/2025,182,1,1526.10,411.60,0.09,,,,,,,,,
Causeway,07/01/2025,182,2,536.30,321.50,87.43,,,,,,,,,
Bells,07/01/2025,182,1,1533.00,1276.80,706.50,663.70,581.30,364.30,281.10,257.10,202.80,138.29,104.00,
Bells,07/01/2025,182,2,1450.00,938.00,780.00,785.40,572.20,349.70,290.90,261.60,192.61,139.72,110.71,
Muddy_Creek,,,avg,142.86,9.75,0.95,,,,,,,,,
ODNR_4,,,avg,197.43,18.87,2.65,0.31,,,,,,,,
ODNR_6,,,avg,206.70,48.21,9.16,1.98,0.48,,,,,,,
ODNR_2,,,avg,1250.25,160.68,36.00,10.34,0.30,,,,,,,
Buoy_2,,,avg,1737.35,496.00,148.44,31.81,9.84,3.13,,,,,,
ODNR_1,,,avg,1361.80,340.40,77.12,20.63,5.75,1.59,,,,,,
EC_1163,,,avg,1051.30,459.60,134.94,57.38,20.07,6.29,2.31,,,,,
Causeway,,,avg,1031.20,366.55,43.76,,,,,,,,,
Bells,,,avg,1491.50,1107.40,743.25,724.55,576.75,357.00,286.00,259.35,197.71,139.01,107.36,
