,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,1.25
Technician:,Ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,112.50,,,,
,,,,,,% Recovery,93.2,120.71,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.137,0.1371,0.1485,0.1481,112.5,,,
2,Blank,B,,0.1,0.137,0.137,0.1371,0.1377,4,,,
3,Muddy_Creek,WS,7/1/2025,0.1,0.1382,0.138,0.1434,0.1433,52.5,54.25,2.47,-6.45
4,Muddy_Creek,WS,7/1/2025,0.1,0.139,0.1389,0.1445,0.1446,56,,,
5,ODNR_4,WS,7/1/2025,0.1,0.1392,0.1393,0.142,0.1414,24.5,27.50,4.24,-21.82
6,ODNR_4,WS,7/1/2025,0.1,0.1381,0.1378,0.141,0.141,30.5,,,
7,ODNR_6,WS,7/1/2025,0.1,0.1379,0.1374,0.1399,0.1398,22,29.75,10.96,-52.10
8,ODNR_6,WS,7/1/2025,0.1,0.1371,0.1371,0.1409,0.1408,37.5,,,
9,Bridge,WS,7/1/2025,0.1,0.1388,0.1384,0.1406,0.1408,21,20.00,1.41,10.00
10,Bridge,WS,7/1/2025,0.1,0.138,0.1378,0.1397,0.1399,19,,,
11,ODNR_2,WS,7/1/2025,0.1,0.1362,0.1358,0.1401,0.1402,41.5,30.00,16.26,76.67
12,ODNR_2,WS,7/1/2025,0.1,0.1383,0.138,0.1399,0.1401,18.5,,,
13,Buoy_2,WS,7/1/2025,0.1,0.1375,0.137,0.1399,0.1399,26.5,14.75,16.62,159.32
14,Buoy_2,WS,7/1/2025,0.1,0.1387,0.1382,0.1388,0.1387,3,,,
15,ODNR_1,WS,7/1/2025,0.1,0.1387,0.137,0.1399,0.1401,21.5,19.25,3.18,23.38
16,ODNR_1,WS,7/1/2025,0.1,0.138,0.1375,0.1395,0.1394,17,,,
17,EC_1163,WS,7/1/2025,0.1,0.1382,0.1377,0.1396,0.1396,16.5,16.00,0.71,6.25
18,EC_1163,WS,7/1/2025,0.1,0.1371,0.1366,0.1384,0.1384,15.5,,,
19,Causeway,WS,7/1/2025,0.1,0.1371,0.1369,0.1397,0.1399,28,16.00,16.97,150.00
20,Causeway,WS,7/1/2025,0.1,0.1384,0.1381,0.1387,0.1386,4,,,
21,Bells,WS,7/1/2025,0.1,0.1375,0.1371,0.1376,0.1377,3.5,3.50,8.49,-480.00
22,Bells,WS,7/1/2025,0.1,0.1379,0.1376,0.1369,0.1369,-8.5,,,
25,Blank,B,,0.1,0.1366,0.1362,0.1364,0.1361,-1.5,,,
