,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-4.00
Technician:,ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,101.50,,,,
,,,,,,% Recovery,93.2,108.91,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.1374,0.1377,0.1477,0.1477,101.5,,,
2,Blank,B,,0.1,0.137,0.1371,0.1363,0.1369,-4.5,,,
3,Muddy_Creek,WS,6/17/2025,0.1,0.1384,0.1386,0.1451,0.1455,68,68.25,0.35,-0.73
4,Muddy_Creek,WS,6/17/2025,0.1,0.1359,0.136,0.1427,0.1429,68.5,,,
5,ODNR_4,WS,6/17/2025,0.1,0.137,0.137,0.1407,0.1411,39,37.75,1.77,6.62
6,ODNR_4,WS,6/17/2025,0.1,0.1366,0.1367,0.1399,0.1407,36.5,,,
7,ODNR_6,WS,6/17/2025,0.1,0.1386,0.1386,0.1415,0.142,31.5,29.75,2.47,11.76
8,ODNR_6,WS,6/17/2025,0.1,0.1379,0.1379,0.1404,0.141,28,,,
9,Bridge,WS,6/17/2025,0.1,0.0871,0.0873,0.0893,0.0893,21,19.75,1.77,12.66
10,Bridge,WS,6/17/2025,0.1,0.0908,0.091,0.0924,0.0931,18.5,,,
11,ODNR_2,WS,6/17/2025,0.1,0.0903,0.0906,0.0908,0.0922,10.5,12.50,2.83,-32.00
12,ODNR_2,WS,6/17/2025,0.1,0.0874,0.0876,0.0889,0.089,14.5,,,
13,Buoy_2,WS,6/17/2025,0.1,0.0897,0.0896,0.0904,0.0906,8.5,10.25,2.47,-34.15
14,Buoy_2,WS,6/17/2025,0.1,0.0888,0.0886,0.0896,0.0902,12,,,
15,ODNR_1,WS,6/17/2025,0.1,0.0904,0.091,0.092,0.0926,16,18.00,2.83,-22.22
16,ODNR_1,WS,6/17/2025,0.1,0.138,0.1379,0.1396,0.1403,20,,,
17,EC_1163,WS,6/17/2025,0.1,0.0913,0.091,0.0925,0.0931,16.5,29.25,18.03,-87.18
18,EC_1163,WS,6/17/2025,0.1,0.0895,0.0844,0.0909,0.0914,42,,,
19,Causeway,WS,6/17/2025,0.1,0.1387,0.1388,0.1393,0.1399,8.5,6.00,3.54,83.33
20,Causeway,WS,6/17/2025,0.1,0.0889,0.0888,0.0889,0.0895,3.5,,,
21,Bells,WS,6/17/2025,0.1,,,,,,,,Error
22,Bells,WS,6/17/2025,0.1,,,,,,,,
25,Blank,B,,0.1,0.1365,0.1365,0.136,0.1363,-3.5,,,
