45.5,,,Sample Type Suffix,,,Quality Control Data Summary,,,Change cell H4 to reflect actual concentration (mg/L) of staNAard. Actual concentration can be fouNA on the appropriate lot # QC COA.,,Blank Data,
,,,LCS,Lab Control Standard,,LCS,,,,,Blank,-0.75
Technician:,ruby,,B,Blank,,Concentration (mg/L),,,,,,
QC StaNAard Lot #: ,,,WS,Water Sample,,LCS ,93.2,78.00,,,,
,,,,,,% Recovery,93.2,83.69,,,,
,,,,,,,,,,,,
Pan ID,Sample,Sample Type,Date Collected,Volume Filtered (L),Initial Wt #1 (g),Initial Wt #2 (g),FInal Wt #1 (g),FInal Wt #2 (g),TSS (mg/L),Avg TSS (mg/L),Stdev,RPD (%)
1,LCS,LCS,,0.1,0.136,0.1365,0.144,0.1441,78,,,
2,Blank,B,,0.1,0.1381,0.1379,0.1378,0.1379,-1.5,,,
3,Muddy_Creek,WS,8/5/2025,0.1,0.138,0.1378,0.1426,0.1428,48,45.50,3.54,10.99
4,Muddy_Creek,WS,8/5/2025,0.1,0.1375,0.1373,0.1417,0.1417,43,,,
5,ODNR_4,WS,8/5/2025,0.1,0.1374,0.1372,0.141,0.141,37,38.50,2.12,-7.79
6,ODNR_4,WS,8/5/2025,0.1,0.137,0.137,0.141,0.141,40,,,
7,ODNR_6,WS,8/5/2025,0.1,0.1374,0.1372,0.141,0.14,32,29.50,3.54,16.95
8,ODNR_6,WS,8/5/2025,0.1,0.1372,0.1372,0.1398,0.14,27,,,
9,Bridge,WS,8/5/2025,0.1,0.137,0.1376,0.1408,0.1414,38,36.25,2.47,9.66
10,Bridge,WS,8/5/2025,0.1,0.1381,0.1383,0.1417,0.1416,34.5,,,
11,ODNR_2,WS,8/5/2025,0.1,0.1384,0.1386,0.1406,0.1407,21.5,21.75,0.35,-2.30
12,ODNR_2,WS,8/5/2025,0.1,0.1372,0.1367,0.1391,0.1392,22,,,
13,Buoy_2,WS,8/5/2025,0.1,0.1383,0.1382,,,,,,Error
14,Buoy_2,WS,8/5/2025,0.1,0.1374,0.1377,,,,,,
15,ODNR_1,WS,8/5/2025,0.1,0.1375,0.138,,,,,,Error
16,ODNR_1,WS,8/5/2025,0.1,0.1385,0.1388,,,,,,
17,EC_1163,WS,8/5/2025,0.1,0.1368,0.1372,0.1392,0.1393,22.5,22.25,0.35,2.25
18,EC_1163,WS,8/5/2025,0.1,0.1383,0.1383,0.1403,0.1407,22,,,
19,Causeway,WS,8/5/2025,0.1,0.1365,0.1368,0.1383,0.1386,18,17.75,0.35,2.82
20,Causeway,WS,8/5/2025,0.1,0.1375,0.1378,0.1394,0.1394,17.5,,,
21,Bells,WS,8/5/2025,0.1,0.1384,0.1387,0.1396,0.1396,10.5,11.00,0.71,-9.09
22,Bells,WS,8/5/2025,0.1,0.1376,0.1377,0.1388,0.1388,11.5,,,
25,Blank,B,,0.1,0.1369,0.1364,0.1366,0.1367,0,,,
