sample,date,type,analytical_rep,sample_conc,df,final_conc (ug/L),average (ug/L),comments
Muddy Creek Total Toxins 6/3/25,06/03/2025,Total,1,0.01,1,0.01,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Total Toxins 6/3/25,06/03/2025,Total,2,Invalid,1,Error,0.01,
Muddy Creek Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,0.08,1,0.08,,"LESS than Standard 1, outside of quantifiable range"
Muddy Creek Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.14,1,0.14,0.11,
ODNR 4 Total Toxins 6/3/25,06/03/2025,Total,1,0.03,1,0.03,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Total Toxins 6/3/25,06/03/2025,Total,2,0.17,1,0.17,0.1,
ODNR 4 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,Invalid,1,Error,,"LESS than Standard 1, outside of quantifiable range"
ODNR 4 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.04,1,0.04,0.04,
ODNR 6 Total Toxins 6/3/25,06/03/2025,Total,1,0.05,1,0.05,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Total Toxins 6/3/25,06/03/2025,Total,2,Invalid,1,Error,0.05,
ODNR 6 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
ODNR 6 Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,Invalid,1,Error,0.09,
Bridge Total Toxins 6/3/25,06/03/2025,Total,1,0.05,1,0.05,,"LESS than Standard 1, outside of quantifiable range"
Bridge Total Toxins 6/3/25,06/03/2025,Total,2,0.13,1,0.13,0.09,
Bridge Dissolved Toxins 6/3/25,06/03/2025,Dissolved,1,0.09,1,0.09,,"LESS than Standard 1, outside of quantifiable range"
Bridge Dissolved Toxins 6/3/25,06/03/2025,Dissolved,2,0.08,1,0.08,0.09,
ODNR 2 Total Toxins 6/3/25,06/03/2025,Total,1,0.04,1,0.04,,"LESS than Standard 1, outside of quantifiable range"
ODNR 2 Total Toxins 6/3/25,06/03/2025,Total,2,Invalid,1,Error,0.04,
