Sample,SAXITOXIN (ng/ml),SAXITOXIN (ng/ml),Dilution factor,SXT Avg. w/ DF (ng/ml)
ODNR 6_2025-06-17 Total,0.013,,1.1,
ODNR 6_2025-06-17 Total,0.013,0.013,1.1,0.015
Causeway_2025-06-17 Total,0.005,,1.1,
Causeway_2025-06-17 Total,0.007,0.006,1.1,0.007
ODNR 6_2025-06-24 Total,0.012,,1.1,
ODNR 6_2025-06-24 Total,0.011,0.012,1.1,0.013
EC1163_2025-06-24 Total,0.005,,1.1,
EC1163_2025-06-24 Total,0.01,0.008,1.1,0.008
Bridge_2025-07-01 Total,0.047,,1.1,
Bridge_2025-07-01 Total,0.052,0.05,1.1,0.055
Bouy 2_2025-07-01 Total,0.005,,1.1,
Bouy 2_2025-07-01 Total,0.007,0.006,1.1,0.006
ODNR 1_2025-07-01 Total,0.002,,1.1,
ODNR 1_2025-07-01 Total,0.004,0.003,1.1,0.003
Sandusky Bay ODNR 6 7/8/2025 Total,0.035,,1.1,
Sandusky Bay ODNR 6 7/8/2025 Total,0.039,0.037,1.1,0.04
Sandusky Bay ODNR 6 7/8/2025 Dissolved,0.03,,1.1,
Sandusky Bay ODNR 6 7/8/2025 Dissolved,0.017,0.024,1.1,0.026
Sandusky Bay Bridge 7/8/2025 Total,0.052,,1.1,
Sandusky Bay Bridge 7/8/2025 Total,0.055,0.054,1.1,0.059
Sandusky Bay Bridge 7/8/2025 Dissolved,0.031,,1.1,
Sandusky Bay Bridge 7/8/2025 Dissolved,0.02,0.025,1.1,0.028
Sandusky Bay ODNR 2 7/8/2025 Total,0.06,,1.1,
Sandusky Bay ODNR 2 7/8/2025 Total,0.096,0.078,1.1,0.086
EC1163_2025-07-08 Total,0.021,,1.1,
EC1163_2025-07-08 Total,0.022,0.021,1.1,0.023
Sandusky Bay ODNR 6 7/15/2025 Total,0.088,,1.1,
Sandusky Bay ODNR 6 7/15/2025 Total,0.11,0.099,1.1,0.109
Sandusky Bay ODNR 6 7/15/2025 Dissolved,0.078,,1.1,
Sandusky Bay ODNR 6 7/15/2025 Dissolved,0.096,0.087,1.1,0.096
Sandusky Bay Bridge 7/15/2025 Total,0.106,,1.1,
Sandusky Bay Bridge 7/15/2025 Total,0.066,0.086,1.1,0.094
Sandusky Bay Bridge 7/15/2025 Dissolved,0.03,,1.1,
Sandusky Bay Bridge 7/15/2025 Dissolved,0.017,0.023,1.1,0.026
Sandusky Bay ODNR 2 7/15/2025 Total,0.032,,1.1,
Sandusky Bay ODNR 2 7/15/2025 Total,0.023,0.028,1.1,0.031
EC1163_2025-07-15 Total,0.039,,1.1,
EC1163_2025-07-15 Total,0.034,0.037,1.1,0.041
ODNR 4_2025-07-22 Total,0.066,,1.1,
ODNR 4_2025-07-22 Total,0.06,0.063,1.1,0.069
Sandusky Bay ODNR 6 7/22/2025 Total,0.085,,1.1,
Sandusky Bay ODNR 6 7/22/2025 Total,0.07,0.077,1.1,0.085
Sandusky Bay ODNR 6 7/22/2025 Dissolved,0.056,,1.1,
Sandusky Bay ODNR 6 7/22/2025 Dissolved,0.061,0.059,1.1,0.065
Sandusky Bay Bridge 7/22/2025 Total,0.044,,1.1,
Sandusky Bay Bridge 7/22/2025 Total,0.028,0.036,1.1,0.039
Sandusky Bay Bridge 7/22/2025 Dissolved,0.026,,1.1,
Sandusky Bay Bridge 7/22/2025 Dissolved,0.021,0.023,1.1,0.026
Sandusky Bay ODNR 2 7/22/2025 Total,0.016,,1.1,
Sandusky Bay ODNR 2 7/22/2025 Total,0.017,0.017,1.1,0.018
Sandusky Bay ODNR 6 7/29/2025 Total,0.036,,1.1,
Sandusky Bay ODNR 6 7/29/2025 Total,0.039,0.037,1.1,0.041
Sandusky Bay ODNR 6 7/29/2025 Dissolved,0.03,,1.1,
Sandusky Bay ODNR 6 7/29/2025 Dissolved,0.036,0.033,1.1,0.036
Sandusky Bay Bridge 7/29/2025 Total,0.015,,1.1,
Sandusky Bay Bridge 7/29/2025 Total,0.015,0.015,1.1,0.016
Sandusky Bay Bridge 7/29/2025 Dissolved,0.013,,1.1,
Sandusky Bay Bridge 7/29/2025 Dissolved,0.011,0.012,1.1,0.013
Sandusky Bay ODNR 6 8/5/2025 Total,0.028,,1.1,
Sandusky Bay ODNR 6 8/5/2025 Total,0.045,0.036,1.1,0.04
Sandusky Bay ODNR 6 8/5/2025 Dissolved,0.018,,1.1,
Sandusky Bay ODNR 6 8/5/2025 Dissolved,0.021,0.019,1.1,0.021
Sandusky Bay Bridge 8/5/2025 Total,0.017,,1.1,
Sandusky Bay Bridge 8/5/2025 Total,0.013,0.015,1.1,0.017
Sandusky Bay Bridge 8/5/2025 Dissolved,0.025,,1.1,
Sandusky Bay Bridge 8/5/2025 Dissolved,0.016,0.021,1.1,0.023
ODNR 2_2025-08-05 Total,0.018,,1.1,
ODNR 2_2025-08-05 Total,0.015,0.016,1.1,0.018
ODNR 4_2025-08-12,0.015,,1.1,
ODNR 4_2025-08-12,0.006,0.011,1.1,0.012
ODNR 2_2025-08-12,0.008,,1.1,
ODNR 2_2025-08-12,0.001,0.005,1.1,0.005
Bridge_2025-08-20,0.019,,1.1,
Bridge_2025-08-20,0.009,0.014,1.1,0.016
ODNR 2_2025-08-20,0.012,,1.1,
ODNR 2_2025-08-20,0.01,0.011,1.1,0.012
ODNR 6_2025-08-26,0.009,,1.1,
ODNR 6_2025-08-26,0.011,0.01,1.1,0.011
ODNR 1_2025-08-26,0.006,,1.1,
ODNR 1_2025-08-26,0.009,0.007,1.1,0.008
SB_Bridge_2025-09-02,0.005,,1.1,
SB_Bridge_2025-09-02,0.006,0.005,1.1,0.006
ODNR 2_2025-09-02,0.006,,1.1,
ODNR 2_2025-09-02,0.008,0.007,1.1,0.008
SB_Bridge_2025-09-09,0.003,,1.1,
SB_Bridge_2025-09-09,0.004,0.004,1.1,0.004
Causeway_2025-09-09,0.008,,1.1,
Causeway_2025-09-09,0.007,0.007,1.1,0.008
ODNR 4_2025-09-16,0.009,,1.1,
ODNR 4_2025-09-16,0.009,0.009,1.1,0.01
ODNR 2_2025-09-16,0.003,,1.1,
ODNR 2_2025-09-16,0.004,0.004,1.1,0.004
