Site,Date,Location,Water Temperature_C,Air Temperature_C,pH_ph,Conductivity_uS/cm2,Dissolved Oxygen_mg/L,Chlorophyll-a_ug/L,Total Microcystins_ug/L,Dissolved Microcystins_ug/L,Nitrate+Nitrite_umol/L,Ammonium_umol/L,Nitrite_umol/L,Soluble Reactive Phosphorus_umol/L,Silicate_umol/L,Nitrate_umol/L,Total Phosphorus_umol/L,Total Kjehldahl Nitrogen_umol/L,Total Nitrogen_umol/L,TN:TP_ratio,Fluoroprobe Green Algae_ug/L,Fluoroprobe Bluegreen Algae_ug/L,Fluoroprobe Diatoms_ug/L,Fluoroprobe Cryptophyta_ug/L,Fluoroprobe Total Chlorophyll_ug/L
ODNR 4,2017-06-08,Inner Bay,22.18,NA,10.82,430,2.18,44.19,11.72153641,NA,242.740974,2.570198548,0,0.290568514,21.42857143,242.740974,3.55139295,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-06-08,Inner Bay,21.86,NA,11.02,400,2.24,58.26333333,9.924154999,NA,251.3083025,2.641592952,0,0.290568514,31.42857143,251.3083025,3.196253655,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-06-08,Inner Bay,NA,NA,NA,0,NA,30.47333333,13.35242379,NA,120.6565429,2.570198548,0,0.161426952,35.35714286,120.6565429,3.131682874,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-06-08,Outer Bay,21.72,NA,11.08,390,2.2,48.04666667,15.10054381,NA,101.3800538,2.42740974,0,0.129141562,53.21428571,101.3800538,3.131682874,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-06-08,Outer Bay,NA,NA,NA,0,NA,20.69333333,17.45236667,NA,72.82229219,2.641592952,0,0.161426952,42.5,72.82229219,2.582831236,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-06-08,Outer Bay,21.08,NA,11.02,370,2.15,49.42333333,13.49816518,NA,89.24300513,3.855297822,0,0.096856171,37.14285714,89.24300513,2.776543579,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-06-08,Outer Bay,20.93,NA,10.86,390,2.08,22.75666667,12.73884467,NA,102.8079419,2.712987356,0,0.129141562,51.07142857,102.8079419,2.227691941,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-06-08,Lake Erie,NA,NA,NA,0,NA,5.83,1.071998728,NA,62.11313157,2.570198548,0,0.129141562,41.78571429,62.11313157,0.451995466,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-06-19,Inner Bay,25.04,NA,10.38,430,NA,81.935,9.852590928,NA,62.11313157,2.498804144,0,0.258283124,63.21428571,62.11313157,6.005082624,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-06-19,Inner Bay,24.91,NA,10.52,410,NA,31.525,24.79100031,NA,241.3130859,2.570198548,0,0.225997733,34.64285714,241.3130859,6.198794967,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-06-19,Inner Bay,25.04,NA,10.51,390,NA,37.82,19.1740767,NA,35.69720205,2.42740974,0,0.225997733,90.35714286,35.69720205,5.165662473,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-06-19,Outer Bay,24.94,NA,10.67,370,NA,39.21,9.888308223,NA,14.99282486,2.42740974,0,0.258283124,88.92857143,14.99282486,3.55139295,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-06-19,Outer Bay,24.12,NA,10.5,340,NA,30.85666667,20.24359375,NA,42.12269842,2.42740974,0,0.193712343,88.92857143,42.12269842,3.389965998,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-06-19,Outer Bay,25.18,NA,10.69,370,NA,52.55,16.95438264,NA,39.9808663,2.284620931,0,0.258283124,103.2142857,39.9808663,4.681381616,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-06-19,Outer Bay,23.65,NA,10.48,340,NA,12.05,21.29556773,NA,37.83903418,2.498804144,0,0.193712343,98.57142857,37.83903418,3.228539045,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-06-19,Lake Erie,22.01,NA,10.03,310,NA,23.62333333,13.35242379,NA,32.12748185,2.42740974,0,0.161426952,50.71428571,32.12748185,1.775696475,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-06-26,Inner Bay,21.5,22,10.91,440,NA,76.37333333,18.03010353,NA,33.55536993,2.570198548,0,0.258283124,145.3571429,33.55536993,10.00847104,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-06-26,Inner Bay,21.26,21.7,10.82,440,NA,88.74666667,25.79770246,NA,96.38244554,2.712987356,0,0.290568514,66.78571429,96.38244554,6.683075824,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-06-26,Inner Bay,25.62,NA,NA,0,NA,70.37666667,23.31190748,NA,62.82707561,2.498804144,0,0.258283124,46.07142857,62.82707561,5.649943329,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-06-26,Outer Bay,21.5,21.8,10.98,360,NA,60.69333333,23.7375301,NA,35.69720205,2.570198548,0,0.161426952,86.07142857,35.69720205,4.939664739,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-06-26,Outer Bay,21.48,22.7,10.99,330,NA,42.37,12.42021853,NA,18.56254507,2.712987356,0,0.322853905,107.8571429,18.56254507,3.874246854,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-06-26,Outer Bay,21.51,21.8,11.04,340,NA,36.58333333,20.61319591,NA,12.1370487,2.570198548,0,0.225997733,111.4285714,12.1370487,5.553087158,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-06-26,Outer Bay,20.79,21.2,10.63,310,NA,23.91666667,17.45236667,NA,31.41353781,2.712987356,0,0.290568514,82.85714286,31.41353781,2.80882897,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-06-26,Lake Erie,20.38,20.7,10.25,290,NA,44.79,5.008086394,NA,41.40875438,2.927170568,0,0.193712343,43.21428571,41.40875438,1.42055718,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-07-17,Inner Bay,23.44,NA,8.88,230,9.12,7.37,NA,NA,176.3441781,7.99617326,2.141832123,2.711972798,236.7857143,174.202346,7.554781366,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-07-17,Inner Bay,24.3,NA,8.94,220,7.89,8.153333333,NA,NA,184.1975626,18.49115066,3.569720205,2.227691941,184.6428571,180.6278424,6.457078091,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-07-17,Inner Bay,24.66,NA,9.67,380,10.52,120.55,NA,NA,192.050947,5.854341137,4.997608287,0.613422419,147.8571429,187.0533388,6.101938796,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-07-17,Outer Bay,25.35,NA,9.58,340,11.24,96.22666667,NA,NA,201.3322196,2.641592952,4.997608287,0.419710076,153.2142857,196.3346113,5.649943329,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-07-17,Outer Bay,NA,NA,10.11,390,14.8,NA,NA,NA,214.8971564,9.56685015,5.711552329,0.774849371,65.35714286,209.185604,5.617657939,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-07-17,Outer Bay,25.63,NA,10.26,410,16.3,155.7533333,NA,NA,37.83903418,1.57067689,0.713944041,0.225997733,13.21428571,37.12509014,5.617657939,NA,NA,NA,NA,NA,NA,NA,NA
EC 1163,2017-07-17,Outer Bay,26.16,NA,10.13,390,13.58,130.2366667,NA,NA,64.96890774,1.642071294,2.141832123,0.290568514,51.42857143,62.82707561,6.005082624,NA,NA,NA,NA,NA,NA,NA,NA
Bells,2017-07-17,Lake Erie,25.3,NA,9.58,280,11.64,108.7533333,NA,NA,25.70198548,46.12078505,0.713944041,0.484280857,32.14285714,24.98804144,1.807981865,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 4,2017-07-31,Inner Bay,23.48,NA,9.75,390,10.84,166.6666667,NA,NA,60.68524349,3.355536993,2.141832123,0.516566247,130.7142857,58.54341137,5.068806301,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 6,2017-07-31,Inner Bay,23.55,NA,10.32,280,16.72,172.2933333,NA,NA,81.38962068,2.141832123,4.283664246,0.258283124,14.64285714,77.10595644,4.229386149,NA,NA,NA,NA,NA,NA,NA,NA
Bridge,2017-07-31,Inner Bay,24.3,NA,10.42,280,15.14,129.8833333,NA,NA,77.10595644,3.069959377,3.569720205,0.290568514,16.42857143,73.53623623,3.841961464,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 2,2017-07-31,Outer Bay,24.19,NA,10.41,280,15.74,137.5333333,NA,NA,72.10834815,2.570198548,2.855776164,0.322853905,16.78571429,69.25257198,3.58367834,NA,NA,NA,NA,NA,NA,NA,NA
Buoy 2,2017-07-31,Outer Bay,24.51,NA,10.38,330,17.7,89.41366667,NA,NA,39.26692226,2.070437719,2.141832123,0.161426952,2.142857143,37.12509014,4.26167154,NA,NA,NA,NA,NA,NA,NA,NA
ODNR 1,2017-07-31,Outer Bay,25.08,NA,10.69,290,20.93,65.00666667,NA,NA,45.69241863,2.141832123,2.141832123,0.290568514,15.35714286,43.55058651,3.325395217,NA,NA,NA,NA,NA,NA,NA,NA
